Wyckoff pos.|4a(32)|4a(32)|4a(32)|4b(32)|4b(32)|4b(32)|4a(32)|4a(32)|4a(32)|4b(32)|4b(32)|4b(32)
Band-Rep.|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|¹Eˢ↑G(4)|²Eˢ↑G(4)|E₁ˢ↑G(8)|¹Eˢ↑G(4)|²Eˢ↑G(4)|E₁ˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)
R:(1/2,1/2,1/2)|R₃(4)|R₃(4)|R₁(2)⊕R₂(2)⊕R₃(4)|R₃(4)|R₃(4)|R₁(2)⊕R₂(2)⊕R₃(4)|R₅ˢ(1)⊕R₈ˢ(3)|R₄ˢ(1)⊕R₇ˢ(3)|R₆ˢ(2)⊕R₇ˢ(3)⊕R₈ˢ(3)|R₄ˢ(1)⊕R₇ˢ(3)|R₅ˢ(1)⊕R₈ˢ(3)|R₆ˢ(2)⊕R₇ˢ(3)⊕R₈ˢ(3)
M:(1/2,1/2,0)|M₁(1)⊕M₄(1)⊕M₅(2)|M₂(1)⊕M₃(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕2M₅(2)|M₁(1)⊕M₄(1)⊕M₅(2)|M₂(1)⊕M₃(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕2M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)
X:(0,1/2,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|X₃ˢ(1)⊕X₄ˢ(1)⊕X₇ˢ(2)|X₅ˢ(1)⊕X₆ˢ(1)⊕X₇ˢ(2)|X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)⊕X₆ˢ(1)⊕2X₇ˢ(2)|X₅ˢ(1)⊕X₆ˢ(1)⊕X₇ˢ(2)|X₃ˢ(1)⊕X₄ˢ(1)⊕X₇ˢ(2)|X₃ˢ(1)⊕X₄ˢ(1)⊕X₅ˢ(1)⊕X₆ˢ(1)⊕2X₇ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₅ˢ(1)⊕Δ₆ˢ(1)⊕Δ₇ˢ(1)⊕Δ₈ˢ(1)|Δ₅ˢ(1)⊕Δ₆ˢ(1)⊕Δ₇ˢ(1)⊕Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|Δ₅ˢ(1)⊕Δ₆ˢ(1)⊕Δ₇ˢ(1)⊕Δ₈ˢ(1)|Δ₅ˢ(1)⊕Δ₆ˢ(1)⊕Δ₇ˢ(1)⊕Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)
T:(1/2,1/2,w)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)|T₅ˢ(1)⊕T₆ˢ(1)⊕T₇ˢ(1)⊕T₈ˢ(1)|T₅ˢ(1)⊕T₆ˢ(1)⊕T₇ˢ(1)⊕T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|T₅ˢ(1)⊕T₆ˢ(1)⊕T₇ˢ(1)⊕T₈ˢ(1)|T₅ˢ(1)⊕T₆ˢ(1)⊕T₇ˢ(1)⊕T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)
S:(u,1/2,u)|2S₁(1)⊕2S₂(1)|2S₁(1)⊕2S₂(1)|4S₁(1)⊕4S₂(1)|2S₁(1)⊕2S₂(1)|2S₁(1)⊕2S₂(1)|4S₁(1)⊕4S₂(1)|3S₃ˢ(1)⊕S₄ˢ(1)|S₃ˢ(1)⊕3S₄ˢ(1)|4S₃ˢ(1)⊕4S₄ˢ(1)|S₃ˢ(1)⊕3S₄ˢ(1)|3S₃ˢ(1)⊕S₄ˢ(1)|4S₃ˢ(1)⊕4S₄ˢ(1)
Σ:(u,u,0)|3Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕3Σ₂(1)|4Σ₁(1)⊕4Σ₂(1)|3Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕3Σ₂(1)|4Σ₁(1)⊕4Σ₂(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|4Σ₃ˢ(1)⊕4Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|4Σ₃ˢ(1)⊕4Σ₄ˢ(1)
Z:(u,1/2,0)|2Z₁(1)⊕2Z₂(1)|2Z₁(1)⊕2Z₂(1)|4Z₁(1)⊕4Z₂(1)|2Z₁(1)⊕2Z₂(1)|2Z₁(1)⊕2Z₂(1)|4Z₁(1)⊕4Z₂(1)|2Z₃ˢ(1)⊕2Z₄ˢ(1)|2Z₃ˢ(1)⊕2Z₄ˢ(1)|4Z₃ˢ(1)⊕4Z₄ˢ(1)|2Z₃ˢ(1)⊕2Z₄ˢ(1)|2Z₃ˢ(1)⊕2Z₄ˢ(1)|4Z₃ˢ(1)⊕4Z₄ˢ(1)
A:(u,v,0)|4A₁(1)|4A₁(1)|8A₁(1)|4A₁(1)|4A₁(1)|8A₁(1)|4A₂ˢ(1)|4A₂ˢ(1)|8A₂ˢ(1)|4A₂ˢ(1)|4A₂ˢ(1)|8A₂ˢ(1)
B:(u,1/2,w)|4B₁(1)|4B₁(1)|8B₁(1)|4B₁(1)|4B₁(1)|8B₁(1)|4B₂ˢ(1)|4B₂ˢ(1)|8B₂ˢ(1)|4B₂ˢ(1)|4B₂ˢ(1)|8B₂ˢ(1)
C:(u,u,w)|4C₁(1)|4C₁(1)|8C₁(1)|4C₁(1)|4C₁(1)|8C₁(1)|4C₂ˢ(1)|4C₂ˢ(1)|8C₂ˢ(1)|4C₂ˢ(1)|4C₂ˢ(1)|8C₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|4Ω₁(1)|8Ω₁(1)|4Ω₁(1)|4Ω₁(1)|8Ω₁(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)|8Ω₂ˢ(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)|8Ω₂ˢ(1)
