Wyckoff pos.|8a(23)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|8b(23)|24c(-4)|24c(-4)|24c(-4)|24c(-4)|24d(-4)|24d(-4)|24d(-4)|24d(-4)|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|24c(-4)|24c(-4)|24c(-4)|24c(-4)|24d(-4)|24d(-4)|24d(-4)|24d(-4)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|true|true|false|false|true|true|false|false|true|false|false|true|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)
X:(0,1,0)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₂(1)⊕2X₃(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕X₃(1)⊕2X₄(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|2X₁(1)⊕X₂(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕2X₂(1)⊕X₃(1)⊕X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)
L:(1/2,1/2,1/2)|L₁(1)⊕L₂(1)|L₃(2)|L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)|L₃(2)|L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|L₁(1)⊕L₂(1)⊕2L₃(2)|2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕L₆ˢ(2)|2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)|L₄ˢ(1)⊕L₅ˢ(1)⊕2L₆ˢ(2)
W:(1/2,1,0)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|W₁(1)⊕W₂(1)⊕2W₃(1)⊕2W₄(1)|W₁(1)⊕3W₂(1)⊕W₃(1)⊕W₄(1)|3W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)⊕W₃(1)⊕3W₄(1)|W₁(1)⊕W₂(1)⊕3W₃(1)⊕W₄(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕2W₆ˢ(1)⊕W₇ˢ(1)⊕2W₈ˢ(1)|2W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(1)⊕W₈ˢ(1)|2W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(1)⊕W₈ˢ(1)|W₅ˢ(1)⊕2W₆ˢ(1)⊕W₇ˢ(1)⊕2W₈ˢ(1)|W₅ˢ(1)⊕2W₆ˢ(1)⊕2W₇ˢ(1)⊕W₈ˢ(1)|2W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕2W₈ˢ(1)|2W₅ˢ(1)⊕W₆ˢ(1)⊕W₇ˢ(1)⊕2W₈ˢ(1)|W₅ˢ(1)⊕2W₆ˢ(1)⊕2W₇ˢ(1)⊕W₈ˢ(1)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|3C₁(1)⊕3C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)|3C₃ˢ(1)⊕3C₄ˢ(1)
