Wyckoff pos.|12a(-4)|12a(-4)|12a(-4)|12a(-4)|12b(-4)|12b(-4)|12b(-4)|12b(-4)|16c(3)|16c(3)|16c(3)|12a(-4)|12a(-4)|12a(-4)|12a(-4)|12b(-4)|12b(-4)|12b(-4)|12b(-4)|16c(3)|16c(3)|16c(3)
Band-Rep.|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|A₁↑G(8)|¹E↑G(8)|²E↑G(8)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)|¹Eˢ↑G(8)|²Eˢ↑G(8)|Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|true|false|false|false|false|false|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)⊕Γ₄(3)⊕Γ₅(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|2Γ₈ˢ(4)
H:(1,1,1)|H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|H₂(1)⊕H₃(2)⊕H₄(3)|H₁(1)⊕H₃(2)⊕H₅(3)|H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|H₂(1)⊕H₃(2)⊕H₄(3)|H₁(1)⊕H₃(2)⊕H₅(3)|H₁(1)⊕H₂(1)⊕H₄(3)⊕H₅(3)|H₃(2)⊕H₄(3)⊕H₅(3)|H₃(2)⊕H₄(3)⊕H₅(3)|H₆ˢ(2)⊕H₈ˢ(4)|H₇ˢ(2)⊕H₈ˢ(4)|H₇ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₈ˢ(4)|H₇ˢ(2)⊕H₈ˢ(4)|H₇ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕H₈ˢ(4)|2H₈ˢ(4)
P:(1/2,1/2,1/2)|P₁(2)⊕P₃(4)|P₂(2)⊕P₃(4)|P₂(2)⊕P₃(4)|P₁(2)⊕P₃(4)|P₂(2)⊕P₃(4)|P₁(2)⊕P₃(4)|P₁(2)⊕P₃(4)|P₂(2)⊕P₃(4)|2P₃(4)|P₁(2)⊕P₂(2)⊕P₃(4)|P₁(2)⊕P₂(2)⊕P₃(4)|P₄ˢ(1)⊕P₆ˢ(2)⊕P₇ˢ(3)|P₅ˢ(1)⊕P₆ˢ(2)⊕P₈ˢ(3)|P₇ˢ(3)⊕P₈ˢ(3)|P₇ˢ(3)⊕P₈ˢ(3)|P₅ˢ(1)⊕P₆ˢ(2)⊕P₈ˢ(3)|P₄ˢ(1)⊕P₆ˢ(2)⊕P₇ˢ(3)|P₇ˢ(3)⊕P₈ˢ(3)|P₇ˢ(3)⊕P₈ˢ(3)|P₆ˢ(2)⊕P₇ˢ(3)⊕P₈ˢ(3)|P₆ˢ(2)⊕P₇ˢ(3)⊕P₈ˢ(3)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₇ˢ(3)⊕P₈ˢ(3)
PA:(-1/2,-1/2,-1/2)|PA₁(2)⊕PA₃(4)|PA₂(2)⊕PA₃(4)|PA₁(2)⊕PA₃(4)|PA₂(2)⊕PA₃(4)|PA₂(2)⊕PA₃(4)|PA₁(2)⊕PA₃(4)|PA₂(2)⊕PA₃(4)|PA₁(2)⊕PA₃(4)|2PA₃(4)|PA₁(2)⊕PA₂(2)⊕PA₃(4)|PA₁(2)⊕PA₂(2)⊕PA₃(4)|PA₇ˢ(3)⊕PA₈ˢ(3)|PA₇ˢ(3)⊕PA₈ˢ(3)|PA₄ˢ(1)⊕PA₆ˢ(2)⊕PA₇ˢ(3)|PA₅ˢ(1)⊕PA₆ˢ(2)⊕PA₈ˢ(3)|PA₇ˢ(3)⊕PA₈ˢ(3)|PA₇ˢ(3)⊕PA₈ˢ(3)|PA₅ˢ(1)⊕PA₆ˢ(2)⊕PA₈ˢ(3)|PA₄ˢ(1)⊕PA₆ˢ(2)⊕PA₇ˢ(3)|PA₆ˢ(2)⊕PA₇ˢ(3)⊕PA₈ˢ(3)|PA₆ˢ(2)⊕PA₇ˢ(3)⊕PA₈ˢ(3)|PA₄ˢ(1)⊕PA₅ˢ(1)⊕PA₇ˢ(3)⊕PA₈ˢ(3)
N:(1/2,1/2,0)|3N₁(2)|3N₁(2)|3N₁(2)|3N₁(2)|3N₁(2)|3N₁(2)|3N₁(2)|3N₁(2)|4N₁(2)|4N₁(2)|4N₁(2)|N₂ˢ(1)⊕2N₃ˢ(1)⊕N₄ˢ(1)⊕2N₅ˢ(1)|N₂ˢ(1)⊕2N₃ˢ(1)⊕N₄ˢ(1)⊕2N₅ˢ(1)|2N₂ˢ(1)⊕N₃ˢ(1)⊕2N₄ˢ(1)⊕N₅ˢ(1)|2N₂ˢ(1)⊕N₃ˢ(1)⊕2N₄ˢ(1)⊕N₅ˢ(1)|N₂ˢ(1)⊕2N₃ˢ(1)⊕N₄ˢ(1)⊕2N₅ˢ(1)|N₂ˢ(1)⊕2N₃ˢ(1)⊕N₄ˢ(1)⊕2N₅ˢ(1)|2N₂ˢ(1)⊕N₃ˢ(1)⊕2N₄ˢ(1)⊕N₅ˢ(1)|2N₂ˢ(1)⊕N₃ˢ(1)⊕2N₄ˢ(1)⊕N₅ˢ(1)|2N₂ˢ(1)⊕2N₃ˢ(1)⊕2N₄ˢ(1)⊕2N₅ˢ(1)|2N₂ˢ(1)⊕2N₃ˢ(1)⊕2N₄ˢ(1)⊕2N₅ˢ(1)|2N₂ˢ(1)⊕2N₃ˢ(1)⊕2N₄ˢ(1)⊕2N₅ˢ(1)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)
D:(1/2,1/2,w)|3D₁(2)|3D₁(2)|3D₁(2)|3D₁(2)|3D₁(2)|3D₁(2)|3D₁(2)|3D₁(2)|4D₁(2)|4D₁(2)|4D₁(2)|D₂ˢ(1)⊕2D₃ˢ(1)⊕D₄ˢ(1)⊕2D₅ˢ(1)|D₂ˢ(1)⊕2D₃ˢ(1)⊕D₄ˢ(1)⊕2D₅ˢ(1)|2D₂ˢ(1)⊕D₃ˢ(1)⊕2D₄ˢ(1)⊕D₅ˢ(1)|2D₂ˢ(1)⊕D₃ˢ(1)⊕2D₄ˢ(1)⊕D₅ˢ(1)|D₂ˢ(1)⊕2D₃ˢ(1)⊕D₄ˢ(1)⊕2D₅ˢ(1)|D₂ˢ(1)⊕2D₃ˢ(1)⊕D₄ˢ(1)⊕2D₅ˢ(1)|2D₂ˢ(1)⊕D₃ˢ(1)⊕2D₄ˢ(1)⊕D₅ˢ(1)|2D₂ˢ(1)⊕D₃ˢ(1)⊕2D₄ˢ(1)⊕D₅ˢ(1)|2D₂ˢ(1)⊕2D₃ˢ(1)⊕2D₄ˢ(1)⊕2D₅ˢ(1)|2D₂ˢ(1)⊕2D₃ˢ(1)⊕2D₄ˢ(1)⊕2D₅ˢ(1)|2D₂ˢ(1)⊕2D₃ˢ(1)⊕2D₄ˢ(1)⊕2D₅ˢ(1)
