Wyckoff pos.|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1a(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|1b(m-3m)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3c(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)|3d(4/mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|Eg↑G(2)|Eᵤ↑G(2)|T₁g↑G(3)|T₁ᵤ↑G(3)|T₂g↑G(3)|T₂ᵤ↑G(3)|A₁g↑G(3)|A₁ᵤ↑G(3)|A₂g↑G(3)|A₂ᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|Eg↑G(6)|Eᵤ↑G(6)|A₁g↑G(3)|A₁ᵤ↑G(3)|A₂g↑G(3)|A₂ᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|Eg↑G(6)|Eᵤ↑G(6)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|Fgˢ↑G(4)|Fᵤˢ↑G(4)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|Fgˢ↑G(4)|Fᵤˢ↑G(4)|E₁gˢ↑G(6)|E₁ᵤˢ↑G(6)|E₂gˢ↑G(6)|E₂ᵤˢ↑G(6)|E₁gˢ↑G(6)|E₁ᵤˢ↑G(6)|E₂gˢ↑G(6)|E₂ᵤˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(2)|Γ₅⁺(3)|Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₁₀ˢ(4)|Γ₁₁ˢ(4)|Γ₆ˢ(2)|Γ₈ˢ(2)|Γ₇ˢ(2)|Γ₉ˢ(2)|Γ₁₀ˢ(4)|Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₁₁ˢ(4)|Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₉ˢ(2)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₁₁ˢ(4)|Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₉ˢ(2)⊕Γ₁₁ˢ(4)
R:(1/2,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₃⁺(2)|R₃⁻(2)|R₄⁺(3)|R₄⁻(3)|R₅⁺(3)|R₅⁻(3)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₃⁻(2)|R₃⁺(2)|R₅⁻(3)|R₅⁺(3)|R₄⁻(3)|R₄⁺(3)|R₅⁺(3)|R₅⁻(3)|R₂⁺(1)⊕R₃⁺(2)|R₂⁻(1)⊕R₃⁻(2)|R₄⁺(3)|R₄⁻(3)|R₁⁺(1)⊕R₃⁺(2)|R₁⁻(1)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁺(3)|R₄⁻(3)⊕R₅⁻(3)|R₄⁻(3)|R₄⁺(3)|R₁⁻(1)⊕R₃⁻(2)|R₁⁺(1)⊕R₃⁺(2)|R₅⁻(3)|R₅⁺(3)|R₂⁻(1)⊕R₃⁻(2)|R₂⁺(1)⊕R₃⁺(2)|R₄⁻(3)⊕R₅⁻(3)|R₄⁺(3)⊕R₅⁺(3)|R₆ˢ(2)|R₈ˢ(2)|R₇ˢ(2)|R₉ˢ(2)|R₁₀ˢ(4)|R₁₁ˢ(4)|R₉ˢ(2)|R₇ˢ(2)|R₈ˢ(2)|R₆ˢ(2)|R₁₁ˢ(4)|R₁₀ˢ(4)|R₇ˢ(2)⊕R₁₀ˢ(4)|R₉ˢ(2)⊕R₁₁ˢ(4)|R₆ˢ(2)⊕R₁₀ˢ(4)|R₈ˢ(2)⊕R₁₁ˢ(4)|R₈ˢ(2)⊕R₁₁ˢ(4)|R₆ˢ(2)⊕R₁₀ˢ(4)|R₉ˢ(2)⊕R₁₁ˢ(4)|R₇ˢ(2)⊕R₁₀ˢ(4)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₅⁺(2)|M₃⁻(1)⊕M₅⁻(2)|M₄⁺(1)⊕M₅⁺(2)|M₄⁻(1)⊕M₅⁻(2)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₅⁺(2)|M₂⁻(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₅⁻(2)|M₄⁺(1)⊕M₅⁻(2)|M₄⁻(1)⊕M₅⁺(2)|M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₃⁺(1)⊕M₅⁻(2)|M₃⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₁⁺(1)⊕M₂⁺(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₁⁺(1)⊕M₅⁻(2)|M₁⁻(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)|M₂⁺(1)⊕M₅⁻(2)|M₂⁻(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₄⁻(1)|M₃⁻(1)⊕M₄⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₃⁺(1)⊕M₄⁺(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₇ˢ(2)|M₉ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)|M₈ˢ(2)|M₇ˢ(2)|M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)⊕M₈ˢ(2)|M₇ˢ(2)⊕M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)⊕M₉ˢ(2)|M₇ˢ(2)⊕M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₈ˢ(2)⊕M₉ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)⊕M₈ˢ(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₅⁺(2)|X₃⁻(1)⊕X₅⁻(2)|X₄⁺(1)⊕X₅⁺(2)|X₄⁻(1)⊕X₅⁻(2)|X₃⁻(1)|X₃⁺(1)|X₄⁻(1)|X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₁⁻(1)⊕X₅⁻(2)|X₁⁺(1)⊕X₅⁺(2)|X₂⁻(1)⊕X₅⁻(2)|X₂⁺(1)⊕X₅⁺(2)|X₁⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₅⁻(2)|X₃⁻(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₂⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₄⁺(1)⊕X₅⁻(2)|X₄⁻(1)⊕X₅⁺(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₅⁺(2)|X₁⁺(1)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₅⁻(2)|X₃⁺(1)⊕X₄⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₃⁻(1)⊕X₄⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₆ˢ(2)|X₈ˢ(2)|X₇ˢ(2)|X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₈ˢ(2)⊕X₉ˢ(2)|X₈ˢ(2)|X₆ˢ(2)|X₉ˢ(2)|X₇ˢ(2)|X₈ˢ(2)⊕X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₈ˢ(2)⊕X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)⊕X₈ˢ(2)|X₇ˢ(2)⊕X₈ˢ(2)⊕X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)⊕X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)⊕X₈ˢ(2)|X₆ˢ(2)⊕X₈ˢ(2)⊕X₉ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)⊕X₉ˢ(2)|X₇ˢ(2)⊕X₈ˢ(2)⊕X₉ˢ(2)
Δ:(0,v,0)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)|Δ₄(1)|Δ₂(1)|Δ₃(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|2Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕2Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|2Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕2Δ₄(1)|Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)|2Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₆ˢ(2)|Δ₆ˢ(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₆ˢ(2)⊕2Δ₇ˢ(2)|Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕Δ₇ˢ(2)|2Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₆ˢ(2)⊕2Δ₇ˢ(2)|Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕Δ₇ˢ(2)|2Δ₆ˢ(2)⊕Δ₇ˢ(2)
T:(1/2,1/2,w)|T₁(1)|T₄(1)|T₂(1)|T₃(1)|T₁(1)⊕T₂(1)|T₃(1)⊕T₄(1)|T₄(1)⊕T₅(2)|T₁(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₂(1)⊕T₅(2)|T₃(1)|T₂(1)|T₄(1)|T₁(1)|T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)|T₂(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₁(1)⊕T₅(2)|T₄(1)⊕T₅(2)|T₃(1)⊕T₅(2)|T₂(1)⊕T₅(2)|T₁(1)⊕2T₂(1)|2T₃(1)⊕T₄(1)|T₄(1)⊕T₅(2)|T₁(1)⊕T₅(2)|2T₁(1)⊕T₂(1)|T₃(1)⊕2T₄(1)|T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕2T₅(2)|T₁(1)⊕T₅(2)|T₄(1)⊕T₅(2)|T₃(1)⊕2T₄(1)|2T₁(1)⊕T₂(1)|T₂(1)⊕T₅(2)|T₃(1)⊕T₅(2)|2T₃(1)⊕T₄(1)|T₁(1)⊕2T₂(1)|T₁(1)⊕T₂(1)⊕2T₅(2)|T₃(1)⊕T₄(1)⊕2T₅(2)|T₇ˢ(2)|T₇ˢ(2)|T₆ˢ(2)|T₆ˢ(2)|T₆ˢ(2)⊕T₇ˢ(2)|T₆ˢ(2)⊕T₇ˢ(2)|T₆ˢ(2)|T₆ˢ(2)|T₇ˢ(2)|T₇ˢ(2)|T₆ˢ(2)⊕T₇ˢ(2)|T₆ˢ(2)⊕T₇ˢ(2)|2T₆ˢ(2)⊕T₇ˢ(2)|2T₆ˢ(2)⊕T₇ˢ(2)|T₆ˢ(2)⊕2T₇ˢ(2)|T₆ˢ(2)⊕2T₇ˢ(2)|T₆ˢ(2)⊕2T₇ˢ(2)|T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕T₇ˢ(2)|2T₆ˢ(2)⊕T₇ˢ(2)
Λ:(u,u,u)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₁(1)|Λ₃(2)|Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₃(2)|Λ₂(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)
