Wyckoff pos.|16a(23)|16a(23)|16a(23)|16a(23)|32b(32)|32b(32)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|48d(-4)|48d(-4)|48d(-4)|48d(-4)|16a(23)|16a(23)|16a(23)|32b(32)|32b(32)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|32c(-3)|48d(-4)|48d(-4)|48d(-4)|48d(-4)
Band-Rep.|A↑G(4)|¹E↑G(4)|²E↑G(4)|T↑G(12)|A₁↑G(8)|A₂↑G(8)|Ag↑G(8)|Aᵤ↑G(8)|¹Eg↑G(8)|¹Eᵤ↑G(8)|²Eg↑G(8)|²Eᵤ↑G(8)|A↑G(12)|B↑G(12)|¹E↑G(12)|²E↑G(12)|Eˢ↑G(8)|¹Fˢ↑G(8)|²Fˢ↑G(8)|¹Eˢ↑G(8)|²Eˢ↑G(8)|¹Egˢ↑G(8)|¹Eᵤˢ↑G(8)|²Egˢ↑G(8)|²Eᵤˢ↑G(8)|Egˢ↑G(8)|Eᵤˢ↑G(8)|¹E₁ˢ↑G(12)|¹E₂ˢ↑G(12)|²E₁ˢ↑G(12)|²E₂ˢ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₁ˢ(4)|2Γ₁₀ˢ(4)|2Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)
X:(0,1,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)|X₁(2)⊕X₂(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|X₁(2)⊕X₂(2)⊕2X₃(2)⊕2X₄(2)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|3X₅ˢ(4)|3X₅ˢ(4)|3X₅ˢ(4)|3X₅ˢ(4)
L:(1/2,1/2,1/2)|2L₃(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕L₂(2)⊕2L₃(2)|L₁(2)⊕2L₂(2)⊕L₃(2)|2L₁(2)⊕L₂(2)⊕L₃(2)|2L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕2L₂(2)⊕L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₁(2)⊕2L₂(2)⊕2L₃(2)|2L₅ˢ(2)⊕2L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|L₄ˢ(2)⊕2L₅ˢ(2)⊕L₆ˢ(2)|L₄ˢ(2)⊕L₅ˢ(2)⊕2L₆ˢ(2)|L₄ˢ(2)⊕L₅ˢ(2)⊕2L₆ˢ(2)|L₄ˢ(2)⊕2L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕L₅ˢ(2)⊕L₆ˢ(2)|2L₄ˢ(2)⊕2L₅ˢ(2)⊕2L₆ˢ(2)|2L₄ˢ(2)⊕2L₅ˢ(2)⊕2L₆ˢ(2)|2L₄ˢ(2)⊕2L₅ˢ(2)⊕2L₆ˢ(2)|2L₄ˢ(2)⊕2L₅ˢ(2)⊕2L₆ˢ(2)
W:(1/2,1,0)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|3W₁(2)⊕3W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|3W₁(2)⊕3W₂(2)|3W₁(2)⊕3W₂(2)|2W₁(2)⊕4W₂(2)|4W₁(2)⊕2W₂(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕2W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕2W₅ˢ(1)⊕2W₆ˢ(1)⊕3W₇ˢ(2)|2W₃ˢ(1)⊕2W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕3W₇ˢ(2)|2W₃ˢ(1)⊕2W₄ˢ(1)⊕W₅ˢ(1)⊕W₆ˢ(1)⊕3W₇ˢ(2)|W₃ˢ(1)⊕W₄ˢ(1)⊕2W₅ˢ(1)⊕2W₆ˢ(1)⊕3W₇ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)
Λ:(u,u,u)|2Λ₁(1)⊕2Λ₂(1)|2Λ₃(2)|2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕3Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕3Σ₄(1)|Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|3Σ₁(1)⊕3Σ₂(1)⊕3Σ₃(1)⊕3Σ₄(1)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|6Σ₅ˢ(2)|6Σ₅ˢ(2)|6Σ₅ˢ(2)|6Σ₅ˢ(2)
