Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2a(2)|2a(2)|2b(2)|2b(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₅ˢ(2)|Γ₅ˢ(2)|Γ₅ˢ(2)|Γ₅ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₃ˢ(1)⊕R₅ˢ(1)|R₂ˢ(1)⊕R₄ˢ(1)|R₂ˢ(1)⊕R₄ˢ(1)|R₃ˢ(1)⊕R₅ˢ(1)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₃ˢ(1)⊕S₅ˢ(1)|S₂ˢ(1)⊕S₄ˢ(1)|S₂ˢ(1)⊕S₄ˢ(1)|S₃ˢ(1)⊕S₅ˢ(1)
T:(0,1/2,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₃ˢ(1)⊕T₅ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)|T₃ˢ(1)⊕T₅ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)
U:(1/2,0,1/2)|U₁(1)⊕U₂(1)|U₃(1)⊕U₄(1)|U₃(1)⊕U₄(1)|U₁(1)⊕U₂(1)|U₅ˢ(2)|U₅ˢ(2)|U₅ˢ(2)|U₅ˢ(2)
X:(1/2,0,0)|X₁(1)⊕X₂(1)|X₃(1)⊕X₄(1)|X₃(1)⊕X₄(1)|X₁(1)⊕X₂(1)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)|X₅ˢ(2)
Y:(0,1/2,0)|Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|Y₃ˢ(1)⊕Y₅ˢ(1)|Y₂ˢ(1)⊕Y₄ˢ(1)|Y₃ˢ(1)⊕Y₅ˢ(1)|Y₂ˢ(1)⊕Y₄ˢ(1)
Z:(0,0,1/2)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₅ˢ(2)|Z₅ˢ(2)|Z₅ˢ(2)|Z₅ˢ(2)
G:(1/2,0,w)|G₁(1)⊕G₂(1)|G₃(1)⊕G₄(1)|G₃(1)⊕G₄(1)|G₁(1)⊕G₂(1)|G₅ˢ(2)|G₅ˢ(2)|G₅ˢ(2)|G₅ˢ(2)
H:(0,1/2,w)|H₁(2)|H₁(2)|H₁(2)|H₁(2)|H₃ˢ(1)⊕H₅ˢ(1)|H₂ˢ(1)⊕H₄ˢ(1)|H₃ˢ(1)⊕H₅ˢ(1)|H₂ˢ(1)⊕H₄ˢ(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₅ˢ(2)|Λ₅ˢ(2)|Λ₅ˢ(2)|Λ₅ˢ(2)
Q:(1/2,1/2,w)|Q₁(2)|Q₁(2)|Q₁(2)|Q₁(2)|Q₃ˢ(1)⊕Q₅ˢ(1)|Q₂ˢ(1)⊕Q₄ˢ(1)|Q₂ˢ(1)⊕Q₄ˢ(1)|Q₃ˢ(1)⊕Q₅ˢ(1)
A:(u,0,1/2)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₁(1)⊕A₂(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)|A₃ˢ(1)⊕A₄ˢ(1)
B:(0,v,1/2)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₁(1)⊕B₂(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)|B₃ˢ(1)⊕B₄ˢ(1)
