Wyckoff pos.|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|2e(2/m)|2e(2/m)|2e(2/m)|2e(2/m)|2f(2/m)|2f(2/m)|2f(2/m)|2f(2/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1a(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1b(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1c(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|1d(4/m)|2e(2/m)|2e(2/m)|2e(2/m)|2e(2/m)|2f(2/m)|2f(2/m)|2f(2/m)|2f(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹E₁gˢ↑G(1)|¹E₁ᵤˢ↑G(1)|¹E₂gˢ↑G(1)|¹E₂ᵤˢ↑G(1)|²E₁gˢ↑G(1)|²E₁ᵤˢ↑G(1)|²E₂gˢ↑G(1)|²E₂ᵤˢ↑G(1)|¹E₁gˢ↑G(1)|¹E₁ᵤˢ↑G(1)|¹E₂gˢ↑G(1)|¹E₂ᵤˢ↑G(1)|²E₁gˢ↑G(1)|²E₁ᵤˢ↑G(1)|²E₂gˢ↑G(1)|²E₂ᵤˢ↑G(1)|¹E₁gˢ↑G(1)|¹E₁ᵤˢ↑G(1)|¹E₂gˢ↑G(1)|¹E₂ᵤˢ↑G(1)|²E₁gˢ↑G(1)|²E₁ᵤˢ↑G(1)|²E₂gˢ↑G(1)|²E₂ᵤˢ↑G(1)|¹E₁gˢ↑G(1)|¹E₁ᵤˢ↑G(1)|¹E₂gˢ↑G(1)|¹E₂ᵤˢ↑G(1)|²E₁gˢ↑G(1)|²E₁ᵤˢ↑G(1)|²E₂gˢ↑G(1)|²E₂ᵤˢ↑G(1)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
A:(1/2,1/2,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₄⁺(1)|A₄⁻(1)|A₃⁺(1)|A₃⁻(1)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₄⁻(1)|A₄⁺(1)|A₃⁻(1)|A₃⁺(1)|A₂⁺(1)|A₂⁻(1)|A₁⁺(1)|A₁⁻(1)|A₃⁺(1)|A₃⁻(1)|A₄⁺(1)|A₄⁻(1)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻(1)|A₃⁺(1)|A₄⁻(1)|A₄⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₃⁺(1)⊕A₄⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₃⁺(1)⊕A₄⁺(1)|A₃⁻(1)⊕A₄⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₈ˢ(1)|A₁₂ˢ(1)|A₇ˢ(1)|A₁₁ˢ(1)|A₆ˢ(1)|A₁₀ˢ(1)|A₅ˢ(1)|A₉ˢ(1)|A₁₂ˢ(1)|A₈ˢ(1)|A₁₁ˢ(1)|A₇ˢ(1)|A₁₀ˢ(1)|A₆ˢ(1)|A₉ˢ(1)|A₅ˢ(1)|A₇ˢ(1)|A₁₁ˢ(1)|A₈ˢ(1)|A₁₂ˢ(1)|A₅ˢ(1)|A₉ˢ(1)|A₆ˢ(1)|A₁₀ˢ(1)|A₁₁ˢ(1)|A₇ˢ(1)|A₁₂ˢ(1)|A₈ˢ(1)|A₉ˢ(1)|A₅ˢ(1)|A₁₀ˢ(1)|A₆ˢ(1)|A₉ˢ(1)⊕A₁₀ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₁₁ˢ(1)⊕A₁₂ˢ(1)|A₇ˢ(1)⊕A₈ˢ(1)|A₅ˢ(1)⊕A₆ˢ(1)|A₉ˢ(1)⊕A₁₀ˢ(1)|A₇ˢ(1)⊕A₈ˢ(1)|A₁₁ˢ(1)⊕A₁₂ˢ(1)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₇ˢ(1)|Γ₁₁ˢ(1)|Γ₆ˢ(1)|Γ₁₀ˢ(1)|Γ₅ˢ(1)|Γ₉ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₇ˢ(1)|Γ₁₁ˢ(1)|Γ₆ˢ(1)|Γ₁₀ˢ(1)|Γ₅ˢ(1)|Γ₉ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₇ˢ(1)|Γ₁₁ˢ(1)|Γ₆ˢ(1)|Γ₁₀ˢ(1)|Γ₅ˢ(1)|Γ₉ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₇ˢ(1)|Γ₁₁ˢ(1)|Γ₆ˢ(1)|Γ₁₀ˢ(1)|Γ₅ˢ(1)|Γ₉ˢ(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₁₁ˢ(1)⊕Γ₁₂ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)|Γ₉ˢ(1)⊕Γ₁₀ˢ(1)|Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₁₁ˢ(1)⊕Γ₁₂ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)|Γ₉ˢ(1)⊕Γ₁₀ˢ(1)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₄⁺(1)|M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₃⁺(1)|M₃⁻(1)|M₄⁺(1)|M₄⁻(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₈ˢ(1)|M₁₂ˢ(1)|M₇ˢ(1)|M₁₁ˢ(1)|M₆ˢ(1)|M₁₀ˢ(1)|M₅ˢ(1)|M₉ˢ(1)|M₈ˢ(1)|M₁₂ˢ(1)|M₇ˢ(1)|M₁₁ˢ(1)|M₆ˢ(1)|M₁₀ˢ(1)|M₅ˢ(1)|M₉ˢ(1)|M₇ˢ(1)|M₁₁ˢ(1)|M₈ˢ(1)|M₁₂ˢ(1)|M₅ˢ(1)|M₉ˢ(1)|M₆ˢ(1)|M₁₀ˢ(1)|M₇ˢ(1)|M₁₁ˢ(1)|M₈ˢ(1)|M₁₂ˢ(1)|M₅ˢ(1)|M₉ˢ(1)|M₆ˢ(1)|M₁₀ˢ(1)|M₉ˢ(1)⊕M₁₀ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₁₁ˢ(1)⊕M₁₂ˢ(1)|M₇ˢ(1)⊕M₈ˢ(1)|M₉ˢ(1)⊕M₁₀ˢ(1)|M₅ˢ(1)⊕M₆ˢ(1)|M₁₁ˢ(1)⊕M₁₂ˢ(1)|M₇ˢ(1)⊕M₈ˢ(1)
Z:(0,0,1/2)|Z₁⁺(1)|Z₁⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₁⁻(1)|Z₁⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁺(1)|Z₁⁻(1)|Z₂⁺(1)|Z₂⁻(1)|Z₄⁺(1)|Z₄⁻(1)|Z₃⁺(1)|Z₃⁻(1)|Z₁⁻(1)|Z₁⁺(1)|Z₂⁻(1)|Z₂⁺(1)|Z₄⁻(1)|Z₄⁺(1)|Z₃⁻(1)|Z₃⁺(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₃⁻(1)⊕Z₄⁻(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₃⁻(1)⊕Z₄⁻(1)|Z₃⁺(1)⊕Z₄⁺(1)|Z₈ˢ(1)|Z₁₂ˢ(1)|Z₇ˢ(1)|Z₁₁ˢ(1)|Z₆ˢ(1)|Z₁₀ˢ(1)|Z₅ˢ(1)|Z₉ˢ(1)|Z₁₂ˢ(1)|Z₈ˢ(1)|Z₁₁ˢ(1)|Z₇ˢ(1)|Z₁₀ˢ(1)|Z₆ˢ(1)|Z₉ˢ(1)|Z₅ˢ(1)|Z₈ˢ(1)|Z₁₂ˢ(1)|Z₇ˢ(1)|Z₁₁ˢ(1)|Z₆ˢ(1)|Z₁₀ˢ(1)|Z₅ˢ(1)|Z₉ˢ(1)|Z₁₂ˢ(1)|Z₈ˢ(1)|Z₁₁ˢ(1)|Z₇ˢ(1)|Z₁₀ˢ(1)|Z₆ˢ(1)|Z₉ˢ(1)|Z₅ˢ(1)|Z₇ˢ(1)⊕Z₈ˢ(1)|Z₁₁ˢ(1)⊕Z₁₂ˢ(1)|Z₅ˢ(1)⊕Z₆ˢ(1)|Z₉ˢ(1)⊕Z₁₀ˢ(1)|Z₁₁ˢ(1)⊕Z₁₂ˢ(1)|Z₇ˢ(1)⊕Z₈ˢ(1)|Z₉ˢ(1)⊕Z₁₀ˢ(1)|Z₅ˢ(1)⊕Z₆ˢ(1)
R:(0,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₂⁺(1)|R₂⁻(1)|R₂⁺(1)|R₂⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₄ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₆ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₃ˢ(1)|R₅ˢ(1)|R₄ˢ(1)|R₆ˢ(1)|R₄ˢ(1)|R₆ˢ(1)|R₄ˢ(1)⊕R₅ˢ(1)|R₃ˢ(1)⊕R₆ˢ(1)|R₃ˢ(1)⊕R₆ˢ(1)|R₄ˢ(1)⊕R₅ˢ(1)|R₃ˢ(1)⊕R₆ˢ(1)|R₄ˢ(1)⊕R₅ˢ(1)|R₄ˢ(1)⊕R₅ˢ(1)|R₃ˢ(1)⊕R₆ˢ(1)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₄ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₆ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₄ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₆ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₅ˢ(1)|X₃ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₆ˢ(1)|X₄ˢ(1)|X₄ˢ(1)⊕X₅ˢ(1)|X₃ˢ(1)⊕X₆ˢ(1)|X₃ˢ(1)⊕X₆ˢ(1)|X₄ˢ(1)⊕X₅ˢ(1)|X₄ˢ(1)⊕X₅ˢ(1)|X₃ˢ(1)⊕X₆ˢ(1)|X₃ˢ(1)⊕X₆ˢ(1)|X₄ˢ(1)⊕X₅ˢ(1)
Λ:(0,0,w)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₄(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₄(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₄(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₄(1)|Λ₄(1)|Λ₃(1)|Λ₃(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₈ˢ(1)|Λ₈ˢ(1)|Λ₇ˢ(1)|Λ₇ˢ(1)|Λ₆ˢ(1)|Λ₆ˢ(1)|Λ₅ˢ(1)|Λ₅ˢ(1)|Λ₈ˢ(1)|Λ₈ˢ(1)|Λ₇ˢ(1)|Λ₇ˢ(1)|Λ₆ˢ(1)|Λ₆ˢ(1)|Λ₅ˢ(1)|Λ₅ˢ(1)|Λ₈ˢ(1)|Λ₈ˢ(1)|Λ₇ˢ(1)|Λ₇ˢ(1)|Λ₆ˢ(1)|Λ₆ˢ(1)|Λ₅ˢ(1)|Λ₅ˢ(1)|Λ₈ˢ(1)|Λ₈ˢ(1)|Λ₇ˢ(1)|Λ₇ˢ(1)|Λ₆ˢ(1)|Λ₆ˢ(1)|Λ₅ˢ(1)|Λ₅ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)
