Wyckoff pos.|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|4c(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4d(-4)|4d(-4)|4d(-4)|4d(-4)|8f(-1)|8f(-1)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2a(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|2b(4/m)|4c(2/m)|4c(2/m)|4c(2/m)|4c(2/m)|4d(-4)|4d(-4)|4d(-4)|4d(-4)|8f(-1)|8f(-1)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹Eg↑G(1)|¹Eᵤ↑G(1)|²Eg↑G(1)|²Eᵤ↑G(1)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|Ag↑G(4)|Aᵤ↑G(4)|¹Eˢ₁g↑G(1)|¹Eˢ₁ᵤ↑G(1)|¹Eˢ₂g↑G(1)|¹Eˢ₂ᵤ↑G(1)|²Eˢ₁g↑G(1)|²Eˢ₁ᵤ↑G(1)|²Eˢ₂g↑G(1)|²Eˢ₂ᵤ↑G(1)|¹Eˢ₁g↑G(1)|¹Eˢ₁ᵤ↑G(1)|¹Eˢ₂g↑G(1)|¹Eˢ₂ᵤ↑G(1)|²Eˢ₁g↑G(1)|²Eˢ₁ᵤ↑G(1)|²Eˢ₂g↑G(1)|²Eˢ₂ᵤ↑G(1)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|Aˢg↑G(4)|Aˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|false|false|false|false|true|true|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(1)⊕Γ₄⁻(1)|Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γˢ₆(1)|Γˢ₁₀(1)|Γˢ₅(1)|Γˢ₉(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₇(1)|Γˢ₁₁(1)|Γˢ₆(1)|Γˢ₁₀(1)|Γˢ₅(1)|Γˢ₉(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₇(1)|Γˢ₁₁(1)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₉(1)⊕Γˢ₁₀(1)|Γˢ₇(1)⊕Γˢ₈(1)|Γˢ₁₁(1)⊕Γˢ₁₂(1)|Γˢ₆(1)⊕Γˢ₉(1)|Γˢ₅(1)⊕Γˢ₁₀(1)|Γˢ₈(1)⊕Γˢ₁₁(1)|Γˢ₇(1)⊕Γˢ₁₂(1)|Γˢ₅(1)⊕Γˢ₆(1)⊕Γˢ₇(1)⊕Γˢ₈(1)|Γˢ₉(1)⊕Γˢ₁₀(1)⊕Γˢ₁₁(1)⊕Γˢ₁₂(1)
M:(1,1,1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₄⁺(1)|M₄⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₃⁺(1)|M₃⁻(1)|M₄⁺(1)|M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁺(1)|M₁⁺(1)⊕M₂⁻(1)|M₃⁻(1)⊕M₄⁺(1)|M₃⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)|Mˢ₆(1)|Mˢ₁₀(1)|Mˢ₅(1)|Mˢ₉(1)|Mˢ₈(1)|Mˢ₁₂(1)|Mˢ₇(1)|Mˢ₁₁(1)|Mˢ₆(1)|Mˢ₁₀(1)|Mˢ₅(1)|Mˢ₉(1)|Mˢ₈(1)|Mˢ₁₂(1)|Mˢ₇(1)|Mˢ₁₁(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₉(1)⊕Mˢ₁₀(1)|Mˢ₇(1)⊕Mˢ₈(1)|Mˢ₁₁(1)⊕Mˢ₁₂(1)|Mˢ₅(1)⊕Mˢ₁₀(1)|Mˢ₆(1)⊕Mˢ₉(1)|Mˢ₇(1)⊕Mˢ₁₂(1)|Mˢ₈(1)⊕Mˢ₁₁(1)|Mˢ₉(1)⊕Mˢ₁₀(1)⊕Mˢ₁₁(1)⊕Mˢ₁₂(1)|Mˢ₅(1)⊕Mˢ₆(1)⊕Mˢ₇(1)⊕Mˢ₈(1)
P:(1/2,1/2,1/2)|P₁(1)|P₂(1)|P₂(1)|P₁(1)|P₃(1)|P₄(1)|P₄(1)|P₃(1)|P₂(1)|P₁(1)|P₁(1)|P₂(1)|P₄(1)|P₃(1)|P₃(1)|P₄(1)|P₃(1)⊕P₄(1)|P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₃(1)⊕P₄(1)|P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|Pˢ₆(1)|Pˢ₅(1)|Pˢ₅(1)|Pˢ₆(1)|Pˢ₈(1)|Pˢ₇(1)|Pˢ₇(1)|Pˢ₈(1)|Pˢ₅(1)|Pˢ₆(1)|Pˢ₆(1)|Pˢ₅(1)|Pˢ₇(1)|Pˢ₈(1)|Pˢ₈(1)|Pˢ₇(1)|Pˢ₇(1)⊕Pˢ₈(1)|Pˢ₇(1)⊕Pˢ₈(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₇(1)⊕Pˢ₈(1)|Pˢ₇(1)⊕Pˢ₈(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₅(1)⊕Pˢ₆(1)⊕Pˢ₇(1)⊕Pˢ₈(1)|Pˢ₅(1)⊕Pˢ₆(1)⊕Pˢ₇(1)⊕Pˢ₈(1)
X:(1/2,1/2,0)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₂⁺(1)|X₂⁻(1)|X₂⁺(1)|X₂⁻(1)|2X₂⁻(1)|2X₂⁺(1)|2X₁⁻(1)|2X₁⁺(1)|X₂⁺(1)⊕X₂⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)|Xˢ₃(1)|Xˢ₅(1)|Xˢ₃(1)|Xˢ₅(1)|Xˢ₄(1)|Xˢ₆(1)|Xˢ₄(1)|Xˢ₆(1)|Xˢ₃(1)|Xˢ₅(1)|Xˢ₃(1)|Xˢ₅(1)|Xˢ₄(1)|Xˢ₆(1)|Xˢ₄(1)|Xˢ₆(1)|2Xˢ₆(1)|2Xˢ₄(1)|2Xˢ₅(1)|2Xˢ₃(1)|Xˢ₄(1)⊕Xˢ₆(1)|Xˢ₄(1)⊕Xˢ₆(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)⊕Xˢ₆(1)|Xˢ₃(1)⊕Xˢ₄(1)⊕Xˢ₅(1)⊕Xˢ₆(1)
N:(1/2,0,1/2)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁻(1)|N₁⁺(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|2N₁⁺(1)⊕2N₁⁻(1)|2N₁⁺(1)⊕2N₁⁻(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)|Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|Nˢ₂(1)⊕Nˢ₃(1)|2Nˢ₂(1)⊕2Nˢ₃(1)|2Nˢ₂(1)⊕2Nˢ₃(1)
Λ:(0,0,w)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)|Λ₁(1)|Λ₂(1)|Λ₂(1)|Λ₃(1)|Λ₃(1)|Λ₄(1)|Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λˢ₆(1)|Λˢ₆(1)|Λˢ₅(1)|Λˢ₅(1)|Λˢ₈(1)|Λˢ₈(1)|Λˢ₇(1)|Λˢ₇(1)|Λˢ₆(1)|Λˢ₆(1)|Λˢ₅(1)|Λˢ₅(1)|Λˢ₈(1)|Λˢ₈(1)|Λˢ₇(1)|Λˢ₇(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₇(1)⊕Λˢ₈(1)|Λˢ₇(1)⊕Λˢ₈(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₇(1)⊕Λˢ₈(1)|Λˢ₇(1)⊕Λˢ₈(1)|Λˢ₅(1)⊕Λˢ₆(1)⊕Λˢ₇(1)⊕Λˢ₈(1)|Λˢ₅(1)⊕Λˢ₆(1)⊕Λˢ₇(1)⊕Λˢ₈(1)
C:(u,v,0)|C₁(1)|C₂(1)|C₁(1)|C₂(1)|C₂(1)|C₁(1)|C₂(1)|C₁(1)|C₁(1)|C₂(1)|C₁(1)|C₂(1)|C₂(1)|C₁(1)|C₂(1)|C₁(1)|2C₁(1)|2C₂(1)|2C₂(1)|2C₁(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₄(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₃(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₄(1)|Cˢ₃(1)|Cˢ₄(1)|Cˢ₃(1)|2Cˢ₃(1)|2Cˢ₄(1)|2Cˢ₄(1)|2Cˢ₃(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)
