Wyckoff pos.|4a(-4)|4a(-4)|4a(-4)|4a(-4)|4b(-4)|4b(-4)|4b(-4)|4b(-4)|8c(-1)|8c(-1)|8d(-1)|8d(-1)|4a(-4)|4a(-4)|4a(-4)|4a(-4)|4b(-4)|4b(-4)|4b(-4)|4b(-4)|8c(-1)|8c(-1)|8d(-1)|8d(-1)
Band-Rep.|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|A↑G(2)|B↑G(2)|¹E↑G(2)|²E↑G(2)|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|¹E₁ˢ↑G(2)|¹E₂ˢ↑G(2)|²E₁ˢ↑G(2)|²E₂ˢ↑G(2)|¹E₁ˢ↑G(2)|¹E₂ˢ↑G(2)|²E₁ˢ↑G(2)|²E₂ˢ↑G(2)|Agˢ↑G(4)|Aᵤˢ↑G(4)|Agˢ↑G(4)|Aᵤˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₃⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₃⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₈ˢ(1)⊕Γ₁₁ˢ(1)|Γ₇ˢ(1)⊕Γ₁₂ˢ(1)|Γ₆ˢ(1)⊕Γ₉ˢ(1)|Γ₅ˢ(1)⊕Γ₁₀ˢ(1)|Γ₈ˢ(1)⊕Γ₁₁ˢ(1)|Γ₇ˢ(1)⊕Γ₁₂ˢ(1)|Γ₆ˢ(1)⊕Γ₉ˢ(1)|Γ₅ˢ(1)⊕Γ₁₀ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)⊕Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₉ˢ(1)⊕Γ₁₀ˢ(1)⊕Γ₁₁ˢ(1)⊕Γ₁₂ˢ(1)|Γ₅ˢ(1)⊕Γ₆ˢ(1)⊕Γ₇ˢ(1)⊕Γ₈ˢ(1)|Γ₉ˢ(1)⊕Γ₁₀ˢ(1)⊕Γ₁₁ˢ(1)⊕Γ₁₂ˢ(1)
M:(1,1,1)|M₁(2)|M₁(2)|M₂(2)|M₂(2)|M₁(2)|M₁(2)|M₂(2)|M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)|M₄ˢ(2)|M₄ˢ(2)|M₃ˢ(2)|M₃ˢ(2)|M₄ˢ(2)|M₄ˢ(2)|M₃ˢ(2)|M₃ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)|M₃ˢ(2)⊕M₄ˢ(2)
P:(1/2,1/2,1/2)|P₁(1)⊕P₄(1)|P₂(1)⊕P₃(1)|P₂(1)⊕P₄(1)|P₁(1)⊕P₃(1)|P₂(1)⊕P₃(1)|P₁(1)⊕P₄(1)|P₁(1)⊕P₃(1)|P₂(1)⊕P₄(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(1)|P₅ˢ(1)⊕P₈ˢ(1)|P₆ˢ(1)⊕P₇ˢ(1)|P₆ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₇ˢ(1)|P₆ˢ(1)⊕P₇ˢ(1)|P₅ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₇ˢ(1)|P₆ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)⊕P₇ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)⊕P₇ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)⊕P₇ˢ(1)⊕P₈ˢ(1)|P₅ˢ(1)⊕P₆ˢ(1)⊕P₇ˢ(1)⊕P₈ˢ(1)
X:(1/2,1/2,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|2X₁(2)|2X₁(2)|2X₁(2)|2X₁(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|X₂ˢ(2)|2X₂ˢ(2)|2X₂ˢ(2)|2X₂ˢ(2)|2X₂ˢ(2)
N:(1/2,0,1/2)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)|3N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕3N₁⁻(1)|N₁⁺(1)⊕3N₁⁻(1)|3N₁⁺(1)⊕N₁⁻(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕N₃ˢ(1)|3N₂ˢ(1)⊕N₃ˢ(1)|N₂ˢ(1)⊕3N₃ˢ(1)|N₂ˢ(1)⊕3N₃ˢ(1)|3N₂ˢ(1)⊕N₃ˢ(1)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)
C:(u,v,0)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|C₃ˢ(1)⊕C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)
