Wyckoff pos.|2a(32)|2a(32)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|2a(32)|2a(32)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2b(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|A′↑G(2)|A′′↑G(2)|¹E′↑G(2)|¹E′′↑G(2)|²E′↑G(2)|²E′′↑G(2)|A′↑G(2)|A′′↑G(2)|¹E′↑G(2)|¹E′′↑G(2)|²E′↑G(2)|²E′′↑G(2)|A′↑G(2)|A′′↑G(2)|¹E′↑G(2)|¹E′′↑G(2)|²E′↑G(2)|²E′′↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)|¹Eˢ₁↑G(2)|¹Eˢ₂↑G(2)|¹Eˢ₃↑G(2)|²Eˢ₁↑G(2)|²Eˢ₂↑G(2)|²Eˢ₃↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₃(2)|A₃(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|Aˢ₅(1)⊕Aˢ₇(1)|Aˢ₄(1)⊕Aˢ₆(1)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)|Aˢ₆(1)⊕Aˢ₇(1)|Aˢ₉(2)|Aˢ₉(2)|Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₈(2)|Aˢ₈(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₅(2)|Γ₆(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₇(2)|Γˢ₈(2)|Γˢ₉(2)
H:(1/3,1/3,1/2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₂(2)|H₁(2)|H₁(2)|H₂(2)|H₁(2)|H₂(2)|H₃(2)|H₃(2)|H₂(2)|H₁(2)|H₂(2)|H₁(2)|H₁(2)|H₂(2)|H₃(2)|H₃(2)|Hˢ₅(1)⊕Hˢ₇(1)|Hˢ₄(1)⊕Hˢ₆(1)|Hˢ₆(1)⊕Hˢ₇(1)|Hˢ₉(2)|Hˢ₉(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₈(2)|Hˢ₈(2)|Hˢ₉(2)|Hˢ₆(1)⊕Hˢ₇(1)|Hˢ₉(2)|Hˢ₈(2)|Hˢ₈(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₉(2)|Hˢ₉(2)|Hˢ₆(1)⊕Hˢ₇(1)|Hˢ₈(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₈(2)
HA:(-1/3,-1/3,-1/2)|HA₃(2)|HA₃(2)|HA₃(2)|HA₃(2)|HA₁(2)|HA₂(2)|HA₂(2)|HA₁(2)|HA₁(2)|HA₂(2)|HA₂(2)|HA₁(2)|HA₃(2)|HA₃(2)|HA₂(2)|HA₁(2)|HA₃(2)|HA₃(2)|HA₁(2)|HA₂(2)|HAˢ₄(1)⊕HAˢ₆(1)|HAˢ₅(1)⊕HAˢ₇(1)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₈(2)|HAˢ₈(2)|HAˢ₆(1)⊕HAˢ₇(1)|HAˢ₉(2)|HAˢ₉(2)|HAˢ₈(2)|HAˢ₈(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₉(2)|HAˢ₆(1)⊕HAˢ₇(1)|HAˢ₉(2)|HAˢ₈(2)|HAˢ₄(1)⊕HAˢ₅(1)|HAˢ₈(2)|HAˢ₉(2)|HAˢ₉(2)|HAˢ₆(1)⊕HAˢ₇(1)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₃(1)⊕K₄(1)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|K₅(2)|K₆(2)|K₅(2)|K₆(2)|K₅(2)|K₆(2)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|K₅(2)|K₆(2)|K₅(2)|K₆(2)|K₅(2)|K₆(2)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|Kˢ₇(2)|Kˢ₇(2)|Kˢ₇(2)|Kˢ₈(2)|Kˢ₉(2)|Kˢ₇(2)|Kˢ₈(2)|Kˢ₉(2)|Kˢ₉(2)|Kˢ₇(2)|Kˢ₈(2)|Kˢ₈(2)|Kˢ₉(2)|Kˢ₇(2)|Kˢ₈(2)|Kˢ₉(2)|Kˢ₇(2)|Kˢ₉(2)|Kˢ₇(2)|Kˢ₈(2)
KA:(-1/3,-1/3,0)|KA₁(1)⊕KA₂(1)|KA₃(1)⊕KA₄(1)|KA₁(1)⊕KA₄(1)|KA₂(1)⊕KA₃(1)|KA₅(2)|KA₆(2)|KA₅(2)|KA₆(2)|KA₅(2)|KA₆(2)|KA₅(2)|KA₆(2)|KA₁(1)⊕KA₄(1)|KA₂(1)⊕KA₃(1)|KA₅(2)|KA₆(2)|KA₁(1)⊕KA₄(1)|KA₂(1)⊕KA₃(1)|KA₅(2)|KA₆(2)|KAˢ₇(2)|KAˢ₇(2)|KAˢ₇(2)|KAˢ₈(2)|KAˢ₉(2)|KAˢ₇(2)|KAˢ₈(2)|KAˢ₉(2)|KAˢ₈(2)|KAˢ₉(2)|KAˢ₇(2)|KAˢ₉(2)|KAˢ₇(2)|KAˢ₈(2)|KAˢ₉(2)|KAˢ₇(2)|KAˢ₈(2)|KAˢ₈(2)|KAˢ₉(2)|KAˢ₇(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|Lˢ₂(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₃(1)⊕Lˢ₅(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)|Lˢ₂(1)⊕Lˢ₄(1)
