Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2c(m)|2c(m)|2a(2)|2a(2)|2b(2)|2b(2)|2c(m)|2c(m)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A′↑G(2)|A′′↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₂(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕Rˢ₅(1)|Rˢ₄(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₃(1)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|Sˢ₃(1)⊕Sˢ₅(1)|Sˢ₂(1)⊕Sˢ₄(1)|Sˢ₂(1)⊕Sˢ₄(1)|Sˢ₃(1)⊕Sˢ₅(1)|Sˢ₄(1)⊕Sˢ₅(1)|Sˢ₂(1)⊕Sˢ₃(1)
T:(0,1/2,1/2)|T₁(1)⊕T₂(1)|T₃(1)⊕T₄(1)|T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₃(1)|T₂(1)⊕T₄(1)|Tˢ₅(2)|Tˢ₅(2)|Tˢ₅(2)|Tˢ₅(2)|Tˢ₅(2)|Tˢ₅(2)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|Uˢ₃(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₄(1)|Uˢ₃(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₄(1)|Uˢ₄(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₃(1)
X:(1/2,0,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₃(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₄(1)|Xˢ₄(1)⊕Xˢ₅(1)|Xˢ₂(1)⊕Xˢ₃(1)
Y:(0,1/2,0)|Y₁(1)⊕Y₂(1)|Y₃(1)⊕Y₄(1)|Y₃(1)⊕Y₄(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)
Z:(0,0,1/2)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|Zˢ₅(2)|Zˢ₅(2)|Zˢ₅(2)|Zˢ₅(2)|Zˢ₅(2)|Zˢ₅(2)
