Wyckoff pos.|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(2)|4c(2)|4d(2)|4d(2)|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(2)|4c(2)|4d(2)|4d(2)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|Aˢg↑G(4)|Aˢᵤ↑G(4)|Aˢg↑G(4)|Aˢᵤ↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|Rˢ₃(2)⊕Rˢ₄(2)|Rˢ₃(2)⊕Rˢ₄(2)|Rˢ₃(2)⊕Rˢ₄(2)|Rˢ₃(2)⊕Rˢ₄(2)|Rˢ₃(2)⊕Rˢ₄(2)|Rˢ₃(2)⊕Rˢ₄(2)|2Rˢ₄(2)|2Rˢ₃(2)
S:(1/2,1/2,0)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)
T:(0,1/2,1/2)|2T₁⁺(2)|2T₁⁻(2)|2T₁⁻(2)|2T₁⁺(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|T₁⁺(2)⊕T₁⁻(2)|Tˢ₂(1)⊕Tˢ₃(1)⊕Tˢ₄(1)⊕Tˢ₅(1)|Tˢ₆(1)⊕Tˢ₇(1)⊕Tˢ₈(1)⊕Tˢ₉(1)|Tˢ₆(1)⊕Tˢ₇(1)⊕Tˢ₈(1)⊕Tˢ₉(1)|Tˢ₂(1)⊕Tˢ₃(1)⊕Tˢ₄(1)⊕Tˢ₅(1)|Tˢ₃(1)⊕Tˢ₅(1)⊕Tˢ₇(1)⊕Tˢ₉(1)|Tˢ₂(1)⊕Tˢ₄(1)⊕Tˢ₆(1)⊕Tˢ₈(1)|Tˢ₄(1)⊕Tˢ₅(1)⊕Tˢ₈(1)⊕Tˢ₉(1)|Tˢ₂(1)⊕Tˢ₃(1)⊕Tˢ₆(1)⊕Tˢ₇(1)
U:(1/2,0,1/2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)|2X₂(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)|2Yˢ₄(2)|2Yˢ₃(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)
