Wyckoff pos.|4a(2)|4a(2)|4b(2)|4b(2)|4a(2)|4b(2)
Band-Rep.|A↑G(4)|B↑G(4)|A↑G(4)|B↑G(4)|¹Eˢ²Eˢ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₅A₅(4)|A₁A₄(2)⊕A₂A₃(2)|A₁A₄(2)⊕A₂A₃(2)|A₅A₅(4)|A₆ˢA₆ˢ(4)⊕A₇ˢA₇ˢ(4)|A₆ˢA₆ˢ(4)⊕A₇ˢA₇ˢ(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)|2Γ₅(2)|Γ₁(1)⊕Γ₂(1)⊕Γ₃(1)⊕Γ₄(1)|2Γ₅(2)|2Γ₆ˢ(2)⊕2Γ₇ˢ(2)|2Γ₆ˢ(2)⊕2Γ₇ˢ(2)
M:(1/2,1/2,0)|2M₅(2)|M₁M₃(2)⊕M₂M₄(2)|M₁M₃(2)⊕M₂M₄(2)|2M₅(2)|2M₆ˢM₇ˢ(4)|2M₆ˢM₇ˢ(4)
Z:(0,0,1/2)|Z₁Z₂(2)⊕Z₃Z₄(2)|2Z₅(2)|Z₁Z₂(2)⊕Z₃Z₄(2)|2Z₅(2)|2Z₆ˢZ₇ˢ(4)|2Z₆ˢZ₇ˢ(4)
R:(0,1/2,1/2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₁(2)|2R₂ˢR₃ˢ(2)⊕2R₄ˢR₅ˢ(2)|2R₂ˢR₃ˢ(2)⊕2R₄ˢR₅ˢ(2)
X:(0,1/2,0)|2X₁(2)|2X₁(2)|2X₁(2)|2X₁(2)|2X₂ˢX₃ˢ(2)⊕2X₄ˢX₅ˢ(2)|2X₂ˢX₃ˢ(2)⊕2X₄ˢX₅ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|2Λ₆ˢ(2)⊕2Λ₇ˢ(2)|2Λ₆ˢ(2)⊕2Λ₇ˢ(2)
V:(1/2,1/2,w)|2V₅(2)|V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|2V₅(2)|2V₆ˢ(2)⊕2V₇ˢ(2)|2V₆ˢ(2)⊕2V₇ˢ(2)
W:(0,1/2,w)|2W₁(2)|2W₁(2)|2W₁(2)|2W₁(2)|2W₂ˢ(1)⊕2W₃ˢ(1)⊕2W₄ˢ(1)⊕2W₅ˢ(1)|2W₂ˢ(1)⊕2W₃ˢ(1)⊕2W₄ˢ(1)⊕2W₅ˢ(1)
B:(0,v,w)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|2B₁(1)⊕2B₂(1)|4B₃ˢ(1)⊕4B₄ˢ(1)|4B₃ˢ(1)⊕4B₄ˢ(1)
C:(u,u,w)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|4C₃ˢ(1)⊕4C₄ˢ(1)|4C₃ˢ(1)⊕4C₄ˢ(1)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)
F:(u,1/2,w)|2F₁(1)⊕2F₂(1)|2F₁(1)⊕2F₂(1)|2F₁(1)⊕2F₂(1)|2F₁(1)⊕2F₂(1)|4F₃ˢ(1)⊕4F₄ˢ(1)|4F₃ˢ(1)⊕4F₄ˢ(1)
S:(u,u,1/2)|2S₁S₂(2)|2S₁S₂(2)|2S₁S₂(2)|2S₁S₂(2)|4S₃ˢS₄ˢ(2)|4S₃ˢS₄ˢ(2)
Σ:(u,u,0)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|4Σ₃ˢ(1)⊕4Σ₄ˢ(1)|4Σ₃ˢ(1)⊕4Σ₄ˢ(1)
T:(u,1/2,1/2)|2T₁T₂(2)|2T₁T₂(2)|2T₁T₂(2)|2T₁T₂(2)|4T₃ˢT₄ˢ(2)|4T₃ˢT₄ˢ(2)
U:(0,v,1/2)|2U₁(1)⊕2U₂(1)|2U₁(1)⊕2U₂(1)|2U₁(1)⊕2U₂(1)|2U₁(1)⊕2U₂(1)|4U₃ˢ(1)⊕4U₄ˢ(1)|4U₃ˢ(1)⊕4U₄ˢ(1)
Y:(u,1/2,0)|2Y₁Y₂(2)|2Y₁Y₂(2)|2Y₁Y₂(2)|2Y₁Y₂(2)|4Y₃ˢY₄ˢ(2)|4Y₃ˢY₄ˢ(2)
D:(u,v,0)|4D₁(1)|4D₁(1)|4D₁(1)|4D₁(1)|8D₂ˢ(1)|8D₂ˢ(1)
E:(u,v,1/2)|4E₁(1)|4E₁(1)|4E₁(1)|4E₁(1)|8E₂ˢ(1)|8E₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|8Ω₂ˢ(1)|8Ω₂ˢ(1)
