Wyckoff pos.|2a(-4)|2a(-4)|2a(-4)|2b(-4)|2b(-4)|2b(-4)|2c(mm2)|2c(mm2)|2c(mm2)|2c(mm2)|2a(-4)|2a(-4)|2b(-4)|2b(-4)|2c(mm2)
Band-Rep.|A↑G(2)|B↑G(2)|¹E²E↑G(4)|A↑G(2)|B↑G(2)|¹E²E↑G(4)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₅(2)|A₅(2)|A₁A₃(2)⊕A₂A₄(2)|A₅(2)|A₅(2)|A₁A₃(2)⊕A₂A₄(2)|A₁A₃(2)|A₂A₄(2)|A₅(2)|A₅(2)|Aˢ₆Aˢ₇(4)|Aˢ₆Aˢ₇(4)|Aˢ₆Aˢ₇(4)|Aˢ₆Aˢ₇(4)|Aˢ₆Aˢ₇(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₅(2)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₅(2)|Γ₅(2)|2Γˢ₇(2)|2Γˢ₆(2)|2Γˢ₇(2)|2Γˢ₆(2)|Γˢ₆(2)⊕Γˢ₇(2)
M:(1/2,1/2,0)|M₅(2)|M₅(2)|M₁M₃(2)⊕M₂M₄(2)|M₅(2)|M₅(2)|M₁M₃(2)⊕M₂M₄(2)|M₁M₃(2)|M₂M₄(2)|M₅(2)|M₅(2)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)|Mˢ₆Mˢ₇(4)
Z:(0,0,1/2)|Z₁(1)⊕Z₄(1)|Z₂(1)⊕Z₃(1)|2Z₅(2)|Z₂(1)⊕Z₃(1)|Z₁(1)⊕Z₄(1)|2Z₅(2)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|Z₅(2)|Z₅(2)|2Zˢ₇(2)|2Zˢ₆(2)|2Zˢ₆(2)|2Zˢ₇(2)|Zˢ₆(2)⊕Zˢ₇(2)
R:(0,1/2,1/2)|R₁(2)|R₁(2)|2R₁(2)|R₁(2)|R₁(2)|2R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|Rˢ₂Rˢ₅(2)⊕Rˢ₃Rˢ₄(2)|Rˢ₂Rˢ₅(2)⊕Rˢ₃Rˢ₄(2)|Rˢ₂Rˢ₅(2)⊕Rˢ₃Rˢ₄(2)|Rˢ₂Rˢ₅(2)⊕Rˢ₃Rˢ₄(2)|Rˢ₂Rˢ₅(2)⊕Rˢ₃Rˢ₄(2)
X:(0,1/2,0)|X₁(2)|X₁(2)|2X₁(2)|X₁(2)|X₁(2)|2X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃Λ₄(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃Λ₄(2)|2Λ₁(1)|2Λ₂(1)|Λ₃Λ₄(2)|Λ₃Λ₄(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)|2Λˢ₅(2)
V:(1/2,1/2,w)|V₁V₂(2)|V₁V₂(2)|V₃V₃(2)⊕V₄V₄(2)|V₁V₂(2)|V₁V₂(2)|V₃V₃(2)⊕V₄V₄(2)|V₃V₃(2)|V₄V₄(2)|V₁V₂(2)|V₁V₂(2)|Vˢ₅Vˢ₅(4)|Vˢ₅Vˢ₅(4)|Vˢ₅Vˢ₅(4)|Vˢ₅Vˢ₅(4)|Vˢ₅Vˢ₅(4)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)|2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)|2Cˢ₃(1)⊕2Cˢ₄(1)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
S:(u,u,1/2)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₁(1)⊕2S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₁(1)⊕2S₂(1)|2S₁(1)|2S₂(1)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2Sˢ₃(1)⊕2Sˢ₄(1)|2Sˢ₃(1)⊕2Sˢ₄(1)|2Sˢ₃(1)⊕2Sˢ₄(1)|2Sˢ₃(1)⊕2Sˢ₄(1)|2Sˢ₃(1)⊕2Sˢ₄(1)
Σ:(u,u,0)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕2Σˢ₄(1)
