Wyckoff pos.|2a(4ˢ2m)|2a(4ˢ2m)|2a(4ˢ2m)|2a(4ˢ2m)|2a(4ˢ2m)|2b(4ˢ2m)|2b(4ˢ2m)|2b(4ˢ2m)|2b(4ˢ2m)|2b(4ˢ2m)|2c(4mm)|2c(4mm)|2c(4mm)|2c(4mm)|2c(4mm)|4d(2/m)|4d(2/m)|4d(2/m)|4d(2/m)|4e(2/m)|4e(2/m)|4e(2/m)|4e(2/m)|2a(4ˢ2m)|2a(4ˢ2m)|2b(4ˢ2m)|2b(4ˢ2m)|2c(4mm)|2c(4mm)|4d(2/m)|4d(2/m)|4e(2/m)|4e(2/m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|E↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|Bg↑G(4)|Bᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|Bg↑G(4)|Bᵤ↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)|¹Eˢg²Eˢg↑G(8)|¹Eˢᵤ²Eˢᵤ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
A:(1/2,1/2,1/2)|A₂(2)|A₂(2)|A₁(2)|A₁(2)|A₃(2)⊕A₄(2)|A₁(2)|A₁(2)|A₂(2)|A₂(2)|A₃(2)⊕A₄(2)|A₃(2)|A₄(2)|A₄(2)|A₃(2)|A₁(2)⊕A₂(2)|A₂(2)⊕A₃(2)|A₂(2)⊕A₄(2)|A₁(2)⊕A₄(2)|A₁(2)⊕A₃(2)|A₁(2)⊕A₃(2)|A₁(2)⊕A₄(2)|A₂(2)⊕A₄(2)|A₂(2)⊕A₃(2)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|2Aˢ₅(4)|2Aˢ₅(4)|2Aˢ₅(4)|2Aˢ₅(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₃⁻(1)|Γ₁⁻(1)⊕Γ₃⁺(1)|Γ₂⁺(1)⊕Γ₄⁻(1)|Γ₂⁻(1)⊕Γ₄⁺(1)|Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)⊕Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₄⁻(1)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₅⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)⊕Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₄⁻(1)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₅⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₅⁻(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₈(2)|2Γˢ₆(2)⊕2Γˢ₇(2)|2Γˢ₈(2)⊕2Γˢ₉(2)|2Γˢ₆(2)⊕2Γˢ₇(2)|2Γˢ₈(2)⊕2Γˢ₉(2)
M:(1/2,1/2,0)|M₂(2)|M₂(2)|M₁(2)|M₁(2)|M₃(2)⊕M₄(2)|M₂(2)|M₂(2)|M₁(2)|M₁(2)|M₃(2)⊕M₄(2)|M₃(2)|M₄(2)|M₄(2)|M₃(2)|M₁(2)⊕M₂(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₃(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₃(2)|Mˢ₅(4)|Mˢ₅(4)|Mˢ₅(4)|Mˢ₅(4)|Mˢ₅(4)|Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)|2Mˢ₅(4)
Z:(0,0,1/2)|Z₁⁺(1)⊕Z₄⁻(1)|Z₁⁻(1)⊕Z₄⁺(1)|Z₂⁺(1)⊕Z₃⁻(1)|Z₂⁻(1)⊕Z₃⁺(1)|Z₅⁺(2)⊕Z₅⁻(2)|Z₂⁺(1)⊕Z₃⁻(1)|Z₂⁻(1)⊕Z₃⁺(1)|Z₁⁺(1)⊕Z₄⁻(1)|Z₁⁻(1)⊕Z₄⁺(1)|Z₅⁺(2)⊕Z₅⁻(2)|Z₁⁺(1)⊕Z₃⁻(1)|Z₁⁻(1)⊕Z₃⁺(1)|Z₂⁺(1)⊕Z₄⁻(1)|Z₂⁻(1)⊕Z₄⁺(1)|Z₅⁺(2)⊕Z₅⁻(2)|Z₁⁺(1)⊕Z₄⁺(1)⊕Z₅⁺(2)|Z₁⁻(1)⊕Z₄⁻(1)⊕Z₅⁻(2)|Z₂⁺(1)⊕Z₃⁺(1)⊕Z₅⁺(2)|Z₂⁻(1)⊕Z₃⁻(1)⊕Z₅⁻(2)|Z₂⁻(1)⊕Z₃⁻(1)⊕Z₅⁻(2)|Z₂⁺(1)⊕Z₃⁺(1)⊕Z₅⁺(2)|Z₁⁻(1)⊕Z₄⁻(1)⊕Z₅⁻(2)|Z₁⁺(1)⊕Z₄⁺(1)⊕Z₅⁺(2)|Zˢ₇(2)⊕Zˢ₈(2)|Zˢ₆(2)⊕Zˢ₉(2)|Zˢ₆(2)⊕Zˢ₉(2)|Zˢ₇(2)⊕Zˢ₈(2)|Zˢ₇(2)⊕Zˢ₉(2)|Zˢ₆(2)⊕Zˢ₈(2)|2Zˢ₆(2)⊕2Zˢ₇(2)|2Zˢ₈(2)⊕2Zˢ₉(2)|2Zˢ₈(2)⊕2Zˢ₉(2)|2Zˢ₆(2)⊕2Zˢ₇(2)
R:(0,1/2,1/2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)⊕R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)⊕R₂(2)|R₁(2)|R₂(2)|R₁(2)|R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|2Rˢ₃Rˢ₄(4)|2Rˢ₃Rˢ₄(4)|2Rˢ₃Rˢ₄(4)|2Rˢ₃Rˢ₄(4)
X:(0,1/2,0)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)|2Xˢ₃Xˢ₄(4)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|2Λ₅(2)|2Λ₁(1)|2Λ₄(1)|2Λ₂(1)|2Λ₃(1)|2Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₂(1)⊕Λ₄(1)⊕Λ₅(2)|Λ₁(1)⊕Λ₃(1)⊕Λ₅(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|2Λˢ₇(2)|2Λˢ₆(2)|2Λˢ₆(2)⊕2Λˢ₇(2)|2Λˢ₆(2)⊕2Λˢ₇(2)|2Λˢ₆(2)⊕2Λˢ₇(2)|2Λˢ₆(2)⊕2Λˢ₇(2)
