Wyckoff pos.|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)
B:(0,0,1/2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)
C:(1/2,1/2,0)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)
D:(0,1/2,1/2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|D₃ˢD₃ˢ(2)⊕D₄ˢD₄ˢ(2)|D₅ˢD₅ˢ(2)⊕D₆ˢD₆ˢ(2)|D₃ˢD₃ˢ(2)⊕D₄ˢD₄ˢ(2)|D₅ˢD₅ˢ(2)⊕D₆ˢD₆ˢ(2)|D₅ˢD₅ˢ(2)⊕D₆ˢD₆ˢ(2)|D₃ˢD₃ˢ(2)⊕D₄ˢD₄ˢ(2)|D₅ˢD₅ˢ(2)⊕D₆ˢD₆ˢ(2)|D₃ˢD₃ˢ(2)⊕D₄ˢD₄ˢ(2)
E:(1/2,1/2,1/2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|E₁⁻E₂⁻(2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|E₁⁺E₂⁺(2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)|E₅ˢE₅ˢ(2)⊕E₆ˢE₆ˢ(2)|E₅ˢE₅ˢ(2)⊕E₆ˢE₆ˢ(2)|E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)|E₅ˢE₅ˢ(2)⊕E₆ˢE₆ˢ(2)|E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)|E₃ˢE₃ˢ(2)⊕E₄ˢE₄ˢ(2)|E₅ˢE₅ˢ(2)⊕E₆ˢE₆ˢ(2)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)
