Wyckoff pos.|3a(1)|3a(1)
Band-Rep.|A↑G(3)|AˢAˢ↑G(6)
Decomposable|false|false
A:(0,0,1/2)|A₁(1)⊕A₂A₃(2)|2Aˢ₄Aˢ₅(2)⊕Aˢ₆Aˢ₆(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂Γ₃(2)|Γˢ₄Γˢ₄(2)⊕2Γˢ₅Γˢ₆(2)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)⊕H₃(1)|2Hˢ₄(1)⊕2Hˢ₅(1)⊕2Hˢ₆(1)
HA:(-1/3,-1/3,-1/2)|HA₁(1)⊕HA₂(1)⊕HA₃(1)|2HAˢ₄(1)⊕2HAˢ₅(1)⊕2HAˢ₆(1)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)⊕K₃(1)|2Kˢ₄(1)⊕2Kˢ₅(1)⊕2Kˢ₆(1)
KA:(-1/3,-1/3,0)|KA₁(1)⊕KA₂(1)⊕KA₃(1)|2KAˢ₄(1)⊕2KAˢ₅(1)⊕2KAˢ₆(1)
L:(1/2,0,1/2)|3L₁(1)|3Lˢ₂Lˢ₂(2)
M:(1/2,0,0)|3M₁(1)|3Mˢ₂Mˢ₂(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)|2Δˢ₄(1)⊕2Δˢ₅(1)⊕2Δˢ₆(1)
P:(1/3,1/3,w)|P₁(1)⊕P₂(1)⊕P₃(1)|2Pˢ₄(1)⊕2Pˢ₅(1)⊕2Pˢ₆(1)
PC:(-1/3,-1/3,-w)|PC₁(1)⊕PC₂(1)⊕PC₃(1)|2PCˢ₄(1)⊕2PCˢ₅(1)⊕2PCˢ₆(1)
B:(u,v,0)|3B₁(1)|6Bˢ₂(1)
C:(u,u,w)|3C₁(1)|6Cˢ₂(1)
D:(u,0,w)|3D₁(1)|6Dˢ₂(1)
E:(u,v,1/2)|3E₁(1)|6Eˢ₂(1)
Ω:(u,v,w)|3Ω₁(1)|6Ωˢ₂(1)
Λ:(u,u,0)|3Λ₁(1)|6Λˢ₂(1)
Q:(u,u,1/2)|3Q₁(1)|6Qˢ₂(1)
R:(u,0,1/2)|3R₁(1)|6Rˢ₂(1)
Σ:(u,0,0)|3Σ₁(1)|6Σˢ₂(1)
U:(1/2,0,w)|3U₁(1)|6Uˢ₂(1)
