Wyckoff pos.|3a(3m)|3a(3m)|3a(3m)|3a(3m)|3a(3m)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|E↑G(2)|¹Eˢ²Eˢ↑G(2)|Eˢ₁↑G(2)
Decomposable|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γˢ₄Γˢ₅(2)|Γˢ₆(2)
T:(0,0,3/2)|T₁(1)|T₂(1)|T₃(2)|Tˢ₄Tˢ₅(2)|Tˢ₆(2)
F:(0,1/2,1)|F₁(1)|F₂(1)|F₁(1)⊕F₂(1)|Fˢ₃Fˢ₄(2)|Fˢ₃Fˢ₄(2)
L:(-1/2,1/2,1/2)|L₁(1)|L₂(1)|L₁(1)⊕L₂(1)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)
Λ:(0,0,w)|Λ₁(1)|Λ₂(1)|Λ₃(2)|Λˢ₄(1)⊕Λˢ₅(1)|Λˢ₆(2)
C:(u,-u,w)|C₁(1)|C₂(1)|C₁(1)⊕C₂(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₄(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ωˢ₂(1)|2Ωˢ₂(1)
Σ:(u,-2u,0)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|2Σˢ₂(1)|2Σˢ₂(1)
Y:(u,u,3/2)|Y₁(1)|Y₁(1)|2Y₁(1)|2Yˢ₂(1)|2Yˢ₂(1)
