Wyckoff pos.|6a(32)|6a(32)|6a(32)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|18d(-1)|18d(-1)|6a(32)|6a(32)|6b(-3)|6b(-3)|6b(-3)|6b(-3)|18d(-1)|18d(-1)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|Ag↑G(2)|Aᵤ↑G(2)|¹Eg²Eg↑G(4)|¹Eᵤ²Eᵤ↑G(4)|Ag↑G(6)|Aᵤ↑G(6)|¹Eˢ²Eˢ↑G(4)|Eˢ₁↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|EˢgEˢg↑G(4)|EˢᵤEˢᵤ↑G(4)|AˢgAˢg↑G(12)|AˢᵤAˢᵤ↑G(12)
Decomposable|false|false|false|false|false|false|false|true|true|false|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|2Γ₃⁺(2)|2Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₃⁻(2)|Γˢ₄Γˢ₅(2)⊕Γˢ₆Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|2Γˢ₈(2)|2Γˢ₉(2)|2Γˢ₄Γˢ₅(2)|2Γˢ₆Γˢ₇(2)|2Γˢ₄Γˢ₅(2)⊕4Γˢ₈(2)|2Γˢ₆Γˢ₇(2)⊕4Γˢ₉(2)
T:(0,0,3/2)|T₃(2)|T₃(2)|T₁T₂(4)|T₃(2)|T₃(2)|T₁T₂(4)|T₁T₂(4)|T₁T₂(4)⊕T₃(2)|T₁T₂(4)⊕T₃(2)|Tˢ₄Tˢ₄(4)|Tˢ₅Tˢ₆(4)|Tˢ₅Tˢ₆(4)|Tˢ₅Tˢ₆(4)|Tˢ₄Tˢ₄(4)|Tˢ₄Tˢ₄(4)|Tˢ₄Tˢ₄(4)⊕2Tˢ₅Tˢ₆(4)|Tˢ₄Tˢ₄(4)⊕2Tˢ₅Tˢ₆(4)
F:(0,1/2,1)|F₁⁺(1)⊕F₁⁻(1)|F₂⁺(1)⊕F₂⁻(1)|F₁⁺(1)⊕F₁⁻(1)⊕F₂⁺(1)⊕F₂⁻(1)|F₁⁺(1)⊕F₂⁺(1)|F₁⁻(1)⊕F₂⁻(1)|2F₁⁺(1)⊕2F₂⁺(1)|2F₁⁻(1)⊕2F₂⁻(1)|F₁⁺(1)⊕2F₁⁻(1)⊕F₂⁺(1)⊕2F₂⁻(1)|2F₁⁺(1)⊕F₁⁻(1)⊕2F₂⁺(1)⊕F₂⁻(1)|Fˢ₃Fˢ₄(2)⊕Fˢ₅Fˢ₆(2)|Fˢ₃Fˢ₄(2)⊕Fˢ₅Fˢ₆(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₅Fˢ₆(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₅Fˢ₆(2)|2Fˢ₃Fˢ₄(2)⊕4Fˢ₅Fˢ₆(2)|4Fˢ₃Fˢ₄(2)⊕2Fˢ₅Fˢ₆(2)
L:(-1/2,1/2,1/2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|2L₁(2)|3L₁(2)|3L₁(2)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|Lˢ₂Lˢ₂(4)|3Lˢ₂Lˢ₂(4)|3Lˢ₂Lˢ₂(4)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λˢ₄Λˢ₅(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₄Λˢ₅(2)|2Λˢ₄Λˢ₅(2)|2Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)
C:(u,-u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₁(1)⊕2C₂(1)|3C₁(1)⊕3C₂(1)|3C₁(1)⊕3C₂(1)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|2Cˢ₃Cˢ₄(2)|6Cˢ₃Cˢ₄(2)|6Cˢ₃Cˢ₄(2)
Σ:(u,-2u,0)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|3Σ₁(1)⊕3Σ₂(1)|2Σˢ₃Σˢ₄(2)|2Σˢ₃Σˢ₄(2)|2Σˢ₃Σˢ₄(2)|2Σˢ₃Σˢ₄(2)|2Σˢ₃Σˢ₄(2)|2Σˢ₃Σˢ₄(2)|6Σˢ₃Σˢ₄(2)|6Σˢ₃Σˢ₄(2)
