Wyckoff pos.|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|2c(-6)|2c(-6)|2c(-6)|2c(-6)|2d(-6)|2d(-6)|2d(-6)|2d(-6)|3f(2/m)|3f(2/m)|3f(2/m)|3f(2/m)|3g(2/m)|3g(2/m)|3g(2/m)|3g(2/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1a(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|1b(6/m)|2c(-6)|2c(-6)|2c(-6)|2d(-6)|2d(-6)|2d(-6)|3f(2/m)|3f(2/m)|3g(2/m)|3g(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹E₁g²E₁g↑G(2)|¹E₁ᵤ²E₁ᵤ↑G(2)|¹E₂g²E₂g↑G(2)|¹E₂ᵤ²E₂ᵤ↑G(2)|Ag↑G(1)|Aᵤ↑G(1)|Bg↑G(1)|Bᵤ↑G(1)|¹E₁g²E₁g↑G(2)|¹E₁ᵤ²E₁ᵤ↑G(2)|¹E₂g²E₂g↑G(2)|¹E₂ᵤ²E₂ᵤ↑G(2)|A′↑G(2)|A′′↑G(2)|¹E′′²E′′↑G(4)|¹E′²E′↑G(4)|A′↑G(2)|A′′↑G(2)|¹E′′²E′′↑G(4)|¹E′²E′↑G(4)|Ag↑G(3)|Aᵤ↑G(3)|Bg↑G(3)|Bᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|Bg↑G(3)|Bᵤ↑G(3)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢ₃g²Eˢ₃g↑G(2)|¹Eˢ₃ᵤ²Eˢ₃ᵤ↑G(2)|¹Eˢ₁g²Eˢ₁g↑G(2)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(2)|¹Eˢ₂g²Eˢ₂g↑G(2)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(2)|¹Eˢ₃g²Eˢ₃g↑G(2)|¹Eˢ₃ᵤ²Eˢ₃ᵤ↑G(2)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)|¹Eˢg²Eˢg↑G(6)|¹Eˢᵤ²Eˢᵤ↑G(6)|¹Eˢg²Eˢg↑G(6)|¹Eˢᵤ²Eˢᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|true|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true
A:(0,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₃⁺A₅⁺(2)|A₃⁻A₅⁻(2)|A₄⁺A₆⁺(2)|A₄⁻A₆⁻(2)|A₁⁻(1)|A₁⁺(1)|A₂⁻(1)|A₂⁺(1)|A₃⁻A₅⁻(2)|A₃⁺A₅⁺(2)|A₄⁻A₆⁻(2)|A₄⁺A₆⁺(2)|A₁⁺(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁺(1)|A₃⁻A₅⁻(2)⊕A₄⁺A₆⁺(2)|A₃⁺A₅⁺(2)⊕A₄⁻A₆⁻(2)|A₁⁻(1)⊕A₂⁺(1)|A₁⁺(1)⊕A₂⁻(1)|A₃⁺A₅⁺(2)⊕A₄⁻A₆⁻(2)|A₃⁻A₅⁻(2)⊕A₄⁺A₆⁺(2)|A₁⁺(1)⊕A₃⁺A₅⁺(2)|A₁⁻(1)⊕A₃⁻A₅⁻(2)|A₂⁺(1)⊕A₄⁺A₆⁺(2)|A₂⁻(1)⊕A₄⁻A₆⁻(2)|A₁⁻(1)⊕A₃⁻A₅⁻(2)|A₁⁺(1)⊕A₃⁺A₅⁺(2)|A₂⁻(1)⊕A₄⁻A₆⁻(2)|A₂⁺(1)⊕A₄⁺A₆⁺(2)|Aˢ₇Aˢ₈(2)|Aˢ₁₃Aˢ₁₄(2)|Aˢ₁₂Aˢ₉(2)|Aˢ₁₅Aˢ₁₈(2)|Aˢ₁₀Aˢ₁₁(2)|Aˢ₁₆Aˢ₁₇(2)|Aˢ₁₃Aˢ₁₄(2)|Aˢ₇Aˢ₈(2)|Aˢ₁₅Aˢ₁₈(2)|Aˢ₁₂Aˢ₉(2)|Aˢ₁₆Aˢ₁₇(2)|Aˢ₁₀Aˢ₁₁(2)|Aˢ₇Aˢ₈(2)⊕Aˢ₁₃Aˢ₁₄(2)|Aˢ₁₂Aˢ₉(2)⊕Aˢ₁₆Aˢ₁₇(2)|Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₅Aˢ₁₈(2)|Aˢ₇Aˢ₈(2)⊕Aˢ₁₃Aˢ₁₄(2)|Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₅Aˢ₁₈(2)|Aˢ₁₂Aˢ₉(2)⊕Aˢ₁₆Aˢ₁₇(2)|Aˢ₇Aˢ₈(2)⊕Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₂Aˢ₉(2)|Aˢ₁₃Aˢ₁₄(2)⊕Aˢ₁₅Aˢ₁₈(2)⊕Aˢ₁₆Aˢ₁₇(2)|Aˢ₁₃Aˢ₁₄(2)⊕Aˢ₁₅Aˢ₁₈(2)⊕Aˢ₁₆Aˢ₁₇(2)|Aˢ₇Aˢ₈(2)⊕Aˢ₁₀Aˢ₁₁(2)⊕Aˢ₁₂Aˢ₉(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₅⁺(2)|Γ₃⁻Γ₅⁻(2)|Γ₄⁺Γ₆⁺(2)|Γ₄⁻Γ₆⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₃⁺Γ₅⁺(2)|Γ₃⁻Γ₅⁻(2)|Γ₄⁺Γ₆⁺(2)|Γ₄⁻Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻Γ₅⁻(2)⊕Γ₄⁺Γ₆⁺(2)|Γ₃⁺Γ₅⁺(2)⊕Γ₄⁻Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁻Γ₅⁻(2)⊕Γ₄⁺Γ₆⁺(2)|Γ₃⁺Γ₅⁺(2)⊕Γ₄⁻Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₃⁺Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₃⁻Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₄⁺Γ₆⁺(2)|Γ₂⁻(1)⊕Γ₄⁻Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₃⁺Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₃⁻Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₄⁺Γ₆⁺(2)|Γ₂⁻(1)⊕Γ₄⁻Γ₆⁻(2)|Γˢ₇Γˢ₈(2)|Γˢ₁₃Γˢ₁₄(2)|Γˢ₁₂Γˢ₉(2)|Γˢ₁₅Γˢ₁₈(2)|Γˢ₁₀Γˢ₁₁(2)|Γˢ₁₆Γˢ₁₇(2)|Γˢ₇Γˢ₈(2)|Γˢ₁₃Γˢ₁₄(2)|Γˢ₁₂Γˢ₉(2)|Γˢ₁₅Γˢ₁₈(2)|Γˢ₁₀Γˢ₁₁(2)|Γˢ₁₆Γˢ₁₇(2)|Γˢ₇Γˢ₈(2)⊕Γˢ₁₃Γˢ₁₄(2)|Γˢ₁₂Γˢ₉(2)⊕Γˢ₁₆Γˢ₁₇(2)|Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₅Γˢ₁₈(2)|Γˢ₇Γˢ₈(2)⊕Γˢ₁₃Γˢ₁₄(2)|Γˢ₁₂Γˢ₉(2)⊕Γˢ₁₆Γˢ₁₇(2)|Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₅Γˢ₁₈(2)|Γˢ₇Γˢ₈(2)⊕Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)|Γˢ₁₃Γˢ₁₄(2)⊕Γˢ₁₅Γˢ₁₈(2)⊕Γˢ₁₆Γˢ₁₇(2)|Γˢ₇Γˢ₈(2)⊕Γˢ₁₀Γˢ₁₁(2)⊕Γˢ₁₂Γˢ₉(2)|Γˢ₁₃Γˢ₁₄(2)⊕Γˢ₁₅Γˢ₁₈(2)⊕Γˢ₁₆Γˢ₁₇(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₂(1)|H₁(1)|H₃H₅(2)|H₄H₆(2)|H₄H₆(2)|H₃H₅(2)|H₂(1)|H₁(1)|H₁(1)|H₂(1)|H₄H₆(2)|H₃H₅(2)|H₃H₅(2)|H₄H₆(2)|H₃H₅(2)|H₄H₆(2)|2H₂(1)⊕H₄H₆(2)|2H₁(1)⊕H₃H₅(2)|H₄H₆(2)|H₃H₅(2)|2H₁(1)⊕H₃H₅(2)|2H₂(1)⊕H₄H₆(2)|H₁(1)⊕H₃H₅(2)|H₂(1)⊕H₄H₆(2)|H₂(1)⊕H₄H₆(2)|H₁(1)⊕H₃H₅(2)|H₂(1)⊕H₄H₆(2)|H₁(1)⊕H₃H₅(2)|H₁(1)⊕H₃H₅(2)|H₂(1)⊕H₄H₆(2)|Hˢ₇Hˢ₈(2)|Hˢ₇Hˢ₈(2)|Hˢ₁₂Hˢ₉(2)|Hˢ₁₀Hˢ₁₁(2)|Hˢ₁₀Hˢ₁₁(2)|Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)|Hˢ₇Hˢ₈(2)|Hˢ₁₀Hˢ₁₁(2)|Hˢ₁₂Hˢ₉(2)|Hˢ₁₂Hˢ₉(2)|Hˢ₁₀Hˢ₁₁(2)|Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)|Hˢ₇Hˢ₈(2)⊕Hˢ₁₀Hˢ₁₁(2)⊕Hˢ₁₂Hˢ₉(2)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₃K₅(2)|K₄K₆(2)|K₄K₆(2)|K₃K₅(2)|K₁(1)|K₂(1)|K₂(1)|K₁(1)|K₃K₅(2)|K₄K₆(2)|K₄K₆(2)|K₃K₅(2)|K₃K₅(2)|K₄K₆(2)|2K₂(1)⊕K₄K₆(2)|2K₁(1)⊕K₃K₅(2)|K₃K₅(2)|K₄K₆(2)|2K₂(1)⊕K₄K₆(2)|2K₁(1)⊕K₃K₅(2)|K₁(1)⊕K₃K₅(2)|K₂(1)⊕K₄K₆(2)|K₂(1)⊕K₄K₆(2)|K₁(1)⊕K₃K₅(2)|K₁(1)⊕K₃K₅(2)|K₂(1)⊕K₄K₆(2)|K₂(1)⊕K₄K₆(2)|K₁(1)⊕K₃K₅(2)|Kˢ₇Kˢ₈(2)|Kˢ₇Kˢ₈(2)|Kˢ₁₂Kˢ₉(2)|Kˢ₁₀Kˢ₁₁(2)|Kˢ₁₀Kˢ₁₁(2)|Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)|Kˢ₇Kˢ₈(2)|Kˢ₁₂Kˢ₉(2)|Kˢ₁₀Kˢ₁₁(2)|Kˢ₁₀Kˢ₁₁(2)|Kˢ₁₂Kˢ₉(2)|Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)|Kˢ₇Kˢ₈(2)⊕Kˢ₁₀Kˢ₁₁(2)⊕Kˢ₁₂Kˢ₉(2)
L:(1/2,0,1/2)|L₁⁺(1)|L₁⁻(1)|L₂⁺(1)|L₂⁻(1)|2L₁⁺(1)|2L₁⁻(1)|2L₂⁺(1)|2L₂⁻(1)|L₁⁻(1)|L₁⁺(1)|L₂⁻(1)|L₂⁺(1)|2L₁⁻(1)|2L₁⁺(1)|2L₂⁻(1)|2L₂⁺(1)|L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|2L₁⁻(1)⊕2L₂⁺(1)|2L₁⁺(1)⊕2L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|L₁⁺(1)⊕L₂⁻(1)|2L₁⁺(1)⊕2L₂⁻(1)|2L₁⁻(1)⊕2L₂⁺(1)|L₁⁺(1)⊕2L₂⁻(1)|L₁⁻(1)⊕2L₂⁺(1)|2L₁⁻(1)⊕L₂⁺(1)|2L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕2L₂⁺(1)|L₁⁺(1)⊕2L₂⁻(1)|2L₁⁺(1)⊕L₂⁻(1)|2L₁⁻(1)⊕L₂⁺(1)|Lˢ₃Lˢ₄(2)|Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)|Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)|Lˢ₅Lˢ₆(2)|Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)|Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)|Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕2Lˢ₅Lˢ₆(2)|2Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|2Lˢ₃Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₃Lˢ₄(2)⊕2Lˢ₅Lˢ₆(2)
M:(1/2,0,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|2M₁⁺(1)|2M₁⁻(1)|2M₂⁺(1)|2M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|2M₁⁺(1)|2M₁⁻(1)|2M₂⁺(1)|2M₂⁻(1)|M₁⁺(1)⊕M₂⁻(1)|M₁⁻(1)⊕M₂⁺(1)|2M₁⁻(1)⊕2M₂⁺(1)|2M₁⁺(1)⊕2M₂⁻(1)|M₁⁺(1)⊕M₂⁻(1)|M₁⁻(1)⊕M₂⁺(1)|2M₁⁻(1)⊕2M₂⁺(1)|2M₁⁺(1)⊕2M₂⁻(1)|M₁⁺(1)⊕2M₂⁻(1)|M₁⁻(1)⊕2M₂⁺(1)|2M₁⁻(1)⊕M₂⁺(1)|2M₁⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕2M₂⁻(1)|M₁⁻(1)⊕2M₂⁺(1)|2M₁⁻(1)⊕M₂⁺(1)|2M₁⁺(1)⊕M₂⁻(1)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)|Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)|Mˢ₃Mˢ₄(2)⊕2Mˢ₅Mˢ₆(2)|2Mˢ₃Mˢ₄(2)⊕Mˢ₅Mˢ₆(2)
Δ:(0,0,w)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₃Δ₅(2)|Δ₃Δ₅(2)|Δ₄Δ₆(2)|Δ₄Δ₆(2)|Δ₁(1)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₃Δ₅(2)|Δ₃Δ₅(2)|Δ₄Δ₆(2)|Δ₄Δ₆(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃Δ₅(2)⊕Δ₄Δ₆(2)|Δ₃Δ₅(2)⊕Δ₄Δ₆(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃Δ₅(2)⊕Δ₄Δ₆(2)|Δ₃Δ₅(2)⊕Δ₄Δ₆(2)|Δ₁(1)⊕Δ₃Δ₅(2)|Δ₁(1)⊕Δ₃Δ₅(2)|Δ₂(1)⊕Δ₄Δ₆(2)|Δ₂(1)⊕Δ₄Δ₆(2)|Δ₁(1)⊕Δ₃Δ₅(2)|Δ₁(1)⊕Δ₃Δ₅(2)|Δ₂(1)⊕Δ₄Δ₆(2)|Δ₂(1)⊕Δ₄Δ₆(2)|Δˢ₇Δˢ₈(2)|Δˢ₇Δˢ₈(2)|Δˢ₁₂Δˢ₉(2)|Δˢ₁₂Δˢ₉(2)|Δˢ₁₀Δˢ₁₁(2)|Δˢ₁₀Δˢ₁₁(2)|Δˢ₇Δˢ₈(2)|Δˢ₇Δˢ₈(2)|Δˢ₁₂Δˢ₉(2)|Δˢ₁₂Δˢ₉(2)|Δˢ₁₀Δˢ₁₁(2)|Δˢ₁₀Δˢ₁₁(2)|2Δˢ₇Δˢ₈(2)|Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|2Δˢ₇Δˢ₈(2)|Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₇Δˢ₈(2)⊕Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₇Δˢ₈(2)⊕Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₇Δˢ₈(2)⊕Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)|Δˢ₇Δˢ₈(2)⊕Δˢ₁₀Δˢ₁₁(2)⊕Δˢ₁₂Δˢ₉(2)
