Wyckoff pos.|2a(3m)|2a(3m)|2a(3m)|2b(3m)|2b(3m)|2b(3m)|2a(3m)|2a(3m)|2b(3m)|2b(3m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|¹Eˢ²Eˢ↑G(4)|E₁ˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|E₁ˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁A₄(2)|A₂A₃(2)|A₅A₆(4)|A₁A₄(2)|A₂A₃(2)|A₅A₆(4)|A₇ˢA₇ˢ(4)|A₈ˢA₉ˢ(4)|A₇ˢA₇ˢ(4)|A₈ˢA₉ˢ(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₅(2)⊕Γ₆(2)|2Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|2Γ₇ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)
H:(1/3,1/3,1/2)|H₁H₂(2)|H₁H₂(2)|2H₃(2)|H₃(2)|H₃(2)|H₁H₂(2)⊕H₃(2)|2H₄ˢH₅ˢ(2)|2H₆ˢ(2)|2H₆ˢ(2)|H₄ˢH₅ˢ(2)⊕H₆ˢ(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|2K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|2K₄ˢ(1)⊕2K₅ˢ(1)|2K₆ˢ(2)|2K₆ˢ(2)|K₄ˢ(1)⊕K₅ˢ(1)⊕K₆ˢ(2)
L:(1/2,0,1/2)|L₁L₄(2)|L₂L₃(2)|L₁L₄(2)⊕L₂L₃(2)|L₁L₄(2)|L₂L₃(2)|L₁L₄(2)⊕L₂L₃(2)|L₅ˢL₅ˢ(4)|L₅ˢL₅ˢ(4)|L₅ˢL₅ˢ(4)|L₅ˢL₅ˢ(4)
M:(1/2,0,0)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)|2M₅ˢ(2)|2M₅ˢ(2)|2M₅ˢ(2)|2M₅ˢ(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₅(2)⊕Δ₆(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)
P:(1/3,1/3,w)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|2P₃(2)|P₃(2)|P₃(2)|P₁(1)⊕P₂(1)⊕P₃(2)|2P₄ˢ(1)⊕2P₅ˢ(1)|2P₆ˢ(2)|2P₆ˢ(2)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(2)
U:(1/2,0,w)|U₁(1)⊕U₄(1)|U₂(1)⊕U₃(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|U₁(1)⊕U₄(1)|U₂(1)⊕U₃(1)|U₁(1)⊕U₂(1)⊕U₃(1)⊕U₄(1)|2U₅ˢ(2)|2U₅ˢ(2)|2U₅ˢ(2)|2U₅ˢ(2)
C:(u,u,w)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|C₁(1)⊕C₂(1)|C₁(1)⊕C₂(1)|2C₁(1)⊕2C₂(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)|2C₃ˢ(1)⊕2C₄ˢ(1)
D:(u,0,w)|2D₁(1)|2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)|2D₂(1)|2D₁(1)⊕2D₂(1)|2D₃ˢ(1)⊕2D₄ˢ(1)|2D₃ˢ(1)⊕2D₄ˢ(1)|2D₃ˢ(1)⊕2D₄ˢ(1)|2D₃ˢ(1)⊕2D₄ˢ(1)
Λ:(u,u,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)⊕2Λ₂(1)|2Λ₃ˢ(1)⊕2Λ₄ˢ(1)|2Λ₃ˢ(1)⊕2Λ₄ˢ(1)|2Λ₃ˢ(1)⊕2Λ₄ˢ(1)|2Λ₃ˢ(1)⊕2Λ₄ˢ(1)
Q:(u,u,1/2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|Q₁Q₂(2)|Q₁Q₂(2)|2Q₁Q₂(2)|2Q₃ˢQ₄ˢ(2)|2Q₃ˢQ₄ˢ(2)|2Q₃ˢQ₄ˢ(2)|2Q₃ˢQ₄ˢ(2)
R:(u,0,1/2)|R₁R₁(2)|R₂R₂(2)|R₁R₁(2)⊕R₂R₂(2)|R₁R₁(2)|R₂R₂(2)|R₁R₁(2)⊕R₂R₂(2)|R₃ˢR₃ˢ(2)⊕R₄ˢR₄ˢ(2)|R₃ˢR₃ˢ(2)⊕R₄ˢR₄ˢ(2)|R₃ˢR₃ˢ(2)⊕R₄ˢR₄ˢ(2)|R₃ˢR₃ˢ(2)⊕R₄ˢR₄ˢ(2)
Σ:(u,0,0)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)|2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)|2Σ₃ˢ(1)⊕2Σ₄ˢ(1)
B:(u,v,0)|2B₁(1)|2B₁(1)|4B₁(1)|2B₁(1)|2B₁(1)|4B₁(1)|4B₂ˢ(1)|4B₂ˢ(1)|4B₂ˢ(1)|4B₂ˢ(1)
E:(u,v,1/2)|E₁E₁(2)|E₁E₁(2)|2E₁E₁(2)|E₁E₁(2)|E₁E₁(2)|2E₁E₁(2)|2E₂ˢE₂ˢ(2)|2E₂ˢE₂ˢ(2)|2E₂ˢE₂ˢ(2)|2E₂ˢE₂ˢ(2)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ω₁(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)|4Ω₂ˢ(1)
