Wyckoff pos.|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|2c(-6m2)|2c(-6m2)|2c(-6m2)|2c(-6m2)|2c(-6m2)|2c(-6m2)|2d(-6m2)|2d(-6m2)|2d(-6m2)|2d(-6m2)|2d(-6m2)|2d(-6m2)|3f(mmm)|3f(mmm)|3f(mmm)|3f(mmm)|3f(mmm)|3f(mmm)|3f(mmm)|3f(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|3g(mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1a(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|1b(6/mmm)|2c(-6m2)|2c(-6m2)|2c(-6m2)|2d(-6m2)|2d(-6m2)|2d(-6m2)|3f(mmm)|3f(mmm)|3g(mmm)|3g(mmm)
Band-Rep.|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|E₁g↑G(2)|E₁ᵤ↑G(2)|E₂g↑G(2)|E₂ᵤ↑G(2)|A₁g↑G(1)|A₁ᵤ↑G(1)|A₂g↑G(1)|A₂ᵤ↑G(1)|B₁g↑G(1)|B₁ᵤ↑G(1)|B₂g↑G(1)|B₂ᵤ↑G(1)|E₁g↑G(2)|E₁ᵤ↑G(2)|E₂g↑G(2)|E₂ᵤ↑G(2)|A₁′↑G(2)|A₁′′↑G(2)|A₂′↑G(2)|A₂′′↑G(2)|E′↑G(4)|E′′↑G(4)|A₁′↑G(2)|A₁′′↑G(2)|A₂′↑G(2)|A₂′′↑G(2)|E′↑G(4)|E′′↑G(4)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|E₃gˢ↑G(2)|E₃ᵤˢ↑G(2)|E₁gˢ↑G(2)|E₁ᵤˢ↑G(2)|E₂gˢ↑G(2)|E₂ᵤˢ↑G(2)|E₃gˢ↑G(2)|E₃ᵤˢ↑G(2)|E₁ˢ↑G(4)|E₂ˢ↑G(4)|E₃ˢ↑G(4)|E₁ˢ↑G(4)|E₂ˢ↑G(4)|E₃ˢ↑G(4)|Egˢ↑G(6)|Eᵤˢ↑G(6)|Egˢ↑G(6)|Eᵤˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true
A:(0,0,1/2)|A₁⁺(1)|A₁⁻(1)|A₂⁺(1)|A₂⁻(1)|A₄⁺(1)|A₄⁻(1)|A₃⁺(1)|A₃⁻(1)|A₆⁺(2)|A₆⁻(2)|A₅⁺(2)|A₅⁻(2)|A₂⁻(1)|A₂⁺(1)|A₁⁻(1)|A₁⁺(1)|A₃⁻(1)|A₃⁺(1)|A₄⁻(1)|A₄⁺(1)|A₆⁻(2)|A₆⁺(2)|A₅⁻(2)|A₅⁺(2)|A₁⁺(1)⊕A₄⁻(1)|A₂⁺(1)⊕A₃⁻(1)|A₁⁻(1)⊕A₄⁺(1)|A₂⁻(1)⊕A₃⁺(1)|A₅⁺(2)⊕A₆⁻(2)|A₅⁻(2)⊕A₆⁺(2)|A₂⁻(1)⊕A₃⁺(1)|A₁⁻(1)⊕A₄⁺(1)|A₂⁺(1)⊕A₃⁻(1)|A₁⁺(1)⊕A₄⁻(1)|A₅⁻(2)⊕A₆⁺(2)|A₅⁺(2)⊕A₆⁻(2)|A₁⁺(1)⊕A₅⁺(2)|A₁⁻(1)⊕A₅⁻(2)|A₂⁺(1)⊕A₅⁺(2)|A₂⁻(1)⊕A₅⁻(2)|A₄⁺(1)⊕A₆⁺(2)|A₄⁻(1)⊕A₆⁻(2)|A₃⁺(1)⊕A₆⁺(2)|A₃⁻(1)⊕A₆⁻(2)|A₂⁻(1)⊕A₅⁻(2)|A₂⁺(1)⊕A₅⁺(2)|A₁⁻(1)⊕A₅⁻(2)|A₁⁺(1)⊕A₅⁺(2)|A₃⁻(1)⊕A₆⁻(2)|A₃⁺(1)⊕A₆⁺(2)|A₄⁻(1)⊕A₆⁻(2)|A₄⁺(1)⊕A₆⁺(2)|A₉ˢ(2)|A₁₂ˢ(2)|A₈ˢ(2)|A₁₁ˢ(2)|A₇ˢ(2)|A₁₀ˢ(2)|A₁₂ˢ(2)|A₉ˢ(2)|A₁₁ˢ(2)|A₈ˢ(2)|A₁₀ˢ(2)|A₇ˢ(2)|A₉ˢ(2)⊕A₁₁ˢ(2)|A₈ˢ(2)⊕A₁₂ˢ(2)|A₇ˢ(2)⊕A₁₀ˢ(2)|A₈ˢ(2)⊕A₁₂ˢ(2)|A₉ˢ(2)⊕A₁₁ˢ(2)|A₇ˢ(2)⊕A₁₀ˢ(2)|A₇ˢ(2)⊕A₈ˢ(2)⊕A₉ˢ(2)|A₁₀ˢ(2)⊕A₁₁ˢ(2)⊕A₁₂ˢ(2)|A₁₀ˢ(2)⊕A₁₁ˢ(2)⊕A₁₂ˢ(2)|A₇ˢ(2)⊕A₈ˢ(2)⊕A₉ˢ(2)
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₆⁺(2)|Γ₆⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺(1)|Γ₂⁻(1)|Γ₄⁺(1)|Γ₄⁻(1)|Γ₃⁺(1)|Γ₃⁻(1)|Γ₆⁺(2)|Γ₆⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γ₅⁺(2)⊕Γ₆⁻(2)|Γ₅⁻(2)⊕Γ₆⁺(2)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γ₅⁺(2)⊕Γ₆⁻(2)|Γ₅⁻(2)⊕Γ₆⁺(2)|Γ₁⁺(1)⊕Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₅⁺(2)|Γ₂⁻(1)⊕Γ₅⁻(2)|Γ₄⁺(1)⊕Γ₆⁺(2)|Γ₄⁻(1)⊕Γ₆⁻(2)|Γ₃⁺(1)⊕Γ₆⁺(2)|Γ₃⁻(1)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₅⁺(2)|Γ₂⁻(1)⊕Γ₅⁻(2)|Γ₄⁺(1)⊕Γ₆⁺(2)|Γ₄⁻(1)⊕Γ₆⁻(2)|Γ₃⁺(1)⊕Γ₆⁺(2)|Γ₃⁻(1)⊕Γ₆⁻(2)|Γ₉ˢ(2)|Γ₁₂ˢ(2)|Γ₈ˢ(2)|Γ₁₁ˢ(2)|Γ₇ˢ(2)|Γ₁₀ˢ(2)|Γ₉ˢ(2)|Γ₁₂ˢ(2)|Γ₈ˢ(2)|Γ₁₁ˢ(2)|Γ₇ˢ(2)|Γ₁₀ˢ(2)|Γ₉ˢ(2)⊕Γ₁₁ˢ(2)|Γ₈ˢ(2)⊕Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₉ˢ(2)⊕Γ₁₁ˢ(2)|Γ₈ˢ(2)⊕Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₀ˢ(2)⊕Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₀ˢ(2)⊕Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₂(1)|H₁(1)|H₆(2)|H₅(2)|H₅(2)|H₆(2)|H₃(1)|H₄(1)|H₂(1)|H₁(1)|H₁(1)|H₂(1)|H₄(1)|H₃(1)|H₅(2)|H₆(2)|H₆(2)|H₅(2)|H₅(2)|H₅(2)|H₆(2)|H₆(2)|H₁(1)⊕H₄(1)⊕H₅(2)|H₂(1)⊕H₃(1)⊕H₆(2)|H₆(2)|H₆(2)|H₅(2)|H₅(2)|H₂(1)⊕H₃(1)⊕H₆(2)|H₁(1)⊕H₄(1)⊕H₅(2)|H₁(1)⊕H₅(2)|H₂(1)⊕H₆(2)|H₄(1)⊕H₅(2)|H₃(1)⊕H₆(2)|H₃(1)⊕H₆(2)|H₄(1)⊕H₅(2)|H₂(1)⊕H₆(2)|H₁(1)⊕H₅(2)|H₃(1)⊕H₆(2)|H₄(1)⊕H₅(2)|H₂(1)⊕H₆(2)|H₁(1)⊕H₅(2)|H₁(1)⊕H₅(2)|H₂(1)⊕H₆(2)|H₄(1)⊕H₅(2)|H₃(1)⊕H₆(2)|H₉ˢ(2)|H₈ˢ(2)|H₈ˢ(2)|H₉ˢ(2)|H₇ˢ(2)|H₇ˢ(2)|H₈ˢ(2)|H₉ˢ(2)|H₉ˢ(2)|H₈ˢ(2)|H₇ˢ(2)|H₇ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)|H₇ˢ(2)⊕H₉ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)|H₈ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)⊕H₉ˢ(2)|H₇ˢ(2)⊕H₈ˢ(2)⊕H₉ˢ(2)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₄(1)|K₃(1)|K₃(1)|K₄(1)|K₂(1)|K₁(1)|K₆(2)|K₅(2)|K₅(2)|K₆(2)|K₁(1)|K₂(1)|K₄(1)|K₃(1)|K₃(1)|K₄(1)|K₂(1)|K₁(1)|K₆(2)|K₅(2)|K₅(2)|K₆(2)|K₅(2)|K₅(2)|K₆(2)|K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₅(2)|K₅(2)|K₆(2)|K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₅(2)|K₂(1)⊕K₆(2)|K₄(1)⊕K₅(2)|K₃(1)⊕K₆(2)|K₃(1)⊕K₆(2)|K₄(1)⊕K₅(2)|K₂(1)⊕K₆(2)|K₁(1)⊕K₅(2)|K₁(1)⊕K₅(2)|K₂(1)⊕K₆(2)|K₄(1)⊕K₅(2)|K₃(1)⊕K₆(2)|K₃(1)⊕K₆(2)|K₄(1)⊕K₅(2)|K₂(1)⊕K₆(2)|K₁(1)⊕K₅(2)|K₉ˢ(2)|K₈ˢ(2)|K₈ˢ(2)|K₉ˢ(2)|K₇ˢ(2)|K₇ˢ(2)|K₉ˢ(2)|K₈ˢ(2)|K₈ˢ(2)|K₉ˢ(2)|K₇ˢ(2)|K₇ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)|K₇ˢ(2)⊕K₉ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)|K₇ˢ(2)⊕K₉ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)
L:(1/2,0,1/2)|L₁⁺(1)|L₁⁻(1)|L₂⁺(1)|L₂⁻(1)|L₄⁺(1)|L₄⁻(1)|L₃⁺(1)|L₃⁻(1)|L₃⁺(1)⊕L₄⁺(1)|L₃⁻(1)⊕L₄⁻(1)|L₁⁺(1)⊕L₂⁺(1)|L₁⁻(1)⊕L₂⁻(1)|L₂⁻(1)|L₂⁺(1)|L₁⁻(1)|L₁⁺(1)|L₃⁻(1)|L₃⁺(1)|L₄⁻(1)|L₄⁺(1)|L₃⁻(1)⊕L₄⁻(1)|L₃⁺(1)⊕L₄⁺(1)|L₁⁻(1)⊕L₂⁻(1)|L₁⁺(1)⊕L₂⁺(1)|L₁⁺(1)⊕L₄⁻(1)|L₂⁺(1)⊕L₃⁻(1)|L₁⁻(1)⊕L₄⁺(1)|L₂⁻(1)⊕L₃⁺(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₂⁻(1)⊕L₃⁺(1)|L₁⁻(1)⊕L₄⁺(1)|L₂⁺(1)⊕L₃⁻(1)|L₁⁺(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₁⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₂⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₂⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₄⁺(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁻(1)|L₂⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₂⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₃⁺(1)⊕L₄⁺(1)|L₁⁺(1)⊕L₃⁻(1)⊕L₄⁻(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₃⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(1)|L₁⁺(1)⊕L₂⁺(1)⊕L₄⁻(1)|L₁⁻(1)⊕L₂⁻(1)⊕L₄⁺(1)|L₅ˢ(2)|L₆ˢ(2)|L₅ˢ(2)|L₆ˢ(2)|L₅ˢ(2)|L₆ˢ(2)|L₆ˢ(2)|L₅ˢ(2)|L₆ˢ(2)|L₅ˢ(2)|L₆ˢ(2)|L₅ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕2L₆ˢ(2)|2L₅ˢ(2)⊕L₆ˢ(2)|2L₅ˢ(2)⊕L₆ˢ(2)|L₅ˢ(2)⊕2L₆ˢ(2)
M:(1/2,0,0)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)|M₁⁻(1)|M₂⁺(1)|M₂⁻(1)|M₄⁺(1)|M₄⁻(1)|M₃⁺(1)|M₃⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₃⁻(1)|M₁⁻(1)⊕M₄⁺(1)|M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₃⁻(1)|M₁⁻(1)⊕M₄⁺(1)|M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₄(1)|Δ₃(1)|Δ₆(2)|Δ₆(2)|Δ₅(2)|Δ₅(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(1)|Δ₄(1)|Δ₄(1)|Δ₃(1)|Δ₆(2)|Δ₆(2)|Δ₅(2)|Δ₅(2)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₄(1)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₆(2)|Δ₄(1)⊕Δ₆(2)|Δ₄(1)⊕Δ₆(2)|Δ₃(1)⊕Δ₆(2)|Δ₁(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₆(2)|Δ₄(1)⊕Δ₆(2)|Δ₄(1)⊕Δ₆(2)|Δ₃(1)⊕Δ₆(2)|Δ₉ˢ(2)|Δ₉ˢ(2)|Δ₈ˢ(2)|Δ₈ˢ(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₉ˢ(2)|Δ₉ˢ(2)|Δ₈ˢ(2)|Δ₈ˢ(2)|Δ₇ˢ(2)|Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|2Δ₇ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₇ˢ(2)⊕Δ₈ˢ(2)⊕Δ₉ˢ(2)
