Wyckoff pos.|2a(622)|2a(622)|2a(622)|2a(622)|2a(622)|2a(622)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|4c(32)|4c(32)|4c(32)|4d(-6)|4d(-6)|4d(-6)|4d(-6)|6f(222)|6f(222)|6f(222)|6f(222)|6g(2/m)|6g(2/m)|6g(2/m)|6g(2/m)|2a(622)|2a(622)|2a(622)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|2b(6/m)|4c(32)|4c(32)|4d(-6)|4d(-6)|4d(-6)|6f(222)|6g(2/m)|6g(2/m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|E₁↑G(4)|E₂↑G(4)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹E₁g²E₁g↑G(4)|¹E₁ᵤ²E₁ᵤ↑G(4)|¹E₂g²E₂g↑G(4)|¹E₂ᵤ²E₂ᵤ↑G(4)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A′↑G(4)|A′′↑G(4)|¹E′′²E′′↑G(8)|¹E′²E′↑G(8)|A₁↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢ₃↑G(4)|¹Eˢ₁g²Eˢ₁g↑G(4)|¹Eˢ₁ᵤ²Eˢ₁ᵤ↑G(4)|¹Eˢ₂g²Eˢ₂g↑G(4)|¹Eˢ₂ᵤ²Eˢ₂ᵤ↑G(4)|¹Eˢ₃g²Eˢ₃g↑G(4)|¹Eˢ₃ᵤ²Eˢ₃ᵤ↑G(4)|¹Eˢ²Eˢ↑G(8)|Eˢ₁↑G(8)|¹Eˢ₁²Eˢ₁↑G(8)|¹Eˢ₂²Eˢ₂↑G(8)|¹Eˢ₃²Eˢ₃↑G(8)|Eˢ↑G(12)|¹Eˢg²Eˢg↑G(12)|¹Eˢᵤ²Eˢᵤ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|false|false|true|true|true|true|true|true|true|true|true|true|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
A:(0,0,1/2)|A₅(2)|A₅(2)|A₆(2)|A₆(2)|A₃A₄(4)|A₁A₂(4)|A₅(2)|A₅(2)|A₆(2)|A₆(2)|A₁A₂(4)|A₁A₂(4)|A₃A₄(4)|A₃A₄(4)|A₅(2)⊕A₆(2)|A₅(2)⊕A₆(2)|A₁A₂(4)⊕A₃A₄(4)|A₅(2)⊕A₆(2)|A₅(2)⊕A₆(2)|A₁A₂(4)⊕A₃A₄(4)|A₁A₂(4)⊕A₃A₄(4)|A₁A₂(4)⊕A₅(2)|A₁A₂(4)⊕A₅(2)|A₃A₄(4)⊕A₆(2)|A₃A₄(4)⊕A₆(2)|A₁A₂(4)⊕A₅(2)|A₁A₂(4)⊕A₅(2)|A₃A₄(4)⊕A₆(2)|A₃A₄(4)⊕A₆(2)|Aˢ₁₁Aˢ₉(4)|Aˢ₁₂Aˢ₈(4)|Aˢ₁₀Aˢ₇(4)|Aˢ₁₀Aˢ₇(4)|Aˢ₁₀Aˢ₇(4)|Aˢ₁₂Aˢ₈(4)|Aˢ₁₂Aˢ₈(4)|Aˢ₁₁Aˢ₉(4)|Aˢ₁₁Aˢ₉(4)|2Aˢ₁₀Aˢ₇(4)|Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)|2Aˢ₁₀Aˢ₇(4)|Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)|Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)|Aˢ₁₀Aˢ₇(4)⊕Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)|Aˢ₁₀Aˢ₇(4)⊕Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)|Aˢ₁₀Aˢ₇(4)⊕Aˢ₁₁Aˢ₉(4)⊕Aˢ₁₂Aˢ₈(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|2Γ₅⁺(2)|2Γ₅⁻(2)|2Γ₆⁺(2)|2Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₅⁺(2)⊕Γ₅⁻(2)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|2Γ₅⁻(2)⊕2Γ₆⁺(2)|2Γ₅⁺(2)⊕2Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₅⁺(2)⊕Γ₅⁻(2)|Γ₄⁺(1)⊕Γ₄⁻(1)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₃⁺(1)⊕Γ₃⁻(1)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₅⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₅⁻(2)|Γ₃⁺(1)⊕Γ₄⁺(1)⊕2Γ₆⁺(2)|Γ₃⁻(1)⊕Γ₄⁻(1)⊕2Γ₆⁻(2)|Γˢ₉(2)⊕Γˢ₁₂(2)|Γˢ₈(2)⊕Γˢ₁₁(2)|Γˢ₇(2)⊕Γˢ₁₀(2)|2Γˢ₇(2)|2Γˢ₁₀(2)|2Γˢ₈(2)|2Γˢ₁₁(2)|2Γˢ₉(2)|2Γˢ₁₂(2)|2Γˢ₇(2)⊕2Γˢ₁₀(2)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(2)⊕Γˢ₁₂(2)|2Γˢ₇(2)⊕2Γˢ₁₀(2)|2Γˢ₈(2)⊕2Γˢ₁₂(2)|2Γˢ₉(2)⊕2Γˢ₁₁(2)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₀(2)⊕Γˢ₁₁(2)⊕Γˢ₁₂(2)|2Γˢ₇(2)⊕2Γˢ₈(2)⊕2Γˢ₉(2)|2Γˢ₁₀(2)⊕2Γˢ₁₁(2)⊕2Γˢ₁₂(2)
H:(1/3,1/3,1/2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁H₂(4)|H₁H₂(4)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)⊕2H₃(2)|H₁H₂(4)|H₁H₂(4)|H₁H₂(4)⊕2H₃(2)|H₁H₂(4)⊕2H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|H₁H₂(4)⊕H₃(2)|Hˢ₈Hˢ₉(4)|Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)|Hˢ₈Hˢ₉(4)|Hˢ₈Hˢ₉(4)|Hˢ₈Hˢ₉(4)|Hˢ₈Hˢ₉(4)|2Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕Hˢ₈Hˢ₉(4)|2Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕2Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕2Hˢ₈Hˢ₉(4)|Hˢ₄Hˢ₆(2)⊕Hˢ₅Hˢ₇(2)⊕2Hˢ₈Hˢ₉(4)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₃(1)⊕K₄(1)|K₃(1)⊕K₄(1)|K₁(1)⊕K₂(1)|K₅(2)⊕K₆(2)|K₅(2)⊕K₆(2)|K₁(1)⊕K₄(1)|K₂(1)⊕K₃(1)|K₂(1)⊕K₃(1)|K₁(1)⊕K₄(1)|2K₅(2)|2K₆(2)|2K₆(2)|2K₅(2)|K₅(2)⊕K₆(2)|K₅(2)⊕K₆(2)|K₁(1)⊕K₂(1)⊕K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|2K₅(2)|2K₆(2)|2K₂(1)⊕2K₃(1)⊕2K₆(2)|2K₁(1)⊕2K₄(1)⊕2K₅(2)|K₁(1)⊕K₂(1)⊕K₅(2)⊕K₆(2)|K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₂(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₄(1)⊕2K₅(2)|K₂(1)⊕K₃(1)⊕2K₆(2)|K₂(1)⊕K₃(1)⊕2K₆(2)|K₁(1)⊕K₄(1)⊕2K₅(2)|Kˢ₈(2)⊕Kˢ₉(2)|Kˢ₈(2)⊕Kˢ₉(2)|2Kˢ₇(2)|2Kˢ₇(2)|2Kˢ₇(2)|2Kˢ₈(2)|2Kˢ₉(2)|2Kˢ₉(2)|2Kˢ₈(2)|2Kˢ₈(2)⊕2Kˢ₉(2)|2Kˢ₇(2)⊕Kˢ₈(2)⊕Kˢ₉(2)|2Kˢ₈(2)⊕2Kˢ₉(2)|2Kˢ₇(2)⊕2Kˢ₉(2)|2Kˢ₇(2)⊕2Kˢ₈(2)|2Kˢ₇(2)⊕2Kˢ₈(2)⊕2Kˢ₉(2)|2Kˢ₇(2)⊕2Kˢ₈(2)⊕2Kˢ₉(2)|2Kˢ₇(2)⊕2Kˢ₈(2)⊕2Kˢ₉(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|2L₂(2)|2L₁(2)|L₁(2)|L₁(2)|L₂(2)|L₂(2)|2L₁(2)|2L₁(2)|2L₂(2)|2L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)|2L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|2L₁(2)⊕L₂(2)|L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|2L₁(2)⊕L₂(2)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|Lˢ₃Lˢ₄(4)|2Lˢ₃Lˢ₄(4)|2Lˢ₃Lˢ₄(4)|2Lˢ₃Lˢ₄(4)|2Lˢ₃Lˢ₄(4)|2Lˢ₃Lˢ₄(4)|3Lˢ₃Lˢ₄(4)|3Lˢ₃Lˢ₄(4)|3Lˢ₃Lˢ₄(4)
M:(1/2,0,0)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₄⁺(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₃⁻(1)|M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|2M₁⁺(1)⊕2M₂⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)|2M₃⁺(1)⊕2M₄⁺(1)|2M₃⁻(1)⊕2M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)⊕2M₃⁺(1)⊕2M₄⁺(1)|2M₁⁺(1)⊕2M₂⁺(1)⊕2M₃⁻(1)⊕2M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕2M₃⁻(1)⊕2M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕2M₃⁺(1)⊕2M₄⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|2M₁⁺(1)⊕2M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|Mˢ₅(2)⊕Mˢ₆(2)|Mˢ₅(2)⊕Mˢ₆(2)|Mˢ₅(2)⊕Mˢ₆(2)|2Mˢ₅(2)|2Mˢ₆(2)|2Mˢ₅(2)|2Mˢ₆(2)|2Mˢ₅(2)|2Mˢ₆(2)|2Mˢ₅(2)⊕2Mˢ₆(2)|2Mˢ₅(2)⊕2Mˢ₆(2)|2Mˢ₅(2)⊕2Mˢ₆(2)|2Mˢ₅(2)⊕2Mˢ₆(2)|2Mˢ₅(2)⊕2Mˢ₆(2)|3Mˢ₅(2)⊕3Mˢ₆(2)|2Mˢ₅(2)⊕4Mˢ₆(2)|4Mˢ₅(2)⊕2Mˢ₆(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|2Δ₆(2)|2Δ₅(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)|2Δ₅(2)|2Δ₅(2)|2Δ₆(2)|2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₅(2)⊕2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₅(2)⊕2Δ₆(2)|2Δ₅(2)⊕2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₆(2)|2Δˢ₉(2)|2Δˢ₈(2)|2Δˢ₇(2)|2Δˢ₇(2)|2Δˢ₇(2)|2Δˢ₈(2)|2Δˢ₈(2)|2Δˢ₉(2)|2Δˢ₉(2)|4Δˢ₇(2)|2Δˢ₈(2)⊕2Δˢ₉(2)|4Δˢ₇(2)|2Δˢ₈(2)⊕2Δˢ₉(2)|2Δˢ₈(2)⊕2Δˢ₉(2)|2Δˢ₇(2)⊕2Δˢ₈(2)⊕2Δˢ₉(2)|2Δˢ₇(2)⊕2Δˢ₈(2)⊕2Δˢ₉(2)|2Δˢ₇(2)⊕2Δˢ₈(2)⊕2Δˢ₉(2)
