Wyckoff pos.|2a(-62m)|2a(-62m)|2a(-62m)|2a(-62m)|2a(-62m)|2a(-62m)|2b(-3m)|2b(-3m)|2b(-3m)|2b(-3m)|2b(-3m)|2b(-3m)|4c(-6)|4c(-6)|4c(-6)|4c(-6)|4d(32)|4d(32)|4d(32)|6f(2/m)|6f(2/m)|6f(2/m)|6f(2/m)|2a(-62m)|2a(-62m)|2a(-62m)|2b(-3m)|2b(-3m)|2b(-3m)|2b(-3m)|4c(-6)|4c(-6)|4c(-6)|4d(32)|4d(32)|6f(2/m)|6f(2/m)
Band-Rep.|A₁′↑G(2)|A₁′′↑G(2)|A₂′↑G(2)|A₂′′↑G(2)|E′↑G(4)|E′′↑G(4)|A₁g↑G(2)|A₁ᵤ↑G(2)|A₂g↑G(2)|A₂ᵤ↑G(2)|Eg↑G(4)|Eᵤ↑G(4)|A′↑G(4)|A′′↑G(4)|¹E′′²E′′↑G(8)|¹E′²E′↑G(8)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|E₁ˢ↑G(4)|E₂ˢ↑G(4)|E₃ˢ↑G(4)|¹Egˢ²Egˢ↑G(4)|¹Eᵤˢ²Eᵤˢ↑G(4)|E₁gˢ↑G(4)|E₁ᵤˢ↑G(4)|¹E₁ˢ²E₁ˢ↑G(8)|¹E₂ˢ²E₂ˢ↑G(8)|¹E₃ˢ²E₃ˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|E₁ˢ↑G(8)|¹Egˢ²Egˢ↑G(12)|¹Eᵤˢ²Eᵤˢ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|true|true|true|true|true|false|false|false|false|false|false|false|true|true|true|true|true|true|true
A:(0,0,1/2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₃(4)|A₃(4)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₃(4)|A₃(4)|A₁(2)⊕A₂(2)|A₁(2)⊕A₂(2)|2A₃(4)|2A₃(4)|A₁(2)⊕A₂(2)|A₁(2)⊕A₂(2)|2A₃(4)|A₁(2)⊕A₃(4)|A₂(2)⊕A₃(4)|A₂(2)⊕A₃(4)|A₁(2)⊕A₃(4)|A₆ˢ(4)|A₆ˢ(4)|A₄ˢA₅ˢ(4)|A₄ˢA₅ˢ(4)|A₄ˢA₅ˢ(4)|A₆ˢ(4)|A₆ˢ(4)|2A₄ˢA₅ˢ(4)|2A₆ˢ(4)|2A₆ˢ(4)|2A₄ˢA₅ˢ(4)|2A₆ˢ(4)|A₄ˢA₅ˢ(4)⊕2A₆ˢ(4)|A₄ˢA₅ˢ(4)⊕2A₆ˢ(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₃⁻(1)|Γ₁⁻(1)⊕Γ₃⁺(1)|Γ₂⁺(1)⊕Γ₄⁻(1)|Γ₂⁻(1)⊕Γ₄⁺(1)|Γ₅⁺(2)⊕Γ₆⁻(2)|Γ₅⁻(2)⊕Γ₆⁺(2)|Γ₁⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₃⁺(1)|Γ₂⁻(1)⊕Γ₃⁻(1)|Γ₅⁺(2)⊕Γ₆⁺(2)|Γ₅⁻(2)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|2Γ₅⁻(2)⊕2Γ₆⁺(2)|2Γ₅⁺(2)⊕2Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₅⁺(2)⊕Γ₅⁻(2)⊕Γ₆⁺(2)⊕Γ₆⁻(2)|Γ₁⁺(1)⊕Γ₄⁺(1)⊕Γ₅⁺(2)⊕Γ₆⁺(2)|Γ₁⁻(1)⊕Γ₄⁻(1)⊕Γ₅⁻(2)⊕Γ₆⁻(2)|Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₅⁺(2)⊕Γ₆⁺(2)|Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₅⁻(2)⊕Γ₆⁻(2)|Γ₉ˢ(2)⊕Γ₁₁ˢ(2)|Γ₈ˢ(2)⊕Γ₁₂ˢ(2)|Γ₇ˢ(2)⊕Γ₁₀ˢ(2)|2Γ₇ˢ(2)|2Γ₁₀ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)|Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)|2Γ₇ˢ(2)⊕2Γ₁₀ˢ(2)|2Γ₈ˢ(2)⊕2Γ₁₂ˢ(2)|2Γ₉ˢ(2)⊕2Γ₁₁ˢ(2)|2Γ₇ˢ(2)⊕2Γ₁₀ˢ(2)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₁ˢ(2)⊕Γ₁₂ˢ(2)|2Γ₇ˢ(2)⊕2Γ₈ˢ(2)⊕2Γ₉ˢ(2)|2Γ₁₀ˢ(2)⊕2Γ₁₁ˢ(2)⊕2Γ₁₂ˢ(2)
H:(1/3,1/3,1/2)|H₁H₃(2)|H₂H₄(2)|H₂H₄(2)|H₁H₃(2)|H₅H₆(4)|H₅H₆(4)|H₁H₃(2)|H₂H₄(2)|H₂H₄(2)|H₁H₃(2)|H₅H₆(4)|H₅H₆(4)|H₅H₆(4)|H₅H₆(4)|H₁H₃(2)⊕H₂H₄(2)⊕H₅H₆(4)|H₁H₃(2)⊕H₂H₄(2)⊕H₅H₆(4)|H₅H₆(4)|H₅H₆(4)|H₁H₃(2)⊕H₂H₄(2)⊕H₅H₆(4)|H₁H₃(2)⊕H₅H₆(4)|H₂H₄(2)⊕H₅H₆(4)|H₂H₄(2)⊕H₅H₆(4)|H₁H₃(2)⊕H₅H₆(4)|H₈ˢH₉ˢ(4)|H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)|H₇ˢH₇ˢ(4)|H₇ˢH₇ˢ(4)|H₈ˢH₉ˢ(4)|H₈ˢH₉ˢ(4)|2H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)⊕H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)⊕H₈ˢH₉ˢ(4)|2H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)⊕H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)⊕2H₈ˢH₉ˢ(4)|H₇ˢH₇ˢ(4)⊕2H₈ˢH₉ˢ(4)
K:(1/3,1/3,0)|2K₁(1)|2K₂(1)|2K₄(1)|2K₃(1)|2K₅(2)|2K₆(2)|K₁(1)⊕K₃(1)|K₂(1)⊕K₄(1)|K₂(1)⊕K₄(1)|K₁(1)⊕K₃(1)|K₅(2)⊕K₆(2)|K₅(2)⊕K₆(2)|2K₅(2)|2K₆(2)|2K₂(1)⊕2K₃(1)⊕2K₆(2)|2K₁(1)⊕2K₄(1)⊕2K₅(2)|K₅(2)⊕K₆(2)|K₅(2)⊕K₆(2)|K₁(1)⊕K₂(1)⊕K₃(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₃(1)⊕K₅(2)⊕K₆(2)|K₂(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₂(1)⊕K₄(1)⊕K₅(2)⊕K₆(2)|K₁(1)⊕K₃(1)⊕K₅(2)⊕K₆(2)|2K₉ˢ(2)|2K₈ˢ(2)|2K₇ˢ(2)|2K₇ˢ(2)|2K₇ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|K₈ˢ(2)⊕K₉ˢ(2)|2K₈ˢ(2)⊕2K₉ˢ(2)|2K₇ˢ(2)⊕2K₉ˢ(2)|2K₇ˢ(2)⊕2K₈ˢ(2)|2K₈ˢ(2)⊕2K₉ˢ(2)|2K₇ˢ(2)⊕K₈ˢ(2)⊕K₉ˢ(2)|2K₇ˢ(2)⊕2K₈ˢ(2)⊕2K₉ˢ(2)|2K₇ˢ(2)⊕2K₈ˢ(2)⊕2K₉ˢ(2)
L:(1/2,0,1/2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)|L₂(2)|L₂(2)|L₁(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)|2L₁(2)⊕2L₂(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)|2L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|L₁(2)⊕2L₂(2)|L₁(2)⊕2L₂(2)|2L₁(2)⊕L₂(2)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|L₃ˢL₄ˢ(4)|2L₃ˢL₄ˢ(4)|2L₃ˢL₄ˢ(4)|2L₃ˢL₄ˢ(4)|2L₃ˢL₄ˢ(4)|2L₃ˢL₄ˢ(4)|3L₃ˢL₄ˢ(4)|3L₃ˢL₄ˢ(4)
M:(1/2,0,0)|M₁⁺(1)⊕M₃⁻(1)|M₁⁻(1)⊕M₃⁺(1)|M₂⁺(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₃⁺(1)|M₂⁻(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|2M₁⁻(1)⊕2M₂⁻(1)⊕2M₃⁺(1)⊕2M₄⁺(1)|2M₁⁺(1)⊕2M₂⁺(1)⊕2M₃⁻(1)⊕2M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕M₆ˢ(2)|2M₅ˢ(2)|2M₆ˢ(2)|2M₅ˢ(2)|2M₆ˢ(2)|2M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕4M₆ˢ(2)|4M₅ˢ(2)⊕2M₆ˢ(2)
Δ:(0,0,w)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)|Δ₅(2)⊕Δ₆(2)|Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₅(2)⊕2Δ₆(2)|2Δ₅(2)⊕2Δ₆(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₅(2)⊕2Δ₆(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)⊕Δ₆(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)⊕Δ₆(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)⊕Δ₆(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)⊕Δ₆(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|2Δ₇ˢ(2)|2Δ₇ˢ(2)|2Δ₇ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|Δ₈ˢ(2)⊕Δ₉ˢ(2)|4Δ₇ˢ(2)|2Δ₈ˢ(2)⊕2Δ₉ˢ(2)|2Δ₈ˢ(2)⊕2Δ₉ˢ(2)|4Δ₇ˢ(2)|2Δ₈ˢ(2)⊕2Δ₉ˢ(2)|2Δ₇ˢ(2)⊕2Δ₈ˢ(2)⊕2Δ₉ˢ(2)|2Δ₇ˢ(2)⊕2Δ₈ˢ(2)⊕2Δ₉ˢ(2)
