Wyckoff pos.|4a(3)|4a(3)|4a(3)|4a(3)
Band-Rep.|A₁↑G(4)|¹E²E↑G(8)|¹Eˢ²Eˢ↑G(8)|EˢEˢ↑G(8)
Decomposable|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(3)|Γ₂Γ₃(2)⊕2Γ₄(3)|2Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|2Γ₆ˢΓ₇ˢ(4)
R:(1/2,1/2,1/2)|R₁R₃(4)|R₁R₃(4)⊕R₂R₂(4)|R₅ˢR₆ˢ(2)⊕R₇ˢR₇ˢ(6)|R₄ˢR₄ˢ(2)⊕R₇ˢR₇ˢ(6)
M:(1/2,1/2,0)|M₁M₂(2)⊕M₃M₄(2)|2M₁M₂(2)⊕2M₃M₄(2)|2M₅ˢM₅ˢ(4)|2M₅ˢM₅ˢ(4)
X:(0,1/2,0)|2X₁(2)|4X₁(2)|2X₂ˢX₅ˢ(2)⊕2X₃ˢX₄ˢ(2)|2X₂ˢX₅ˢ(2)⊕2X₃ˢX₄ˢ(2)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|4Δ₁(1)⊕4Δ₂(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)
T:(1/2,1/2,w)|T₁T₁(2)⊕T₂T₂(2)|2T₁T₁(2)⊕2T₂T₂(2)|2T₃ˢT₃ˢ(2)⊕2T₄ˢT₄ˢ(2)|2T₃ˢT₃ˢ(2)⊕2T₄ˢT₄ˢ(2)
Z:(u,1/2,0)|2Z₁Z₂(2)|4Z₁Z₂(2)|4Z₃ˢZ₄ˢ(2)|4Z₃ˢZ₄ˢ(2)
ZA:(1/2,u,0)|2ZA₁ZA₂(2)|4ZA₁ZA₂(2)|4ZA₃ˢZA₄ˢ(2)|4ZA₃ˢZA₄ˢ(2)
A:(u,v,0)|4A₁(1)|8A₁(1)|8A₂ˢ(1)|8A₂ˢ(1)
B:(u,1/2,w)|2B₁B₁(2)|4B₁B₁(2)|4B₂ˢB₂ˢ(2)|4B₂ˢB₂ˢ(2)
C:(u,u,w)|4C₁(1)|8C₁(1)|8C₂ˢ(1)|8C₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|8Ω₁(1)|8Ω₂ˢ(1)|8Ω₂ˢ(1)
S:(u,1/2,u)|2S₁S₁(2)|4S₁S₁(2)|4S₂ˢS₂ˢ(2)|4S₂ˢS₂ˢ(2)
Σ:(u,u,0)|4Σ₁(1)|8Σ₁(1)|8Σ₂ˢ(1)|8Σ₂ˢ(1)
