Wyckoff pos.|8a(3)|8a(3)|12b(2)|12b(2)|8a(3)|8a(3)|12b(2)
Band-Rep.|A₁↑G(4)|¹E²E↑G(8)|A↑G(6)|B↑G(6)|¹Eˢ²Eˢ↑G(8)|EˢEˢ↑G(8)|¹Eˢ²Eˢ↑G(12)
Decomposable|false|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(3)|Γ₂Γ₃(2)⊕2Γ₄(3)|Γ₁(1)⊕Γ₂Γ₃(2)⊕Γ₄(3)|2Γ₄(3)|2Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|2Γ₆ˢΓ₇ˢ(4)|2Γ₅ˢ(2)⊕2Γ₆ˢΓ₇ˢ(4)
H:(1,1,1)|H₁(1)⊕H₄(3)|H₂H₃(2)⊕2H₄(3)|2H₄(3)|H₁(1)⊕H₂H₃(2)⊕H₄(3)|2H₅ˢ(2)⊕H₆ˢH₇ˢ(4)|2H₆ˢH₇ˢ(4)|2H₅ˢ(2)⊕2H₆ˢH₇ˢ(4)
P:(1/2,1/2,1/2)|P₁(2)⊕P₃(2)|P₁(2)⊕2P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₅ˢ(1)⊕P₆ˢ(1)⊕2P₇ˢ(3)|2P₄ˢ(1)⊕2P₇ˢ(3)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)⊕3P₇ˢ(3)
PA:(-1/2,-1/2,-1/2)|PA₁(2)⊕PA₃(2)|PA₁(2)⊕2PA₂(2)⊕PA₃(2)|PA₁(2)⊕PA₂(2)⊕PA₃(2)|PA₁(2)⊕PA₂(2)⊕PA₃(2)|PA₅ˢ(1)⊕PA₆ˢ(1)⊕2PA₇ˢ(3)|2PA₄ˢ(1)⊕2PA₇ˢ(3)|PA₄ˢ(1)⊕PA₅ˢ(1)⊕PA₆ˢ(1)⊕3PA₇ˢ(3)
N:(1/2,1/2,0)|2N₁(1)⊕2N₂(1)|4N₁(1)⊕4N₂(1)|3N₁(1)⊕3N₂(1)|3N₁(1)⊕3N₂(1)|4N₃ˢN₄ˢ(2)|4N₃ˢN₄ˢ(2)|6N₃ˢN₄ˢ(2)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)
D:(1/2,1/2,w)|2D₁(1)⊕2D₂(1)|4D₁(1)⊕4D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|6D₃ˢ(1)⊕6D₄ˢ(1)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|4Δ₁(1)⊕4Δ₂(1)|4Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕4Δ₂(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)|6Δ₃ˢ(1)⊕6Δ₄ˢ(1)
A:(u,v,0)|4A₁(1)|8A₁(1)|6A₁(1)|6A₁(1)|8A₂ˢ(1)|8A₂ˢ(1)|12A₂ˢ(1)
C:(u,u,w)|4C₁(1)|8C₁(1)|6C₁(1)|6C₁(1)|8C₂ˢ(1)|8C₂ˢ(1)|12C₂ˢ(1)
G:(1+u,1-u,1)|4G₁(1)|8G₁(1)|6G₁(1)|6G₁(1)|8G₂ˢ(1)|8G₂ˢ(1)|12G₂ˢ(1)
Ω:(u,v,w)|4Ω₁(1)|8Ω₁(1)|6Ω₁(1)|6Ω₁(1)|8Ω₂ˢ(1)|8Ω₂ˢ(1)|12Ω₂ˢ(1)
Σ:(u,u,0)|4Σ₁(1)|8Σ₁(1)|6Σ₁(1)|6Σ₁(1)|8Σ₂ˢ(1)|8Σ₂ˢ(1)|12Σ₂ˢ(1)
