Wyckoff pos.|1a(-1)|1a(-1)|1b(-1)|1b(-1)|1c(-1)|1c(-1)|1d(-1)|1d(-1)|1e(-1)|1e(-1)|1f(-1)|1f(-1)|1g(-1)|1g(-1)|1h(-1)|1h(-1)|1a(-1)|1a(-1)|1b(-1)|1b(-1)|1c(-1)|1c(-1)|1d(-1)|1d(-1)|1e(-1)|1e(-1)|1f(-1)|1f(-1)|1g(-1)|1g(-1)|1h(-1)|1h(-1)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|Ag↑G(1)|Aᵤ↑G(1)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)|AgˢAgˢ↑G(2)|AᵤˢAᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)|Γ₃ˢΓ₃ˢ(2)|Γ₂ˢΓ₂ˢ(2)
R:(1/2,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁺(1)|R₁⁻(1)|R₁⁻(1)|R₁⁺(1)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)|R₂ˢR₂ˢ(2)|R₂ˢR₂ˢ(2)|R₃ˢR₃ˢ(2)
T:(0,1/2,1/2)|T₁⁺(1)|T₁⁻(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁺(1)|T₁⁻(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁺(1)|T₁⁻(1)|T₁⁺(1)|T₁⁻(1)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)|T₂ˢT₂ˢ(2)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)|T₃ˢT₃ˢ(2)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)|T₂ˢT₂ˢ(2)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)|T₃ˢT₃ˢ(2)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)|T₃ˢT₃ˢ(2)|T₂ˢT₂ˢ(2)
U:(1/2,0,1/2)|U₁⁺(1)|U₁⁻(1)|U₁⁻(1)|U₁⁺(1)|U₁⁺(1)|U₁⁻(1)|U₁⁻(1)|U₁⁺(1)|U₁⁻(1)|U₁⁺(1)|U₁⁺(1)|U₁⁻(1)|U₁⁻(1)|U₁⁺(1)|U₁⁺(1)|U₁⁻(1)|U₃ˢU₃ˢ(2)|U₂ˢU₂ˢ(2)|U₂ˢU₂ˢ(2)|U₃ˢU₃ˢ(2)|U₃ˢU₃ˢ(2)|U₂ˢU₂ˢ(2)|U₂ˢU₂ˢ(2)|U₃ˢU₃ˢ(2)|U₂ˢU₂ˢ(2)|U₃ˢU₃ˢ(2)|U₃ˢU₃ˢ(2)|U₂ˢU₂ˢ(2)|U₂ˢU₂ˢ(2)|U₃ˢU₃ˢ(2)|U₃ˢU₃ˢ(2)|U₂ˢU₂ˢ(2)
V:(1/2,1/2,0)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁺(1)|V₁⁻(1)|V₁⁻(1)|V₁⁺(1)|V₁⁻(1)|V₁⁺(1)|V₁⁺(1)|V₁⁻(1)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)|V₂ˢV₂ˢ(2)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)|V₃ˢV₃ˢ(2)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)|V₂ˢV₂ˢ(2)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)|V₃ˢV₃ˢ(2)|V₃ˢV₃ˢ(2)|V₂ˢV₂ˢ(2)
X:(1/2,0,0)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁻(1)|X₁⁺(1)|X₁⁺(1)|X₁⁻(1)|X₁⁻(1)|X₁⁺(1)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)|X₃ˢX₃ˢ(2)|X₂ˢX₂ˢ(2)|X₂ˢX₂ˢ(2)|X₃ˢX₃ˢ(2)
Y:(0,1/2,0)|Y₁⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁺(1)|Y₁⁻(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁺(1)|Y₁⁻(1)|Y₁⁻(1)|Y₁⁺(1)|Y₁⁻(1)|Y₁⁺(1)|Y₃ˢY₃ˢ(2)|Y₂ˢY₂ˢ(2)|Y₃ˢY₃ˢ(2)|Y₂ˢY₂ˢ(2)|Y₂ˢY₂ˢ(2)|Y₃ˢY₃ˢ(2)|Y₃ˢY₃ˢ(2)|Y₂ˢY₂ˢ(2)|Y₂ˢY₂ˢ(2)|Y₃ˢY₃ˢ(2)|Y₃ˢY₃ˢ(2)|Y₂ˢY₂ˢ(2)|Y₂ˢY₂ˢ(2)|Y₃ˢY₃ˢ(2)|Y₂ˢY₂ˢ(2)|Y₃ˢY₃ˢ(2)
