Wyckoff pos.|4a(m-3)|4a(m-3)|4a(m-3)|4a(m-3)|4a(m-3)|4a(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|8c(23)|8c(23)|8c(23)|24d(2/m)|24d(2/m)|24d(2/m)|24d(2/m)|4a(m-3)|4a(m-3)|4a(m-3)|4a(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|4b(m-3)|8c(23)|8c(23)|24d(2/m)|24d(2/m)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(1)|Aᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Tg↑G(3)|Tᵤ↑G(3)|A↑G(2)|¹E²E↑G(4)|T↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Fˢg²Fˢg↑G(4)|¹Fˢᵤ²Fˢᵤ↑G(4)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Fˢg²Fˢg↑G(4)|¹Fˢᵤ²Fˢᵤ↑G(4)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|¹Eˢg²Eˢg↑G(12)|¹Eˢᵤ²Eˢᵤ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|false|false|false|false|false|false|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)|Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)|Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺Γ₃⁺(2)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₂⁻Γ₃⁻(2)⊕Γ₄⁻(3)|2Γ₄⁺(3)|2Γ₄⁻(3)|Γˢ₅(2)|Γˢ₈(2)|Γˢ₆Γˢ₇(4)|Γˢ₁₀Γˢ₉(4)|Γˢ₅(2)|Γˢ₈(2)|Γˢ₆Γˢ₇(4)|Γˢ₁₀Γˢ₉(4)|Γˢ₅(2)⊕Γˢ₈(2)|Γˢ₆Γˢ₇(4)⊕Γˢ₁₀Γˢ₉(4)|2Γˢ₅(2)⊕2Γˢ₆Γˢ₇(4)|2Γˢ₈(2)⊕2Γˢ₁₀Γˢ₉(4)
X:(0,1,0)|X₁⁺(1)|X₁⁻(1)|2X₁⁺(1)|2X₁⁻(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁺(1)|X₁⁻(1)|2X₁⁺(1)|2X₁⁻(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₄⁺(1)⊕X₄⁻(1)|2X₄⁺(1)⊕2X₄⁻(1)|X₁⁺(1)⊕X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₂⁻(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕2X₄⁻(1)|X₁⁻(1)⊕X₂⁺(1)⊕X₃⁺(1)⊕2X₄⁺(1)⊕X₄⁻(1)|2X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|2X₁⁺(1)⊕X₂⁺(1)⊕X₂⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|Xˢ₅(2)|Xˢ₆(2)|2Xˢ₅(2)|2Xˢ₆(2)|Xˢ₅(2)|Xˢ₆(2)|2Xˢ₅(2)|2Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|2Xˢ₅(2)⊕2Xˢ₆(2)|2Xˢ₅(2)⊕4Xˢ₆(2)|4Xˢ₅(2)⊕2Xˢ₆(2)
L:(1/2,1/2,1/2)|L₁⁺(1)|L₁⁻(1)|L₂⁺L₃⁺(2)|L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₂⁺L₃⁺(2)|L₁⁻(1)⊕L₂⁻L₃⁻(2)|L₁⁻(1)|L₁⁺(1)|L₂⁻L₃⁻(2)|L₂⁺L₃⁺(2)|L₁⁻(1)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₂⁺L₃⁺(2)|L₁⁺(1)⊕L₁⁻(1)|L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|Lˢ₅Lˢ₆(2)|Lˢ₈Lˢ₉(2)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₇Lˢ₇(2)⊕Lˢ₈Lˢ₉(2)|Lˢ₈Lˢ₉(2)|Lˢ₅Lˢ₆(2)|Lˢ₇Lˢ₇(2)⊕Lˢ₈Lˢ₉(2)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)|Lˢ₅Lˢ₆(2)⊕Lˢ₈Lˢ₉(2)|Lˢ₄Lˢ₄(2)⊕Lˢ₅Lˢ₆(2)⊕Lˢ₇Lˢ₇(2)⊕Lˢ₈Lˢ₉(2)|Lˢ₄Lˢ₄(2)⊕2Lˢ₅Lˢ₆(2)⊕Lˢ₇Lˢ₇(2)⊕2Lˢ₈Lˢ₉(2)|Lˢ₄Lˢ₄(2)⊕2Lˢ₅Lˢ₆(2)⊕Lˢ₇Lˢ₇(2)⊕2Lˢ₈Lˢ₉(2)
W:(1/2,1,0)|W₁(1)|W₂(1)|2W₁(1)|2W₂(1)|W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₃(1)⊕W₄(1)|W₁(1)|W₂(1)|2W₁(1)|2W₂(1)|W₂(1)⊕W₃(1)⊕W₄(1)|W₁(1)⊕W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)|2W₃(1)⊕2W₄(1)|2W₁(1)⊕2W₂(1)⊕W₃(1)⊕W₄(1)|2W₁(1)⊕2W₃(1)⊕2W₄(1)|2W₂(1)⊕2W₃(1)⊕2W₄(1)|W₁(1)⊕3W₂(1)⊕W₃(1)⊕W₄(1)|3W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)|Wˢ₅(2)|Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)|Wˢ₅(2)|Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)|2Wˢ₅(2)|4Wˢ₅(2)|6Wˢ₅(2)|6Wˢ₅(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)|Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|3Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕3Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|Δˢ₅(2)|Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|2Δˢ₅(2)|4Δˢ₅(2)|6Δˢ₅(2)|6Δˢ₅(2)
V:(u,1,0)|V₁(1)|V₂(1)|2V₁(1)|2V₂(1)|V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₃(1)⊕V₄(1)|V₁(1)|V₂(1)|2V₁(1)|2V₂(1)|V₂(1)⊕V₃(1)⊕V₄(1)|V₁(1)⊕V₃(1)⊕V₄(1)|V₃(1)⊕V₄(1)|2V₃(1)⊕2V₄(1)|2V₁(1)⊕2V₂(1)⊕V₃(1)⊕V₄(1)|2V₁(1)⊕2V₃(1)⊕2V₄(1)|2V₂(1)⊕2V₃(1)⊕2V₄(1)|V₁(1)⊕3V₂(1)⊕V₃(1)⊕V₄(1)|3V₁(1)⊕V₂(1)⊕V₃(1)⊕V₄(1)|Vˢ₅(2)|Vˢ₅(2)|2Vˢ₅(2)|2Vˢ₅(2)|Vˢ₅(2)|Vˢ₅(2)|2Vˢ₅(2)|2Vˢ₅(2)|2Vˢ₅(2)|4Vˢ₅(2)|6Vˢ₅(2)|6Vˢ₅(2)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₂Λ₃(2)|Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)|Λ₁(1)|Λ₂Λ₃(2)|Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)|2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|Λˢ₅Λˢ₆(2)|Λˢ₅Λˢ₆(2)|Λˢ₄Λˢ₄(2)⊕Λˢ₅Λˢ₆(2)|Λˢ₄Λˢ₄(2)⊕Λˢ₅Λˢ₆(2)|Λˢ₅Λˢ₆(2)|Λˢ₅Λˢ₆(2)|Λˢ₄Λˢ₄(2)⊕Λˢ₅Λˢ₆(2)|Λˢ₄Λˢ₄(2)⊕Λˢ₅Λˢ₆(2)|2Λˢ₅Λˢ₆(2)|2Λˢ₄Λˢ₄(2)⊕2Λˢ₅Λˢ₆(2)|2Λˢ₄Λˢ₄(2)⊕4Λˢ₅Λˢ₆(2)|2Λˢ₄Λˢ₄(2)⊕4Λˢ₅Λˢ₆(2)
