Wyckoff pos.|8a(23)|8a(23)|8a(23)|8b(23)|8b(23)|8b(23)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)|8a(23)|8a(23)|8b(23)|8b(23)|16c(-3)|16c(-3)|16c(-3)|16c(-3)|16d(-3)|16d(-3)|16d(-3)|16d(-3)
Band-Rep.|A↑G(2)|¹E²E↑G(4)|T↑G(6)|A↑G(2)|¹E²E↑G(4)|T↑G(6)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg²Eg↑G(8)|¹Eᵤ²Eᵤ↑G(8)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg²Eg↑G(8)|¹Eᵤ²Eᵤ↑G(8)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|¹Egˢ²Egˢ↑G(8)|¹Eᵤˢ²Eᵤˢ↑G(8)|EgˢEgˢ↑G(8)|EᵤˢEᵤˢ↑G(8)|¹Egˢ²Egˢ↑G(8)|¹Eᵤˢ²Eᵤˢ↑G(8)|EgˢEgˢ↑G(8)|EᵤˢEᵤˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|false|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺Γ₃⁺(2)⊕2Γ₄⁺(3)|Γ₂⁻Γ₃⁻(2)⊕2Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺Γ₃⁺(2)⊕2Γ₄⁺(3)|Γ₂⁻Γ₃⁻(2)⊕2Γ₄⁻(3)|Γ₅ˢ(2)⊕Γ₈ˢ(2)|Γ₆ˢΓ₇ˢ(4)⊕Γ₁₀ˢΓ₉ˢ(4)|Γ₅ˢ(2)⊕Γ₈ˢ(2)|Γ₆ˢΓ₇ˢ(4)⊕Γ₁₀ˢΓ₉ˢ(4)|2Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|2Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)|2Γ₆ˢΓ₇ˢ(4)|2Γ₁₀ˢΓ₉ˢ(4)|2Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|2Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)|2Γ₆ˢΓ₇ˢ(4)|2Γ₁₀ˢΓ₉ˢ(4)
X:(0,1,0)|X₁(2)|2X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)|2X₁(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|2X₁(2)⊕2X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)⊕2X₂(2)|2X₁(2)⊕2X₂(2)|X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)
L:(1/2,1/2,1/2)|L₁⁺(1)⊕L₁⁻(1)|L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)|L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)|2L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕2L₂⁻L₃⁻(2)|2L₁⁺(1)⊕2L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁺L₃⁺(2)|L₁⁺(1)⊕L₁⁻(1)⊕L₂⁻L₃⁻(2)|2L₁⁺(1)⊕2L₂⁺L₃⁺(2)⊕L₂⁻L₃⁻(2)|2L₁⁻(1)⊕L₂⁺L₃⁺(2)⊕2L₂⁻L₃⁻(2)|L₅ˢL₆ˢ(2)⊕L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)⊕L₈ˢL₉ˢ(2)|L₅ˢL₆ˢ(2)⊕L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)⊕L₈ˢL₉ˢ(2)|L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)⊕2L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕2L₅ˢL₆ˢ(2)⊕L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕L₇ˢL₇ˢ(2)⊕2L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕2L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)|L₄ˢL₄ˢ(2)⊕2L₅ˢL₆ˢ(2)⊕L₈ˢL₉ˢ(2)|L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)⊕2L₈ˢL₉ˢ(2)|L₄ˢL₄ˢ(2)⊕2L₅ˢL₆ˢ(2)⊕L₇ˢL₇ˢ(2)|L₄ˢL₄ˢ(2)⊕L₇ˢL₇ˢ(2)⊕2L₈ˢL₉ˢ(2)
W:(1/2,1,0)|W₁(2)|2W₁(2)|3W₁(2)|W₁(2)|2W₁(2)|3W₁(2)|2W₁(2)|2W₁(2)|4W₁(2)|4W₁(2)|2W₁(2)|2W₁(2)|4W₁(2)|4W₁(2)|W₂ˢW₄ˢ(2)⊕W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|W₂ˢW₄ˢ(2)⊕W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)|2W₂ˢW₄ˢ(2)⊕2W₃ˢW₅ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₅ˢ(2)|4Δ₅ˢ(2)|2Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)
V:(u,1,0)|V₁(2)|2V₁(2)|3V₁(2)|V₁(2)|2V₁(2)|3V₁(2)|2V₁(2)|2V₁(2)|4V₁(2)|4V₁(2)|2V₁(2)|2V₁(2)|4V₁(2)|4V₁(2)|V₂ˢV₄ˢ(2)⊕V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|V₂ˢV₄ˢ(2)⊕V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)|2V₂ˢV₄ˢ(2)⊕2V₃ˢV₅ˢ(2)
Λ:(u,u,u)|2Λ₁(1)|2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)|2Λ₂Λ₃(2)|2Λ₁(1)⊕2Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|2Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|2Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)
A:(u,v,0)|A₁(1)⊕A₂(1)|2A₁(1)⊕2A₂(1)|3A₁(1)⊕3A₂(1)|A₁(1)⊕A₂(1)|2A₁(1)⊕2A₂(1)|3A₁(1)⊕3A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|4A₁(1)⊕4A₂(1)|4A₁(1)⊕4A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|4A₁(1)⊕4A₂(1)|4A₁(1)⊕4A₂(1)|2A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|2A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)
