Wyckoff pos.|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|8c(-3)|8c(-3)|8c(-3)|8c(-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|8c(-3)|8c(-3)|8c(-3)|8c(-3)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|Ag↑G(4)|Aᵤ↑G(4)|¹Eg²Eg↑G(8)|¹Eᵤ²Eᵤ↑G(8)|Egˢ↑G(2)|Eᵤˢ↑G(2)|¹Fgˢ²Fgˢ↑G(4)|¹Fᵤˢ²Fᵤˢ↑G(4)|Egˢ↑G(6)|Eᵤˢ↑G(6)|¹Egˢ²Egˢ↑G(8)|¹Eᵤˢ²Eᵤˢ↑G(8)|EgˢEgˢ↑G(8)|EᵤˢEᵤˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)|Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₄⁻(3)|Γ₂⁺Γ₃⁺(2)⊕2Γ₄⁺(3)|Γ₂⁻Γ₃⁻(2)⊕2Γ₄⁻(3)|Γ₅ˢ(2)|Γ₈ˢ(2)|Γ₆ˢΓ₇ˢ(4)|Γ₁₀ˢΓ₉ˢ(4)|Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)|2Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|2Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)|2Γ₆ˢΓ₇ˢ(4)|2Γ₁₀ˢΓ₉ˢ(4)
H:(1,1,1)|H₁⁺(1)|H₁⁻(1)|H₂⁺H₃⁺(2)|H₂⁻H₃⁻(2)|H₄⁺(3)|H₄⁻(3)|H₁⁺(1)⊕H₂⁺H₃⁺(2)|H₁⁻(1)⊕H₂⁻H₃⁻(2)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₄⁺(3)|H₄⁻(3)|H₁⁻(1)⊕H₄⁻(3)|H₁⁺(1)⊕H₄⁺(3)|H₂⁻H₃⁻(2)⊕2H₄⁻(3)|H₂⁺H₃⁺(2)⊕2H₄⁺(3)|H₅ˢ(2)|H₈ˢ(2)|H₆ˢH₇ˢ(4)|H₁₀ˢH₉ˢ(4)|H₅ˢ(2)⊕H₆ˢH₇ˢ(4)|H₈ˢ(2)⊕H₁₀ˢH₉ˢ(4)|2H₈ˢ(2)⊕H₁₀ˢH₉ˢ(4)|2H₅ˢ(2)⊕H₆ˢH₇ˢ(4)|2H₁₀ˢH₉ˢ(4)|2H₆ˢH₇ˢ(4)
P:(1/2,1/2,1/2)|P₁(1)|P₁(1)|P₂P₃(2)|P₂P₃(2)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂P₃(2)|P₁(1)⊕P₂P₃(2)|P₁(1)⊕P₄(3)|P₁(1)⊕P₄(3)|P₂P₃(2)⊕2P₄(3)|P₂P₃(2)⊕2P₄(3)|P₅ˢ(2)|P₅ˢ(2)|P₆ˢP₇ˢ(4)|P₆ˢP₇ˢ(4)|P₅ˢ(2)⊕P₆ˢP₇ˢ(4)|P₅ˢ(2)⊕P₆ˢP₇ˢ(4)|2P₅ˢ(2)⊕P₆ˢP₇ˢ(4)|2P₅ˢ(2)⊕P₆ˢP₇ˢ(4)|2P₆ˢP₇ˢ(4)|2P₆ˢP₇ˢ(4)
N:(1/2,1/2,0)|N₁⁺(1)|N₁⁻(1)|2N₁⁺(1)|2N₁⁻(1)|N₁⁺(1)⊕2N₂⁺(1)|N₁⁻(1)⊕2N₂⁻(1)|N₁⁺(1)⊕2N₂⁻(1)|N₁⁻(1)⊕2N₂⁺(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕2N₁⁻(1)|2N₁⁺(1)⊕N₁⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|N₁⁺(1)⊕N₁⁻(1)⊕N₂⁺(1)⊕N₂⁻(1)|2N₁⁺(1)⊕2N₁⁻(1)⊕2N₂⁺(1)⊕2N₂⁻(1)|2N₁⁺(1)⊕2N₁⁻(1)⊕2N₂⁺(1)⊕2N₂⁻(1)|N₃ˢN₄ˢ(2)|N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)|2N₅ˢN₆ˢ(2)|N₃ˢN₄ˢ(2)⊕2N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)⊕N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)⊕2N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)⊕2N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)⊕2N₅ˢN₆ˢ(2)|2N₃ˢN₄ˢ(2)⊕2N₅ˢN₆ˢ(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)|3Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₅ˢ(2)|Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)|4Δ₅ˢ(2)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₂Λ₃(2)|Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|2Λ₁(1)⊕3Λ₂Λ₃(2)|Λ₅ˢΛ₆ˢ(2)|Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|Λ₄ˢΛ₄ˢ(2)⊕3Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)|2Λ₄ˢΛ₄ˢ(2)⊕2Λ₅ˢΛ₆ˢ(2)
A:(u,v,0)|A₁(1)|A₂(1)|2A₁(1)|2A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|3A₁(1)|3A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|A₁(1)⊕2A₂(1)|2A₁(1)⊕A₂(1)|2A₁(1)⊕2A₂(1)|2A₁(1)⊕2A₂(1)|4A₁(1)⊕4A₂(1)|4A₁(1)⊕4A₂(1)|A₃ˢA₄ˢ(2)|A₃ˢA₄ˢ(2)|2A₃ˢA₄ˢ(2)|2A₃ˢA₄ˢ(2)|3A₃ˢA₄ˢ(2)|3A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)|4A₃ˢA₄ˢ(2)
D:(1/2,1/2,w)|D₁(1)|D₁(1)|2D₁(1)|2D₁(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|3D₁(1)|3D₁(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|4D₁(1)⊕4D₂(1)|4D₁(1)⊕4D₂(1)|D₃ˢD₄ˢ(2)|D₃ˢD₄ˢ(2)|2D₃ˢD₄ˢ(2)|2D₃ˢD₄ˢ(2)|3D₃ˢD₄ˢ(2)|3D₃ˢD₄ˢ(2)|4D₃ˢD₄ˢ(2)|4D₃ˢD₄ˢ(2)|4D₃ˢD₄ˢ(2)|4D₃ˢD₄ˢ(2)
G:(1+u,1-u,1)|G₁(1)|G₂(1)|2G₁(1)|2G₂(1)|G₁(1)⊕2G₂(1)|2G₁(1)⊕G₂(1)|3G₁(1)|3G₂(1)|G₁(1)⊕2G₂(1)|2G₁(1)⊕G₂(1)|G₁(1)⊕2G₂(1)|2G₁(1)⊕G₂(1)|G₁(1)⊕2G₂(1)|2G₁(1)⊕G₂(1)|2G₁(1)⊕2G₂(1)|2G₁(1)⊕2G₂(1)|4G₁(1)⊕4G₂(1)|4G₁(1)⊕4G₂(1)|G₃ˢG₄ˢ(2)|G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|3G₃ˢG₄ˢ(2)|3G₃ˢG₄ˢ(2)|4G₃ˢG₄ˢ(2)|4G₃ˢG₄ˢ(2)|4G₃ˢG₄ˢ(2)|4G₃ˢG₄ˢ(2)
Σ:(u,u,0)|Σ₁(1)|Σ₂(1)|2Σ₁(1)|2Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|3Σ₁(1)|3Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕2Σ₂(1)|4Σ₁(1)⊕4Σ₂(1)|4Σ₁(1)⊕4Σ₂(1)|Σ₃ˢΣ₄ˢ(2)|Σ₃ˢΣ₄ˢ(2)|2Σ₃ˢΣ₄ˢ(2)|2Σ₃ˢΣ₄ˢ(2)|3Σ₃ˢΣ₄ˢ(2)|3Σ₃ˢΣ₄ˢ(2)|4Σ₃ˢΣ₄ˢ(2)|4Σ₃ˢΣ₄ˢ(2)|4Σ₃ˢΣ₄ˢ(2)|4Σ₃ˢΣ₄ˢ(2)
C:(u,u,w)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|4C₁(1)|4C₁(1)|8C₁(1)|8C₁(1)|C₂ˢC₂ˢ(2)|C₂ˢC₂ˢ(2)|2C₂ˢC₂ˢ(2)|2C₂ˢC₂ˢ(2)|3C₂ˢC₂ˢ(2)|3C₂ˢC₂ˢ(2)|4C₂ˢC₂ˢ(2)|4C₂ˢC₂ˢ(2)|4C₂ˢC₂ˢ(2)|4C₂ˢC₂ˢ(2)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|4Ω₁(1)|4Ω₁(1)|8Ω₁(1)|8Ω₁(1)|Ω₂ˢΩ₂ˢ(2)|Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|3Ω₂ˢΩ₂ˢ(2)|3Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)
