Wyckoff pos.|2a(23)|2a(23)|2a(23)|4b(32)|4b(32)|4b(32)|4c(32)|4c(32)|4c(32)|6d(222)|6d(222)|6d(222)|6d(222)|6e(222)|6e(222)|6e(222)|6e(222)|6f(222)|6f(222)|6f(222)|6f(222)|2a(23)|2a(23)|4b(32)|4b(32)|4c(32)|4c(32)|6d(222)|6e(222)|6f(222)
Band-Rep.|A↑G(2)|¹E²E↑G(4)|T↑G(6)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|E₁ˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|E₁ˢ↑G(8)|Eˢ↑G(12)|Eˢ↑G(12)|Eˢ↑G(12)
Decomposable|false|true|false|false|false|true|false|false|true|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)⊕2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|2Γ₈ˢ(4)|2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)
R:(1/2,1/2,1/2)|R₁(1)⊕R₂(1)|2R₃(2)|R₄(3)⊕R₅(3)|R₁(1)⊕R₅(3)|R₂(1)⊕R₄(3)|R₃(2)⊕R₄(3)⊕R₅(3)|R₂(1)⊕R₄(3)|R₁(1)⊕R₅(3)|R₃(2)⊕R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₁(1)⊕R₂(1)⊕2R₃(2)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₂(1)⊕R₃(2)⊕R₄(3)|R₁(1)⊕R₃(2)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₂(1)⊕R₃(2)⊕R₄(3)|R₁(1)⊕R₃(2)⊕R₅(3)|R₆ˢ(2)⊕R₇ˢ(2)|2R₈ˢ(4)|2R₈ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕R₈ˢ(4)|2R₈ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕R₈ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕2R₈ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕2R₈ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕2R₈ˢ(4)
M:(1/2,1/2,0)|M₅(2)|2M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|M₂(1)⊕M₃(1)⊕M₅(2)|M₁(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕2M₅(2)|M₂(1)⊕M₃(1)⊕M₅(2)|M₁(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕2M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|2M₁(1)⊕2M₂(1)⊕M₅(2)|2M₃(1)⊕2M₄(1)⊕M₅(2)|3M₅(2)|M₁(1)⊕2M₂(1)⊕M₃(1)⊕M₅(2)|2M₁(1)⊕M₂(1)⊕M₄(1)⊕M₅(2)|M₃(1)⊕M₄(1)⊕2M₅(2)|M₃(1)⊕M₄(1)⊕2M₅(2)|M₂(1)⊕2M₃(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₃(1)⊕2M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕2M₅(2)|M₁(1)⊕M₂(1)⊕2M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|3M₆ˢ(2)⊕3M₇ˢ(2)|3M₆ˢ(2)⊕3M₇ˢ(2)|3M₆ˢ(2)⊕3M₇ˢ(2)
X:(0,1/2,0)|X₅(2)|2X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕X₅(2)|X₂(1)⊕X₃(1)⊕X₅(2)|X₁(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕2X₅(2)|X₁(1)⊕X₄(1)⊕X₅(2)|X₂(1)⊕X₃(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕2X₅(2)|3X₅(2)|2X₃(1)⊕2X₄(1)⊕X₅(2)|2X₁(1)⊕2X₂(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|2X₁(1)⊕X₂(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕2X₂(1)⊕X₃(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₃(1)⊕2X₄(1)⊕X₅(2)|X₂(1)⊕2X₃(1)⊕X₄(1)⊕X₅(2)|X₆ˢ(2)⊕X₇ˢ(2)|2X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕2X₇ˢ(2)|3X₆ˢ(2)⊕3X₇ˢ(2)|3X₆ˢ(2)⊕3X₇ˢ(2)|3X₆ˢ(2)⊕3X₇ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|3Δ₁(1)⊕3Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₅ˢ(1)⊕Δ₆ˢ(1)⊕Δ₇ˢ(1)⊕Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|3Δ₅ˢ(1)⊕3Δ₆ˢ(1)⊕3Δ₇ˢ(1)⊕3Δ₈ˢ(1)|3Δ₅ˢ(1)⊕3Δ₆ˢ(1)⊕3Δ₇ˢ(1)⊕3Δ₈ˢ(1)|3Δ₅ˢ(1)⊕3Δ₆ˢ(1)⊕3Δ₇ˢ(1)⊕3Δ₈ˢ(1)
T:(1/2,1/2,w)|T₁(1)⊕T₂(1)|2T₁(1)⊕2T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|3T₁(1)⊕3T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|T₅ˢ(1)⊕T₆ˢ(1)⊕T₇ˢ(1)⊕T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|2T₅ˢ(1)⊕2T₆ˢ(1)⊕2T₇ˢ(1)⊕2T₈ˢ(1)|3T₅ˢ(1)⊕3T₆ˢ(1)⊕3T₇ˢ(1)⊕3T₈ˢ(1)|3T₅ˢ(1)⊕3T₆ˢ(1)⊕3T₇ˢ(1)⊕3T₈ˢ(1)|3T₅ˢ(1)⊕3T₆ˢ(1)⊕3T₇ˢ(1)⊕3T₈ˢ(1)
Λ:(u,u,u)|2Λ₁(1)|2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)
