Wyckoff pos.|8a(32)|8a(32)|8a(32)|8b(32)|8b(32)|8b(32)|12c(222)|12c(222)|12c(222)|12c(222)|12d(222)|12d(222)|12d(222)|12d(222)|8a(32)|8a(32)|8b(32)|8b(32)|12c(222)|12d(222)
Band-Rep.|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A₁↑G(4)|A₂↑G(4)|E↑G(8)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|¹Eˢ²Eˢ↑G(8)|E₁ˢ↑G(8)|¹Eˢ²Eˢ↑G(8)|E₁ˢ↑G(8)|Eˢ↑G(12)|Eˢ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|false|true|false|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₃(2)⊕Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)
H:(1,1,1)|H₂(1)⊕H₄(3)|H₁(1)⊕H₅(3)|H₃(2)⊕H₄(3)⊕H₅(3)|H₁(1)⊕H₅(3)|H₂(1)⊕H₄(3)|H₃(2)⊕H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|H₁(1)⊕H₃(2)⊕H₅(3)|H₂(1)⊕H₃(2)⊕H₄(3)|H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|H₁(1)⊕H₃(2)⊕H₅(3)|H₂(1)⊕H₃(2)⊕H₄(3)|2H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕H₈ˢ(4)|2H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕2H₈ˢ(4)|H₆ˢ(2)⊕H₇ˢ(2)⊕2H₈ˢ(4)
P:(1/2,1/2,1/2)|P₁(2)⊕P₃(2)|P₁(2)⊕P₃(2)|P₁(2)⊕2P₂(2)⊕P₃(2)|P₁(2)⊕P₃(2)|P₁(2)⊕P₃(2)|P₁(2)⊕2P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|P₁(2)⊕P₂(2)⊕P₃(2)|2P₄ˢ(1)⊕2P₇ˢ(3)|P₅ˢ(1)⊕P₆ˢ(1)⊕2P₇ˢ(3)|2P₄ˢ(1)⊕2P₇ˢ(3)|P₅ˢ(1)⊕P₆ˢ(1)⊕2P₇ˢ(3)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)⊕3P₇ˢ(3)|P₄ˢ(1)⊕P₅ˢ(1)⊕P₆ˢ(1)⊕3P₇ˢ(3)
N:(1/2,1/2,0)|2N₁(1)⊕N₃(1)⊕N₄(1)|2N₂(1)⊕N₃(1)⊕N₄(1)|2N₁(1)⊕2N₂(1)⊕2N₃(1)⊕2N₄(1)|N₁(1)⊕N₂(1)⊕2N₃(1)|N₁(1)⊕N₂(1)⊕2N₄(1)|2N₁(1)⊕2N₂(1)⊕2N₃(1)⊕2N₄(1)|2N₁(1)⊕N₂(1)⊕2N₃(1)⊕N₄(1)|N₁(1)⊕2N₂(1)⊕N₃(1)⊕2N₄(1)|N₁(1)⊕2N₂(1)⊕2N₃(1)⊕N₄(1)|2N₁(1)⊕N₂(1)⊕N₃(1)⊕2N₄(1)|2N₁(1)⊕N₂(1)⊕2N₃(1)⊕N₄(1)|N₁(1)⊕2N₂(1)⊕N₃(1)⊕2N₄(1)|N₁(1)⊕2N₂(1)⊕2N₃(1)⊕N₄(1)|2N₁(1)⊕N₂(1)⊕N₃(1)⊕2N₄(1)|4N₅ˢ(2)|4N₅ˢ(2)|4N₅ˢ(2)|4N₅ˢ(2)|6N₅ˢ(2)|6N₅ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|2Δ₅ˢ(1)⊕2Δ₆ˢ(1)⊕2Δ₇ˢ(1)⊕2Δ₈ˢ(1)|3Δ₅ˢ(1)⊕3Δ₆ˢ(1)⊕3Δ₇ˢ(1)⊕3Δ₈ˢ(1)|3Δ₅ˢ(1)⊕3Δ₆ˢ(1)⊕3Δ₇ˢ(1)⊕3Δ₈ˢ(1)
Λ:(u,u,u)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕3Λ₂(1)⊕3Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)|2Λ₄ˢ(1)⊕3Λ₅ˢ(1)⊕3Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)|4Λ₄ˢ(1)⊕4Λ₅ˢ(1)⊕4Λ₆ˢ(1)
D:(1/2,1/2,w)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|4D₁(1)⊕4D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|4D₁(1)⊕4D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|3D₁(1)⊕3D₂(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|4D₃ˢ(1)⊕4D₄ˢ(1)|6D₃ˢ(1)⊕6D₄ˢ(1)|6D₃ˢ(1)⊕6D₄ˢ(1)
