Wyckoff pos.|2a(23)|2a(23)|2a(23)|6b(222)|6b(222)|6b(222)|6b(222)|6c(-4)|6c(-4)|6d(-4)|6d(-4)|2a(23)|2a(23)|6b(222)|6c(-4)|6c(-4)|6d(-4)|6d(-4)
Band-Rep.|A↑G(2)|¹E²E↑G(4)|T↑G(6)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|A↑G(6)|B↑G(6)|A↑G(6)|B↑G(6)|Eˢ↑G(4)|¹Fˢ²Fˢ↑G(8)|Eˢ↑G(12)|¹E₁ˢ²E₁ˢ↑G(12)|¹E₂ˢ²E₂ˢ↑G(12)|¹E₁ˢ²E₁ˢ↑G(12)|¹E₂ˢ²E₂ˢ↑G(12)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)⊕2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|2Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕2Γ₈ˢ(4)|2Γ₆ˢ(2)⊕2Γ₈ˢ(4)|2Γ₇ˢ(2)⊕2Γ₈ˢ(4)|2Γ₆ˢ(2)⊕2Γ₈ˢ(4)|2Γ₇ˢ(2)⊕2Γ₈ˢ(4)
R:(1/2,1/2,1/2)|R₁R₂(2)|R₃R₃(4)|R₄R₅(6)|R₄R₅(6)|R₄R₅(6)|R₄R₅(6)|R₁R₂(2)⊕R₃R₃(4)|R₄R₅(6)|R₄R₅(6)|R₄R₅(6)|R₄R₅(6)|R₆ˢR₇ˢ(4)|R₈ˢR₈ˢ(8)|R₆ˢR₇ˢ(4)⊕R₈ˢR₈ˢ(8)|R₆ˢR₇ˢ(4)⊕R₈ˢR₈ˢ(8)|R₆ˢR₇ˢ(4)⊕R₈ˢR₈ˢ(8)|R₆ˢR₇ˢ(4)⊕R₈ˢR₈ˢ(8)|R₆ˢR₇ˢ(4)⊕R₈ˢR₈ˢ(8)
M:(1/2,1/2,0)|M₅(2)|2M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|2M₁(1)⊕2M₂(1)⊕M₅(2)|2M₃(1)⊕2M₄(1)⊕M₅(2)|3M₅(2)|M₂(1)⊕2M₃(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₃(1)⊕2M₄(1)⊕M₅(2)|2M₁(1)⊕M₂(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕2M₂(1)⊕M₃(1)⊕M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|2M₆ˢ(2)⊕2M₇ˢ(2)|3M₆ˢ(2)⊕3M₇ˢ(2)|2M₆ˢ(2)⊕4M₇ˢ(2)|4M₆ˢ(2)⊕2M₇ˢ(2)|4M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕4M₇ˢ(2)
X:(0,1/2,0)|X₅(2)|2X₅(2)|X₁X₂(2)⊕X₃X₄(2)⊕X₅(2)|3X₅(2)|2X₃X₄(2)⊕X₅(2)|2X₁X₂(2)⊕X₅(2)|X₁X₂(2)⊕X₃X₄(2)⊕X₅(2)|X₁X₂(2)⊕2X₅(2)|X₁X₂(2)⊕2X₅(2)|X₃X₄(2)⊕2X₅(2)|X₃X₄(2)⊕2X₅(2)|X₆ˢX₇ˢ(4)|2X₆ˢX₇ˢ(4)|3X₆ˢX₇ˢ(4)|3X₆ˢX₇ˢ(4)|3X₆ˢX₇ˢ(4)|3X₆ˢX₇ˢ(4)|3X₆ˢX₇ˢ(4)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕4Λ₆ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|3Δ₁(1)⊕3Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃Δ₄(2)|2Δ₅ˢ(2)|4Δ₅ˢ(2)|6Δ₅ˢ(2)|6Δ₅ˢ(2)|6Δ₅ˢ(2)|6Δ₅ˢ(2)|6Δ₅ˢ(2)
T:(1/2,1/2,w)|T₁T₂(2)|2T₁T₂(2)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|3T₁T₂(2)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|T₁T₂(2)⊕2T₃(1)⊕2T₄(1)|2T₅ˢ(2)|4T₅ˢ(2)|6T₅ˢ(2)|6T₅ˢ(2)|6T₅ˢ(2)|6T₅ˢ(2)|6T₅ˢ(2)
