Wyckoff pos.|16a(-3)|16a(-3)|16a(-3)|16a(-3)|16b(32)|16b(32)|16b(32)|24c(222)|24c(222)|24c(222)|24c(222)|24d(-4)|24d(-4)|16a(-3)|16a(-3)|16a(-3)|16a(-3)|16b(32)|16b(32)|24c(222)|24d(-4)|24d(-4)
Band-Rep.|Ag↑G(8)|Aᵤ↑G(8)|¹Eg²Eg↑G(16)|¹Eᵤ²Eᵤ↑G(16)|A₁↑G(8)|A₂↑G(8)|E↑G(16)|A↑G(12)|B₁↑G(12)|B₂↑G(12)|B₃↑G(12)|A↑G(12)|B↑G(12)|¹Eˢg²Eˢg↑G(16)|¹Eˢᵤ²Eˢᵤ↑G(16)|EˢgEˢg↑G(16)|EˢᵤEˢᵤ↑G(16)|¹Eˢ²Eˢ↑G(16)|Eˢ₁↑G(16)|Eˢ↑G(24)|¹Eˢ₁²Eˢ₁↑G(24)|¹Eˢ₂²Eˢ₂↑G(24)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|false|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|2Γ₃⁺(2)⊕2Γ₄⁺(3)⊕2Γ₅⁺(3)|2Γ₃⁻(2)⊕2Γ₄⁻(3)⊕2Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁺(3)|2Γˢ₆(2)⊕2Γˢ₇(2)⊕2Γˢ₁₀(4)|2Γˢ₈(2)⊕2Γˢ₉(2)⊕2Γˢ₁₁(4)|4Γˢ₁₀(4)|4Γˢ₁₁(4)|2Γˢ₁₀(4)⊕2Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₉(2)⊕2Γˢ₁₀(4)⊕2Γˢ₁₁(4)|2Γˢ₆(2)⊕2Γˢ₉(2)⊕2Γˢ₁₀(4)⊕2Γˢ₁₁(4)|2Γˢ₇(2)⊕2Γˢ₈(2)⊕2Γˢ₁₀(4)⊕2Γˢ₁₁(4)
H:(1,1,1)|H₁(2)⊕H₄(6)|H₁(2)⊕H₄(6)|H₂H₃(4)⊕2H₄(6)|H₂H₃(4)⊕2H₄(6)|H₁(2)⊕H₄(6)|H₁(2)⊕H₄(6)|H₂H₃(4)⊕2H₄(6)|2H₄(6)|2H₄(6)|H₁(2)⊕H₂H₃(4)⊕H₄(6)|H₁(2)⊕H₂H₃(4)⊕H₄(6)|2H₄(6)|2H₄(6)|2Hˢ₅(4)⊕Hˢ₆Hˢ₇(8)|2Hˢ₅(4)⊕Hˢ₆Hˢ₇(8)|2Hˢ₆Hˢ₇(8)|2Hˢ₆Hˢ₇(8)|2Hˢ₆Hˢ₇(8)|2Hˢ₅(4)⊕Hˢ₆Hˢ₇(8)|2Hˢ₅(4)⊕2Hˢ₆Hˢ₇(8)|2Hˢ₅(4)⊕2Hˢ₆Hˢ₇(8)|2Hˢ₅(4)⊕2Hˢ₆Hˢ₇(8)
P:(1/2,1/2,1/2)|2P₃(4)|2P₃(4)|2P₁P₂(4)⊕2P₃(4)|2P₁P₂(4)⊕2P₃(4)|2P₃(4)|2P₃(4)|2P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|P₁P₂(4)⊕2P₃(4)|2Pˢ₆(2)⊕2Pˢ₇Pˢ₈(6)|2Pˢ₆(2)⊕2Pˢ₇Pˢ₈(6)|2Pˢ₄Pˢ₅(2)⊕2Pˢ₇Pˢ₈(6)|2Pˢ₄Pˢ₅(2)⊕2Pˢ₇Pˢ₈(6)|2Pˢ₄Pˢ₅(2)⊕2Pˢ₇Pˢ₈(6)|2Pˢ₆(2)⊕2Pˢ₇Pˢ₈(6)|Pˢ₄Pˢ₅(2)⊕2Pˢ₆(2)⊕3Pˢ₇Pˢ₈(6)|Pˢ₄Pˢ₅(2)⊕2Pˢ₆(2)⊕3Pˢ₇Pˢ₈(6)|Pˢ₄Pˢ₅(2)⊕2Pˢ₆(2)⊕3Pˢ₇Pˢ₈(6)
N:(1/2,1/2,0)|2N₁(2)⊕2N₂(2)|2N₁(2)⊕2N₂(2)|4N₁(2)⊕4N₂(2)|4N₁(2)⊕4N₂(2)|N₁(2)⊕3N₂(2)|3N₁(2)⊕N₂(2)|4N₁(2)⊕4N₂(2)|2N₁(2)⊕4N₂(2)|4N₁(2)⊕2N₂(2)|3N₁(2)⊕3N₂(2)|3N₁(2)⊕3N₂(2)|3N₁(2)⊕3N₂(2)|3N₁(2)⊕3N₂(2)|4Nˢ₃Nˢ₄(4)|4Nˢ₃Nˢ₄(4)|4Nˢ₃Nˢ₄(4)|4Nˢ₃Nˢ₄(4)|4Nˢ₃Nˢ₄(4)|4Nˢ₃Nˢ₄(4)|6Nˢ₃Nˢ₄(4)|6Nˢ₃Nˢ₄(4)|6Nˢ₃Nˢ₄(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕4Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕4Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|4Δˢ₆(2)⊕4Δˢ₇(2)|6Δˢ₆(2)⊕6Δˢ₇(2)|6Δˢ₆(2)⊕6Δˢ₇(2)|6Δˢ₆(2)⊕6Δˢ₇(2)
Λ:(u,u,u)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕6Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕6Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕6Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λˢ₄Λˢ₅(2)⊕6Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕6Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕4Λˢ₆(2)|2Λˢ₄Λˢ₅(2)⊕6Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕8Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕8Λˢ₆(2)|4Λˢ₄Λˢ₅(2)⊕8Λˢ₆(2)
D:(1/2,1/2,w)|4D₁(2)|4D₁(2)|8D₁(2)|8D₁(2)|4D₁(2)|4D₁(2)|8D₁(2)|6D₁(2)|6D₁(2)|6D₁(2)|6D₁(2)|6D₁(2)|6D₁(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|4Dˢ₂Dˢ₄(2)⊕4Dˢ₃Dˢ₅(2)|6Dˢ₂Dˢ₄(2)⊕6Dˢ₃Dˢ₅(2)|6Dˢ₂Dˢ₄(2)⊕6Dˢ₃Dˢ₅(2)|6Dˢ₂Dˢ₄(2)⊕6Dˢ₃Dˢ₅(2)
