Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2c(2)|2c(2)|2a(2)|2b(2)|2c(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₁A₂(2)|A₃(1)⊕A₄(1)|A₁A₂(2)|A₃(1)⊕A₄(1)|A₃(1)⊕A₄(1)|A₁A₂(2)|A₅ˢA₇ˢ(2)⊕A₆ˢA₈ˢ(2)|A₅ˢA₇ˢ(2)⊕A₆ˢA₈ˢ(2)|A₅ˢA₇ˢ(2)⊕A₆ˢA₈ˢ(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₄(2)|Γ₅ˢΓ₇ˢ(2)⊕Γ₆ˢΓ₈ˢ(2)|Γ₅ˢΓ₇ˢ(2)⊕Γ₆ˢΓ₈ˢ(2)|Γ₅ˢΓ₇ˢ(2)⊕Γ₆ˢΓ₈ˢ(2)
M:(1/2,1/2,0)|M₁(1)⊕M₂(1)|M₃M₄(2)|M₁(1)⊕M₂(1)|M₃M₄(2)|M₃M₄(2)|M₁(1)⊕M₂(1)|M₅ˢM₇ˢ(2)⊕M₆ˢM₈ˢ(2)|M₅ˢM₇ˢ(2)⊕M₆ˢM₈ˢ(2)|M₅ˢM₇ˢ(2)⊕M₆ˢM₈ˢ(2)
Z:(0,0,1/2)|Z₁Z₂(2)|Z₃(1)⊕Z₄(1)|Z₁Z₂(2)|Z₃(1)⊕Z₄(1)|Z₁Z₂(2)|Z₃(1)⊕Z₄(1)|Z₅ˢZ₈ˢ(2)⊕Z₆ˢZ₇ˢ(2)|Z₅ˢZ₈ˢ(2)⊕Z₆ˢZ₇ˢ(2)|Z₅ˢZ₈ˢ(2)⊕Z₆ˢZ₇ˢ(2)
R:(0,1/2,1/2)|2R₁(1)|2R₂(1)|2R₂(1)|2R₁(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|2R₃ˢR₄ˢ(2)|2R₃ˢR₄ˢ(2)|2R₃ˢR₄ˢ(2)
X:(0,1/2,0)|2X₁(1)|2X₂(1)|2X₂(1)|2X₁(1)|X₁(1)⊕X₂(1)|X₁(1)⊕X₂(1)|2X₃ˢX₄ˢ(2)|2X₃ˢX₄ˢ(2)|2X₃ˢX₄ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)⊕Λ₇ˢ(1)⊕Λ₈ˢ(1)
