Wyckoff pos.|2a(4)|2a(4)|2a(4)|4b(2)|4b(2)|2a(4)|2a(4)|4b(2)
Band-Rep.|A↑G(1)|B↑G(1)|¹E²E↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ₁²Eˢ₁↑G(2)|¹Eˢ₂²Eˢ₂↑G(2)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃Γ₄(2)|Γ₁(1)⊕Γ₂(1)|Γ₃Γ₄(2)|Γˢ₆Γˢ₈(2)|Γˢ₅Γˢ₇(2)|Γˢ₅Γˢ₇(2)⊕Γˢ₆Γˢ₈(2)
M:(1,1,1)|M₁(1)|M₂(1)|M₃M₄(2)|M₁(1)⊕M₂(1)|M₃M₄(2)|Mˢ₆Mˢ₈(2)|Mˢ₅Mˢ₇(2)|Mˢ₅Mˢ₇(2)⊕Mˢ₆Mˢ₈(2)
P:(1/2,1/2,1/2)|P₁(1)|P₁(1)|P₂P₂(2)|P₂P₂(2)|2P₁(1)|Pˢ₃Pˢ₄(2)|Pˢ₃Pˢ₄(2)|2Pˢ₃Pˢ₄(2)
X:(1/2,1/2,0)|X₁(1)|X₁(1)|2X₂(1)|2X₂(1)|2X₁(1)|Xˢ₃Xˢ₄(2)|Xˢ₃Xˢ₄(2)|2Xˢ₃Xˢ₄(2)
N:(1/2,0,1/2)|N₁(1)|N₁(1)|2N₁(1)|2N₁(1)|2N₁(1)|Nˢ₂Nˢ₂(2)|Nˢ₂Nˢ₂(2)|2Nˢ₂Nˢ₂(2)
Λ:(0,0,w)|Λ₁(1)|Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λˢ₆(1)⊕Λˢ₈(1)|Λˢ₅(1)⊕Λˢ₇(1)|Λˢ₅(1)⊕Λˢ₆(1)⊕Λˢ₇(1)⊕Λˢ₈(1)
W:(1/2,1/2,w)|W₁(1)|W₁(1)|2W₂(1)|2W₂(1)|2W₁(1)|Wˢ₃(1)⊕Wˢ₄(1)|Wˢ₃(1)⊕Wˢ₄(1)|2Wˢ₃(1)⊕2Wˢ₄(1)
A:(u,u,w)|A₁(1)|A₁(1)|2A₁(1)|2A₁(1)|2A₁(1)|2Aˢ₂(1)|2Aˢ₂(1)|4Aˢ₂(1)
B:(u,0,w)|B₁(1)|B₁(1)|2B₁(1)|2B₁(1)|2B₁(1)|2Bˢ₂(1)|2Bˢ₂(1)|4Bˢ₂(1)
C:(u,v,0)|C₁(1)|C₁(1)|2C₁(1)|2C₁(1)|2C₁(1)|2Cˢ₂(1)|2Cˢ₂(1)|4Cˢ₂(1)
Δ:(u,u,0)|Δ₁(1)|Δ₁(1)|2Δ₁(1)|2Δ₁(1)|2Δ₁(1)|2Δˢ₂(1)|2Δˢ₂(1)|4Δˢ₂(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ωˢ₂(1)|2Ωˢ₂(1)|4Ωˢ₂(1)
Q:(1/2,v,1/2)|Q₁(1)|Q₁(1)|2Q₁(1)|2Q₁(1)|2Q₁(1)|2Qˢ₂(1)|2Qˢ₂(1)|4Qˢ₂(1)
Σ:(u,0,0)|Σ₁(1)|Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σ₁(1)|2Σˢ₂(1)|2Σˢ₂(1)|4Σˢ₂(1)
Y:(u,1-u,0)|Y₁(1)|Y₁(1)|2Y₁(1)|2Y₁(1)|2Y₁(1)|2Yˢ₂(1)|2Yˢ₂(1)|4Yˢ₂(1)
