Wyckoff pos.|4a(2)|4a(2)|4a(2)
Band-Rep.|A↑G(4)|B↑G(4)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false
A:(1/2,1/2,1/2)|A₁A₂(4)|A₁A₂(4)|A₃ˢA₆ˢ(2)⊕A₄ˢA₅ˢ(2)⊕A₇ˢA₇ˢ(4)
Γ:(0,0,0)|Γ₁(1)⊕Γ₄(1)⊕Γ₅(2)|Γ₂(1)⊕Γ₃(1)⊕Γ₅(2)|2Γ₆ˢ(2)⊕2Γ₇ˢ(2)
M:(1/2,1/2,0)|M₁M₄(2)⊕M₅(2)|M₂M₃(2)⊕M₅(2)|2M₆ˢM₇ˢ(4)
Z:(0,0,1/2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₃ˢZ₅ˢ(2)⊕Z₄ˢZ₆ˢ(2)⊕2Z₇ˢ(2)
R:(0,1/2,1/2)|R₁R₃(2)⊕R₂R₄(2)|R₁R₃(2)⊕R₂R₄(2)|2R₅ˢR₅ˢ(4)
X:(0,1/2,0)|2X₁(2)|2X₁(2)|2X₂ˢX₅ˢ(2)⊕2X₃ˢX₄ˢ(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)⊕Λ₄(1)|2Λ₅ˢ(1)⊕2Λ₆ˢ(1)⊕2Λ₇ˢ(1)⊕2Λ₈ˢ(1)
V:(1/2,1/2,w)|V₁V₂(2)⊕V₃V₄(2)|V₁V₂(2)⊕V₃V₄(2)|2V₅ˢV₆ˢ(2)⊕2V₇ˢV₈ˢ(2)
Δ:(0,v,0)|2Δ₁(1)⊕2Δ₂(1)|2Δ₁(1)⊕2Δ₂(1)|4Δ₃ˢ(1)⊕4Δ₄ˢ(1)
S:(u,u,1/2)|2S₁S₂(2)|2S₁S₂(2)|4S₃ˢS₄ˢ(2)
Σ:(u,u,0)|3Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕3Σ₂(1)|4Σ₃ˢ(1)⊕4Σ₄ˢ(1)
T:(u,1/2,1/2)|T₁T₁(2)⊕T₂T₂(2)|T₁T₁(2)⊕T₂T₂(2)|2T₃ˢT₃ˢ(2)⊕2T₄ˢT₄ˢ(2)
U:(0,v,1/2)|2U₁U₂(2)|2U₁U₂(2)|4U₃ˢU₄ˢ(2)
W:(0,1/2,w)|2W₁W₂(2)|2W₁W₂(2)|4W₃ˢW₄ˢ(2)
Y:(u,1/2,0)|2Y₁Y₂(2)|2Y₁Y₂(2)|4Y₃ˢY₄ˢ(2)
B:(0,v,w)|4B₁(1)|4B₁(1)|8B₂ˢ(1)
C:(u,u,w)|4C₁(1)|4C₁(1)|8C₂ˢ(1)
D:(u,v,0)|4D₁(1)|4D₁(1)|8D₂ˢ(1)
E:(u,v,1/2)|2E₁E₁(2)|2E₁E₁(2)|4E₂ˢE₂ˢ(2)
F:(u,1/2,w)|2F₁F₁(2)|2F₁F₁(2)|4F₂ˢF₂ˢ(2)
Ω:(u,v,w)|4Ω₁(1)|4Ω₁(1)|8Ω₂ˢ(1)
