Wyckoff pos.|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(m)|2e(m)|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|A′↑G(2)|A′′↑G(2)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁺(1)|2A₃ˢA₄ˢ(2)|2A₅ˢA₆ˢ(2)|2A₅ˢA₆ˢ(2)|2A₃ˢA₄ˢ(2)|2A₅ˢA₆ˢ(2)|2A₃ˢA₄ˢ(2)|2A₃ˢA₄ˢ(2)|2A₅ˢA₆ˢ(2)|A₃ˢA₄ˢ(2)⊕A₅ˢA₆ˢ(2)
B:(0,0,1/2)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁺(1)⊕B₂⁻(1)|B₁⁻(1)⊕B₂⁺(1)|2B₃ˢB₄ˢ(2)|2B₅ˢB₆ˢ(2)|2B₃ˢB₄ˢ(2)|2B₅ˢB₆ˢ(2)|2B₅ˢB₆ˢ(2)|2B₃ˢB₄ˢ(2)|2B₅ˢB₆ˢ(2)|2B₃ˢB₄ˢ(2)|B₃ˢB₄ˢ(2)⊕B₅ˢB₆ˢ(2)
C:(1/2,1/2,0)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)|C₂ˢC₂ˢ(4)
D:(0,1/2,1/2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)
E:(1/2,1/2,1/2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)⊕Γ₅ˢΓ₆ˢ(2)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁺(1)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)|Y₃ˢY₄ˢ(2)⊕Y₅ˢY₆ˢ(2)
Z:(0,1/2,0)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)|Z₂ˢZ₂ˢ(4)
