Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2c(m)|2c(m)|2a(2)|2b(2)|2c(m)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A′↑G(2)|A′′↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|2Γ₅ˢ(2)|2Γ₅ˢ(2)|2Γ₅ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₂ˢR₅ˢ(2)⊕R₃ˢR₄ˢ(2)|R₂ˢR₅ˢ(2)⊕R₃ˢR₄ˢ(2)|R₂ˢR₅ˢ(2)⊕R₃ˢR₄ˢ(2)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₁(2)|S₂ˢS₅ˢ(2)⊕S₃ˢS₄ˢ(2)|S₂ˢS₅ˢ(2)⊕S₃ˢS₄ˢ(2)|S₂ˢS₅ˢ(2)⊕S₃ˢS₄ˢ(2)
T:(0,1/2,1/2)|T₁(1)⊕T₂(1)|T₃(1)⊕T₄(1)|T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₃(1)|T₂(1)⊕T₄(1)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₂ˢU₅ˢ(2)⊕U₃ˢU₄ˢ(2)|U₂ˢU₅ˢ(2)⊕U₃ˢU₄ˢ(2)|U₂ˢU₅ˢ(2)⊕U₃ˢU₄ˢ(2)
X:(1/2,0,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|X₂ˢX₅ˢ(2)⊕X₃ˢX₄ˢ(2)|X₂ˢX₅ˢ(2)⊕X₃ˢX₄ˢ(2)|X₂ˢX₅ˢ(2)⊕X₃ˢX₄ˢ(2)
Y:(0,1/2,0)|Y₁(1)⊕Y₂(1)|Y₃(1)⊕Y₄(1)|Y₃(1)⊕Y₄(1)|Y₁(1)⊕Y₂(1)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|2Y₅ˢ(2)|2Y₅ˢ(2)|2Y₅ˢ(2)
Z:(0,0,1/2)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₂(1)|Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₃(1)|Z₂(1)⊕Z₄(1)|2Z₅ˢ(2)|2Z₅ˢ(2)|2Z₅ˢ(2)
