Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2a(2)|2b(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|2Γˢ₅(2)|2Γˢ₅(2)
R:(1/2,1/2,1/2)|R₁(1)⊕R₂(1)|R₃(1)⊕R₄(1)|R₃(1)⊕R₄(1)|R₁(1)⊕R₂(1)|2Rˢ₅(2)|2Rˢ₅(2)
S:(1/2,1/2,0)|S₁S₂(2)|S₃S₄(2)|S₃S₄(2)|S₁S₂(2)|Sˢ₅Sˢ₅(4)|Sˢ₅Sˢ₅(4)
T:(0,1/2,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)|Uˢ₂Uˢ₃(2)⊕Uˢ₄Uˢ₅(2)
X:(1/2,0,0)|X₁(2)|X₁(2)|X₁(2)|X₁(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)|Xˢ₂Xˢ₅(2)⊕Xˢ₃Xˢ₄(2)
Y:(0,1/2,0)|Y₁(2)|Y₁(2)|Y₁(2)|Y₁(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)|Yˢ₂Yˢ₃(2)⊕Yˢ₄Yˢ₅(2)
Z:(0,0,1/2)|Z₁Z₂(2)|Z₃Z₄(2)|Z₁Z₂(2)|Z₃Z₄(2)|Zˢ₅Zˢ₅(4)|Zˢ₅Zˢ₅(4)
