Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|4g(2)|4g(2)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|4g(2)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|A↑G(4)|B↑G(4)|¹Egˢ²Egˢ↑G(4)|¹Eᵤˢ²Eᵤˢ↑G(4)|¹Egˢ²Egˢ↑G(4)|¹Eᵤˢ²Eᵤˢ↑G(4)|¹Egˢ²Egˢ↑G(4)|¹Eᵤˢ²Eᵤˢ↑G(4)|¹Egˢ²Egˢ↑G(4)|¹Eᵤˢ²Eᵤˢ↑G(4)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₃⁺(1)|Γ₁⁻(1)⊕Γ₃⁻(1)|Γ₂⁺(1)⊕Γ₄⁺(1)|Γ₂⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(1)⊕Γ₃⁻(1)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|2Γ₅ˢ(2)⊕2Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁⁺(2)|R₁⁻(2)|R₁⁺(2)|R₁⁻(2)|R₁⁻(2)|R₁⁺(2)|R₁⁻(2)|R₁⁺(2)|R₁⁺(2)|R₁⁻(2)|R₁⁺(2)|R₁⁻(2)|R₁⁻(2)|R₁⁺(2)|R₁⁻(2)|R₁⁺(2)|R₁⁺(2)⊕R₁⁻(2)|R₁⁺(2)⊕R₁⁻(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)|R₆ˢR₈ˢ(2)⊕R₇ˢR₉ˢ(2)|R₆ˢR₈ˢ(2)⊕R₇ˢR₉ˢ(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)|R₆ˢR₈ˢ(2)⊕R₇ˢR₉ˢ(2)|R₆ˢR₈ˢ(2)⊕R₇ˢR₉ˢ(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)|R₂ˢR₄ˢ(2)⊕R₃ˢR₅ˢ(2)⊕R₆ˢR₈ˢ(2)⊕R₇ˢR₉ˢ(2)
S:(1/2,1/2,0)|S₁(2)|S₁(2)|S₂(2)|S₂(2)|S₁(2)|S₁(2)|S₂(2)|S₂(2)|S₂(2)|S₂(2)|S₁(2)|S₁(2)|S₂(2)|S₂(2)|S₁(2)|S₁(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|S₃ˢS₄ˢ(4)|2S₃ˢS₄ˢ(4)
T:(0,1/2,1/2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|T₃ˢT₄ˢ(4)|2T₃ˢT₄ˢ(4)
U:(1/2,0,1/2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)⊕U₁⁻(2)|U₁⁺(2)⊕U₁⁻(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)|U₆ˢU₈ˢ(2)⊕U₇ˢU₉ˢ(2)|U₆ˢU₈ˢ(2)⊕U₇ˢU₉ˢ(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)|U₆ˢU₈ˢ(2)⊕U₇ˢU₉ˢ(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)|U₆ˢU₈ˢ(2)⊕U₇ˢU₉ˢ(2)|U₂ˢU₄ˢ(2)⊕U₃ˢU₅ˢ(2)⊕U₆ˢU₈ˢ(2)⊕U₇ˢU₉ˢ(2)
X:(1/2,0,0)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)
Y:(0,1/2,0)|Y₁⁺(1)⊕Y₃⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₃⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₃⁺(1)|Y₂⁻(1)⊕Y₄⁻(1)|Y₂⁺(1)⊕Y₄⁺(1)|Y₁⁻(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₃⁺(1)|Y₁⁺(1)⊕Y₁⁻(1)⊕Y₄⁺(1)⊕Y₄⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)⊕Y₃⁺(1)⊕Y₃⁻(1)|2Y₅ˢ(2)|2Y₆ˢ(2)|2Y₅ˢ(2)|2Y₆ˢ(2)|2Y₆ˢ(2)|2Y₅ˢ(2)|2Y₆ˢ(2)|2Y₅ˢ(2)|2Y₅ˢ(2)⊕2Y₆ˢ(2)
