# HEADER: kᴮ CDML-number, Label of kᴮ∈Φ-Ω, Operation from Rkᴬ = kᴮ with R identified by a CDML-specific numbering scheme, Label of kᴬ∈Ω
# NOTE: We indicate the separation between space groups with a 0 in the first column (and a * in the last). 
#       E.g. to signify the start of a new space group - specifically space group no. 3 whose label is P2 - 
#       we have a row: 0, P2, 3, *
# NOTE: This file only includes k-points and operations for trigonal and hexagonal lattices

#--------------
# Trigonal R (hR)
#--------------
0, R3, 146, *
15, ΛA, 9, Λ
16, PA, 9, P
#--------------
0, R32, 155, *
15, ΣA, 23, Σ
16, YA, 23, Y
17, BA, 23, B
18, QA, 23, Q
#--------------
0, R3m, 160, *
15, ΛA, 9, Λ
16, PA, 9, P
17, CA, 9, C
18, DA, 9, D
19, EA, 9, E
#--------------

#--------------
# Hexagonal P (hP)
#--------------
0, P3, 143, *
21, ΔA, 10, Δ
22, HA, 6, H
23, KA, 6, K
24, PA, 9, P
25, PB, 6, P
26, PC, 8, P
#--------------
0, P-3, 147, *
21, PA, 16, P
#--------------
0, P312, 149, *
21, ΣA, 9, Σ
22, PA, 9, P
23, RA, 2, R
#--------------
0, P321, 150, *
21, ΛA, 6, Λ
22, HA, 6, H
23, KA, 6, K
24, PA, 6, P
25, QA, 6, Q
26, SA, 8, S
27, TA, 8, T
#--------------
0, P3m1, 156, *
21, ΔA, 16, Δ
22, ΣA, 24, Σ
23, PA, 16, P
24, RA, 24, R
25, UA, 16, U
26, DA, 16, D
27, DB, 24, D
28, DC, 9, D
#--------------
0, P31m, 157, *
21, ΔA, 16, Δ
22, ΛA, 23, Λ
23, HA, 23, H
24, KA, 23, K
25, PA, 16, P
26, PB, 23, P
27, PC, 8, P
28, QA, 23, Q
29, SA, 23, S
30, TA, 23, T
31, UA, 16, U
32, CA, 16, C
33, CB, 23, C
34, CC, 8, C
35, FA, 16, F
36, FB, 23, F
37, FC, 8, F
#--------------
0, P-31m, 162, *
21, PA, 16, P
22, CA, 16, C
23, FA, 16, F
#--------------
0, P-3m1, 164, *
21, DA, 16, D
#--------------
0, P6, 168, *
21, ΔA, 9, Δ
22, PA, 9, P
23, UA, 8, U
#--------------
0, P-6, 174, *
21, ΛA, 23, Λ
22, ΣA, 24, Σ
23, HA, 23, H
24, KA, 23, K
25, PA, 23, P
26, QA, 23, Q
27, RA, 24, R
28, SA, 23, S
29, TA, 23, T
30, BA, 24, B
31, BB, 23, B
32, BC, 2, B
33, EA, 24, E
34, EB, 23, E
35, EC, 2, E
#--------------
0, P6/m, 175, *
21, BA, 23, B
22, EA, 23, E
#--------------
0, P6mm, 183, *
21, ΔA, 16, Δ
22, PA, 16, P
23, UA, 16, U
24, CA, 16, C
25, DA, 16, D
26, FA, 16, F
#--------------
0, P-6m2, 187, *
21, ΣA, 24, Σ
22, RA, 24, R
23, BA, 24, B
24, DA, 24, D
25, EA, 24, E
#--------------
0, P-62m, 189, *
21, ΛA, 23, Λ
22, HA, 23, H
23, KA, 23, K
24, PA, 23, P
25, QA, 23, Q
26, SA, 23, S
27, TA, 23, T
28, BA, 23, B
29, CA, 23, C
30, EA, 23, E
31, FA, 23, F
#--------------
